index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5606,2022-02-10,22.78,23.11,22.53,22.64,,8221465.0,62.4152,21.9707,20.8656,20.1775,18.885,23.11,17,0,2.08,False
5607,2022-02-11,22.48,22.96,22.19,22.36,,11342174.0,57.8389,22.0081,20.9366,20.2326,18.9052,23.11,18,1,3.35,False
5608,2022-02-14,22.45,22.58,21.91,22.1,,8755783.0,53.845,22.0167,20.9891,20.2818,18.9252,23.1,19,2,4.52,False
5609,2022-02-15,22.33,22.69,22.29,22.63,,6272223.0,59.8208,22.0749,21.0594,20.3307,18.9469,23.1,20,3,2.08,False
5610,2022-02-16,22.43,22.87,22.4,22.7,,5208993.0,60.5309,22.134,21.1199,20.3789,18.9673,23.1,21,4,1.76,False
5611,2022-02-17,22.43,22.48,21.85,21.95,,6181397.0,50.052,22.116,21.1629,20.4138,18.9826,23.09,22,5,5.19,False
5612,2022-02-18,21.88,22.17,21.79,21.87,,7210736.0,49.1155,22.0924,21.2063,20.4486,18.9968,23.09,23,6,5.58,False
5613,2022-02-22,21.89,22.02,21.63,21.83,,7498010.0,48.5718,22.067,21.2506,20.4809,19.01,23.09,24,7,5.77,False
5614,2022-02-23,21.96,22.06,20.93,21.04,,8771798.0,39.8338,21.9693,21.2789,20.5084,19.0198,23.08,25,8,9.7,False
5615,2022-02-24,20.34,20.63,19.85,20.58,,12517230.0,35.7666,21.837,21.3076,20.5253,19.0281,23.08,26,9,12.15,False
5616,2022-02-25,20.76,21.61,20.71,21.58,,8884360.0,48.1254,21.8124,21.3509,20.5516,19.0434,23.07,27,10,6.9,False
5617,2022-02-28,20.84,21.55,20.84,21.55,,11545681.0,47.8289,21.7872,21.3877,20.5751,19.0556,23.07,28,11,7.05,False
5618,2022-03-01,21.25,21.29,19.63,19.76,,14839435.0,34.229,21.5942,21.3851,20.5813,19.0572,23.07,29,12,16.75,False
5619,2022-03-02,20.11,20.92,20.11,20.77,,12759433.0,43.9636,21.5162,21.4166,20.5971,19.0633,23.06,30,13,11.03,False
5620,2022-03-03,20.75,20.94,20.4,20.77,,10191843.0,43.9043,21.4448,21.4555,20.6105,19.0712,23.06,31,14,11.03,False
5621,2022-03-04,20.03,20.24,19.66,19.96,,8839467.0,38.6292,21.3032,21.4676,20.6169,19.0759,23.06,32,15,15.53,False
5622,2022-03-07,19.74,19.83,19.0,19.01,,13427998.0,33.5493,21.0851,21.4613,20.6138,19.076,23.05,33,16,21.25,False
5623,2022-03-08,19.47,19.83,19.0,19.25,,12318945.0,35.8614,20.9106,21.4585,20.6145,19.0762,23.05,34,17,19.74,False
5624,2022-03-09,19.99,20.29,19.88,20.04,,7809042.0,42.8924,20.8281,21.4655,20.6187,19.0806,23.05,35,18,15.02,False
5625,2022-03-10,19.67,20.09,19.54,19.73,,11670939.0,40.9985,20.724,21.4646,20.6213,19.0851,23.04,36,19,16.78,False
5626,2022-03-11,19.97,20.38,19.67,19.7,,7928545.0,40.783,20.6265,21.4612,20.6235,19.0884,23.04,37,20,16.95,False
5627,2022-03-14,20.11,20.89,20.1,20.47,,11074568.0,47.4065,20.6112,21.4749,20.632,19.094,23.04,38,21,12.55,False
5628,2022-03-15,20.6,20.76,20.19,20.49,,6940392.0,47.6192,20.5997,21.4902,20.6363,19.0999,23.03,39,22,12.4,False
5629,2022-03-16,20.88,21.24,20.49,20.94,,12916944.0,51.2956,20.632,21.5067,20.6446,19.1076,23.03,40,23,9.98,False
5630,2022-03-17,20.49,20.74,20.24,20.74,,7443529.0,49.6362,20.6423,21.4982,20.6487,19.1151,23.03,41,24,11.04,False
5631,2022-03-18,20.71,20.71,20.14,20.57,,23735978.0,48.1767,20.6353,21.4887,20.6508,19.1216,23.02,42,25,11.91,False
5632,2022-03-21,20.65,20.93,20.39,20.53,,6491815.0,47.8735,20.6257,21.4571,20.6541,19.129,23.02,43,26,12.13,False
5633,2022-03-22,20.87,21.16,20.76,20.91,,6187460.0,51.49,20.653,21.4259,20.6663,19.1383,23.02,44,27,10.09,False
5634,2022-03-23,20.71,20.89,20.16,20.22,,5056012.0,45.2641,20.6114,21.381,20.6697,19.1441,23.01,45,28,13.8,False
5635,2022-03-24,20.4,20.54,20.17,20.28,,5844872.0,45.9591,20.5803,21.3359,20.6758,19.1523,23.01,46,29,13.46,False
5636,2022-03-25,20.33,20.67,20.23,20.53,,6459695.0,48.5114,20.5759,21.2963,20.6814,19.1638,23.0,47,30,12.03,False
5637,2022-03-28,20.35,20.35,19.81,20.14,,6018313.0,44.8898,20.5343,21.2436,20.6838,19.1725,23.0,48,31,14.2,False
5638,2022-03-29,20.51,20.59,20.13,20.31,,5608278.0,46.7511,20.513,21.1891,20.6844,19.1839,23.0,49,32,13.24,False
5639,2022-03-30,20.3,20.32,19.61,19.78,,8303211.0,42.0139,20.443,21.1309,20.6832,19.1919,22.99,50,33,16.23,False
