index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6278,2024-10-15,823.26,830.1,697.05,705.79,,2870922.0,38.4227,774.5701,769.7231,784.9143,721.8065,830.1,67,0,17.61,False
6279,2024-10-16,718.6,718.79,680.15,680.72,,2280605.0,35.3744,765.6324,769.0771,784.1046,722.3288,829.2,68,1,21.81,False
6280,2024-10-17,699.06,699.3,667.85,668.42,,1936454.0,33.9501,756.3739,768.5533,783.033,722.8931,828.31,69,2,23.92,False
6281,2024-10-18,666.1,680.04,662.5,676.67,,1192779.0,35.8153,748.7826,767.1079,781.9733,723.5373,827.42,70,3,22.28,False
6282,2024-10-21,675.65,677.89,665.58,671.77,,739303.0,35.1801,741.4479,765.6743,781.0018,724.1876,826.53,71,4,23.04,False
6283,2024-10-22,668.17,671.31,661.85,668.25,,787359.0,34.7035,734.4766,763.956,780.0173,724.8308,825.63,72,5,23.55,False
6284,2024-10-23,662.82,670.47,652.86,662.81,,846801.0,33.9392,727.6515,761.4065,779.084,725.3573,824.74,73,6,24.43,False
6285,2024-10-24,676.89,682.52,663.62,664.34,,884710.0,34.3761,721.6218,758.8863,778.2196,725.9214,823.86,74,7,24.01,False
6286,2024-10-25,667.84,680.97,666.17,671.23,,955127.0,36.4217,716.8226,755.6328,777.4597,726.5211,822.97,75,8,22.61,False
6287,2024-10-28,671.31,677.28,668.38,672.51,,1051907.0,36.8146,712.602,752.7363,776.3701,727.0972,822.08,76,9,22.24,False
6288,2024-10-29,673.16,698.49,671.93,694.33,,1333889.0,43.2685,710.8615,750.2587,775.5555,727.79,821.19,77,10,18.27,False
6289,2024-10-30,680.14,693.29,678.15,689.91,,1656842.0,42.3258,708.8661,747.8698,774.7992,728.4299,820.31,78,11,18.9,False
6290,2024-10-31,675.8,679.19,654.21,664.41,,2001239.0,37.2776,704.6321,744.6604,773.5349,728.9638,819.42,79,12,23.33,False
6291,2024-11-01,664.68,676.79,661.63,667.55,,906447.0,38.2546,701.1005,742.0847,772.2644,729.377,818.54,80,13,22.62,False
6292,2024-11-04,665.43,668.73,660.55,661.56,,638075.0,37.0682,697.3344,739.0037,770.6388,729.6463,817.66,81,14,23.6,False
6293,2024-11-05,667.25,679.69,665.43,668.5,,1016563.0,39.4117,694.5881,736.438,769.0605,729.9002,816.78,82,15,22.18,False
6294,2024-11-06,673.16,676.79,655.68,667.83,,1715366.0,39.2601,692.0396,733.5832,767.5272,730.1695,815.89,83,16,22.17,False
6295,2024-11-07,680.98,685.94,673.25,684.27,,1122410.0,44.8785,691.3001,731.2273,765.919,730.4262,815.02,84,17,19.11,False
6296,2024-11-08,687.72,692.46,679.52,685.53,,1278083.0,45.2949,690.7507,729.0664,764.1797,730.6731,814.14,85,18,18.76,False
6297,2024-11-11,682.13,683.33,654.94,664.21,,1423059.0,39.8008,688.223,726.0068,762.5629,731.0231,813.26,86,19,22.44,False
6298,2024-11-12,661.2,667.43,653.07,662.96,,1111627.0,39.4992,685.8172,724.478,761.0635,731.3635,812.38,87,20,22.54,False
6299,2024-11-13,652.27,654.2,636.58,642.79,,1505369.0,34.8902,681.7192,722.4723,759.5869,731.6264,811.51,88,21,26.25,False
6300,2024-11-14,658.2,658.2,640.98,643.24,,1169870.0,35.0717,678.0543,720.8156,757.8754,731.898,810.63,89,22,26.02,False
6301,2024-11-15,618.83,628.28,610.68,612.78,,1712201.0,29.136,671.8377,719.0536,755.9065,731.9923,809.76,90,23,32.15,False
6302,2024-11-18,614.23,623.77,611.77,620.26,,1223583.0,32.172,666.9256,717.2998,753.9967,732.0981,808.88,91,24,30.41,False
6303,2024-11-19,616.48,618.41,609.4,615.66,,1409149.0,31.2843,662.0431,715.3828,751.945,732.1285,808.01,92,25,31.24,False
6304,2024-11-20,616.49,619.95,609.89,616.83,,1195320.0,31.7997,657.7371,712.784,749.8723,732.2306,807.14,93,26,30.85,False
6305,2024-11-21,627.8,637.96,620.0,633.16,,1386198.0,38.7103,655.3964,710.8217,747.8502,732.3782,806.27,94,27,27.34,False
6306,2024-11-22,630.0,643.03,630.0,639.55,,982002.0,41.2201,653.8872,708.6237,745.7505,732.5102,805.4,95,28,25.93,False
6307,2024-11-25,646.69,646.69,632.11,644.67,,1912957.0,43.2263,653.0094,706.8294,743.6832,732.5126,804.53,96,29,24.8,False
6308,2024-11-26,651.18,651.18,623.86,631.47,,923437.0,39.4847,650.958,704.7072,741.3711,732.4577,803.67,97,30,27.27,False
