index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6280,2024-10-17,144.54,145.33,144.12,144.78,,2537222.0,65.0128,141.7075,141.2281,138.5543,130.579,145.33,27,0,0.38,False
6281,2024-10-18,143.55,144.38,141.84,144.11,,3915416.0,61.2558,141.9358,141.3336,138.7374,130.7123,145.27,28,1,0.8,False
6282,2024-10-21,144.11,144.82,142.71,142.92,,2508338.0,55.194,142.0291,141.4336,138.9182,130.8359,145.21,29,2,1.6,False
6283,2024-10-22,135.82,138.21,135.51,136.51,,4180219.0,35.0727,141.5039,141.4453,139.0203,130.9288,145.15,30,3,6.33,False
6284,2024-10-23,135.71,137.29,135.08,135.66,,2640961.0,33.3306,140.9475,141.4372,139.0785,131.0128,145.09,31,4,6.95,False
6285,2024-10-24,135.81,136.56,134.94,135.78,,1835406.0,33.8245,140.4554,141.3846,139.1225,131.0954,145.02,32,5,6.81,False
6286,2024-10-25,135.42,136.0,134.12,134.3,,2273945.0,30.7758,139.8695,141.2837,139.1273,131.1723,144.96,33,6,7.94,False
6287,2024-10-28,135.08,135.51,133.99,134.4,,2036702.0,31.2238,139.3489,141.1714,139.1385,131.2471,144.9,34,7,7.81,False
6288,2024-10-29,133.55,134.63,133.2,133.3,,1608860.0,28.9815,138.7731,141.0174,139.1371,131.3147,144.84,35,8,8.66,False
6289,2024-10-30,133.05,133.59,132.34,133.2,,1636301.0,28.7809,138.2427,140.8461,139.1474,131.3871,144.78,36,9,8.69,False
6290,2024-10-31,133.15,133.88,132.67,132.98,,3322564.0,28.296,137.7411,140.6636,139.1456,131.4571,144.72,37,10,8.83,False
6291,2024-11-01,133.41,134.27,132.94,133.4,,1678234.0,30.6487,137.3278,140.4892,139.1464,131.5307,144.66,38,11,8.44,False
6292,2024-11-04,133.84,134.72,132.42,132.54,,1537723.0,28.6038,136.8718,140.317,139.1431,131.6012,144.6,39,12,9.1,False
6293,2024-11-05,132.69,133.65,132.3,133.62,,1415099.0,34.5004,136.5621,140.156,139.1089,131.6792,144.54,40,13,8.17,False
6294,2024-11-06,134.92,135.04,129.68,130.46,,2235358.0,27.3747,135.9809,139.9436,139.0425,131.7288,144.48,41,14,10.75,False
6295,2024-11-07,131.08,132.66,130.91,131.06,,1879913.0,30.3377,135.5125,139.7369,138.9727,131.8148,144.42,42,15,10.19,False
6296,2024-11-08,131.35,133.18,131.01,132.41,,1703481.0,36.5527,135.2171,139.5699,138.9043,131.8957,144.36,43,16,9.02,False
6297,2024-11-11,132.12,133.38,131.88,132.06,,1569794.0,35.6707,134.9168,139.3675,138.8478,131.9715,144.29,44,17,9.26,False
6298,2024-11-12,132.8,133.04,130.84,130.95,,2525049.0,32.9322,134.5394,139.0901,138.7865,132.0414,144.23,45,18,10.14,False
6299,2024-11-13,132.31,132.31,130.78,131.0,,1494936.0,33.1789,134.2027,138.794,138.7235,132.1094,144.17,46,19,10.05,False
6300,2024-11-14,130.53,131.57,129.67,130.5,,1543529.0,31.8907,133.8499,138.4937,138.668,132.1784,144.11,47,20,10.43,False
6301,2024-11-15,130.39,134.01,130.32,132.88,,3199116.0,43.0888,133.7572,138.2394,138.6289,132.2474,144.05,48,21,8.41,False
6302,2024-11-18,132.54,135.09,132.24,134.79,,2038330.0,50.1822,133.8555,138.018,138.6072,132.3317,143.99,49,22,6.83,False
6303,2024-11-19,134.5,135.42,133.68,134.39,,1771307.0,48.8239,133.9067,137.8071,138.5928,132.4201,143.93,50,23,7.1,False
6304,2024-11-20,134.1,135.28,133.44,135.15,,1883617.0,51.5094,134.0248,137.6718,138.5897,132.5106,143.87,51,24,6.45,False
6305,2024-11-21,135.28,136.75,134.83,135.8,,1618496.0,53.7778,134.1939,137.5657,138.5914,132.6056,143.81,52,25,5.9,False
6306,2024-11-22,136.52,137.85,136.25,137.18,,1977596.0,58.2116,134.4781,137.4646,138.6116,132.7114,143.75,53,26,4.79,False
6307,2024-11-25,137.83,138.5,136.63,137.89,,4025196.0,60.3341,134.8031,137.3643,138.6313,132.823,143.69,54,27,4.21,False
6308,2024-11-26,137.8,139.01,137.58,138.48,,2305194.0,62.0357,135.1529,137.3261,138.6471,132.9362,143.63,55,28,3.72,False
6309,2024-11-27,138.6,139.34,137.73,137.95,,1466846.0,59.5638,135.4194,137.2876,138.6562,133.0542,143.57,56,29,4.07,False
