index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
394,2024-11-26,24.27,24.46,23.94,24.12,,12315695.0,65.0751,23.4737,22.7126,21.4915,20.2364,24.46,387,0,1.41,False
395,2024-11-27,24.21,24.41,24.05,24.13,,11666932.0,65.1994,23.5362,22.7355,21.5539,20.2635,24.46,388,1,1.37,False
396,2024-11-29,24.0,24.24,23.88,24.08,,7516546.0,63.9731,23.588,22.7631,21.621,20.2911,24.45,389,2,1.54,False
397,2024-12-02,24.11,24.27,23.88,24.26,,10173764.0,66.4216,23.652,22.7919,21.6876,20.3198,24.45,390,3,0.78,False
398,2024-12-03,24.13,24.23,23.43,23.48,,13665787.0,50.4276,23.6356,22.8052,21.7424,20.3446,24.44,391,4,4.09,False
399,2024-12-04,23.45,23.52,22.18,23.16,,27219767.0,45.5787,23.5903,22.8102,21.7962,20.3678,24.44,392,5,5.53,False
400,2024-12-05,23.39,23.46,23.0,23.13,,13914495.0,45.1404,23.5465,22.8169,21.8483,20.3896,24.43,393,6,5.62,False
401,2024-12-06,23.24,23.35,22.82,22.84,,9708774.0,41.0333,23.4792,22.8151,21.8957,20.4106,24.43,394,7,6.96,False
402,2024-12-09,23.0,23.26,22.74,22.81,,15267235.0,40.6216,23.4155,22.8102,21.944,20.4314,24.42,395,8,7.06,False
403,2024-12-10,22.77,22.98,22.39,22.74,,10492471.0,39.6225,23.3511,22.8065,21.9922,20.4531,24.42,396,9,7.39,False
404,2024-12-11,22.75,22.77,22.19,22.22,,9433292.0,33.1081,23.2434,22.7993,22.0354,20.4722,24.42,397,10,9.9,False
405,2024-12-12,21.98,22.64,21.76,22.32,,14949861.0,35.3108,23.1555,22.7971,22.0826,20.4908,24.41,398,11,9.36,False
406,2024-12-13,22.28,22.31,21.94,22.21,,9184286.0,33.9851,23.0654,22.7998,22.1263,20.5095,24.41,399,12,9.91,False
407,2024-12-16,22.33,22.48,22.05,22.07,,7786276.0,32.3219,22.9706,22.8019,22.1679,20.5284,24.4,400,13,10.56,False
408,2024-12-17,22.1,22.18,21.86,22.04,,10278517.0,31.9609,22.882,22.8067,22.2048,20.5464,24.4,401,14,10.71,False
409,2024-12-18,22.0,22.17,21.47,21.51,,15272042.0,26.3602,22.7513,22.8038,22.2353,20.5616,24.39,402,15,13.39,False
410,2024-12-19,21.52,21.76,21.42,21.61,,13049082.0,28.8921,22.6426,22.8092,22.2673,20.5745,24.39,403,16,12.86,False
411,2024-12-20,21.52,21.97,21.47,21.77,,22915124.0,32.8692,22.5595,22.8219,22.3035,20.5871,24.38,404,17,11.99,False
412,2024-12-23,21.71,21.83,21.53,21.59,,13256919.0,30.7833,22.4672,22.8283,22.3365,20.5977,24.38,405,18,12.92,False
413,2024-12-24,21.48,21.64,21.37,21.56,,9164860.0,30.4366,22.3808,22.8313,22.3674,20.6076,24.38,406,19,13.08,False
414,2024-12-26,21.5,21.77,21.44,21.72,,5970305.0,34.663,22.3179,22.8343,22.406,20.6183,24.37,407,20,12.2,False
415,2024-12-27,21.59,21.8,21.53,21.53,,9833618.0,32.1639,22.2428,22.8341,22.4165,20.6268,24.37,408,21,13.19,False
416,2024-12-30,21.43,21.46,21.18,21.18,,7123914.0,28.1393,22.1416,22.8325,22.4259,20.6351,24.36,409,22,15.01,False
