index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4551,2024-11-13,200.83,201.98,193.33,193.89,,1394282.0,68.8455,184.7352,168.6624,158.5519,145.1913,201.98,1,0,4.17,False
4552,2024-11-14,193.71,194.43,166.04,167.52,,4694430.0,38.9356,183.0957,168.9126,158.7517,145.4824,201.59,2,1,20.34,False
4553,2024-11-15,167.36,168.29,156.34,160.23,,5723195.0,34.4759,180.918,169.0756,158.8975,145.7352,201.2,3,2,25.57,False
4554,2024-11-18,160.58,161.58,156.47,158.42,,2738599.0,33.4542,178.7758,169.1904,159.0173,145.9785,200.81,4,3,26.76,False
4555,2024-11-19,158.31,162.84,157.02,157.88,,1977960.0,33.1329,176.7853,169.2822,159.1447,146.2201,200.43,5,4,26.95,False
4556,2024-11-20,157.98,161.84,157.62,161.73,,1912330.0,37.6586,175.3511,169.4833,159.3137,146.4739,200.04,6,5,23.69,False
4557,2024-11-21,162.57,167.28,161.73,164.26,,2079925.0,40.5119,174.2947,169.7023,159.505,146.7358,199.66,7,6,21.55,False
4558,2024-11-22,164.94,165.95,162.9,165.08,,1770484.0,41.4437,173.4168,169.902,159.6968,147.0009,199.27,8,7,20.71,False
4559,2024-11-25,165.58,165.92,160.12,163.17,,1677164.0,39.8769,172.4411,170.0773,159.8808,147.2551,198.89,9,8,21.89,False
4560,2024-11-26,163.16,166.4,162.06,165.68,,1278585.0,42.9302,171.7968,170.3121,160.0893,147.5168,198.5,10,9,19.81,False
4561,2024-11-27,165.27,166.3,161.9,163.54,,1148781.0,41.0176,171.0105,170.5151,160.2815,147.7345,198.12,11,10,21.14,False
4562,2024-11-29,164.12,165.03,162.61,164.97,,620279.0,42.8499,170.435,170.7009,160.4503,147.9583,197.74,12,11,19.86,False
4563,2024-12-02,165.57,165.98,162.82,163.7,,1407609.0,41.6135,169.7936,170.8419,160.6053,148.1723,197.36,13,12,20.56,False
4564,2024-12-03,163.97,166.02,163.61,163.7,,1277601.0,41.6135,169.2133,170.9307,160.7507,148.3782,196.98,14,13,20.33,False
4565,2024-12-04,163.4,165.32,162.39,164.63,,980144.0,43.01,168.7766,171.0625,160.9149,148.5904,196.6,15,14,19.42,False
4566,2024-12-05,165.14,165.14,161.41,163.33,,1240948.0,41.5152,168.2581,171.1774,161.0377,148.7939,196.22,16,15,20.14,False
4567,2024-12-06,163.33,163.84,162.3,162.72,,976776.0,40.7987,167.7309,171.2716,161.1702,148.9904,195.84,17,16,20.35,False
4568,2024-12-09,162.58,162.58,158.69,159.89,,1252718.0,37.5493,166.9842,171.2833,161.2687,149.1663,195.46,18,17,22.25,False
4569,2024-12-10,160.67,161.4,159.46,159.74,,1308454.0,37.3799,166.2944,171.2267,161.3743,149.3432,195.09,19,18,22.13,False
4570,2024-12-11,160.26,160.37,152.21,153.15,,1907952.0,30.7903,165.0424,170.9981,161.3835,149.4827,194.71,20,19,27.14,False
4571,2024-12-12,149.71,153.8,146.87,152.58,,1844905.0,30.2943,163.8555,170.7543,161.3677,149.6196,194.34,21,20,27.37,False
4572,2024-12-13,152.56,154.2,152.11,152.76,,1071260.0,30.6741,162.7987,170.5151,161.4019,149.7508,193.96,22,21,26.97,False
4573,2024-12-16,152.71,154.08,150.79,152.5,,1051490.0,30.4163,161.8179,170.2461,161.4143,149.8829,193.59,23,22,26.94,False
4574,2024-12-17,151.5,151.96,148.88,150.14,,1205207.0,28.1018,160.7057,169.9244,161.425,149.9929,193.21,24,23,28.69,False
4575,2024-12-18,150.46,150.81,146.0,146.05,,1307296.0,24.6072,159.3099,169.5217,161.3635,150.0835,192.84,25,24,32.04,False
4576,2024-12-19,147.09,147.65,142.16,143.2,,2566099.0,22.5068,157.7756,169.0411,161.3431,150.1572,192.47,26,25,34.41,False
4577,2024-12-20,142.6,145.98,141.94,144.81,,3054965.0,26.3322,156.5408,168.6549,161.3545,150.2392,192.1,27,26,32.66,False
4578,2024-12-23,144.29,145.65,143.47,145.2,,1065932.0,27.2688,155.4607,168.2236,161.3663,150.3282,191.73,28,27,32.05,False
4579,2024-12-24,144.55,145.85,143.8,145.58,,708241.0,28.2263,154.5197,167.7714,161.3755,150.4266,191.36,29,28,31.45,False
4580,2024-12-26,145.22,146.33,144.33,145.71,,654307.0,28.5727,153.6807,167.3404,161.4132,150.5257,190.99,30,29,31.08,False
4581,2024-12-27,144.7,146.37,143.71,144.49,,616075.0,27.2437,152.8054,166.8776,161.4324,150.6146,190.62,31,30,31.93,False
4582,2024-12-30,143.03,143.86,142.04,143.17,,666996.0,25.8431,151.8877,166.3828,161.4396,150.6964,190.26,32,31,32.89,False
