index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5155,2024-03-28,52.25,52.51,51.98,52.25,,1120810.0,68.0264,50.7844,48.8463,46.8302,48.6899,52.51,180,0,0.5,False
5156,2024-04-01,52.2,52.36,51.69,52.02,,730784.0,65.1716,50.9025,48.9671,46.9162,48.6862,52.49,181,1,0.9,False
5157,2024-04-02,51.97,51.99,51.28,51.6,,920052.0,60.094,50.9694,49.0775,47.0009,48.6824,52.46,182,2,1.67,False
5158,2024-04-03,51.4,51.69,50.92,51.04,,951833.0,53.9844,50.9758,49.1588,47.0766,48.6755,52.44,183,3,2.74,False
5159,2024-04-04,51.3,51.54,49.98,50.01,,845931.0,45.0541,50.8837,49.2268,47.15,48.6649,52.41,184,4,4.8,False
5160,2024-04-05,50.15,50.4,49.78,50.35,,1051529.0,48.1341,50.8331,49.3106,47.2243,48.6561,52.39,185,5,4.05,False
5161,2024-04-08,50.42,50.93,50.21,50.38,,1179735.0,48.401,50.79,49.3941,47.295,48.6438,52.36,186,6,3.93,False
5162,2024-04-09,50.53,50.83,50.16,50.73,,1097882.0,51.6194,50.7846,49.4818,47.3695,48.635,52.34,187,7,3.17,False
5163,2024-04-10,50.12,50.12,49.22,49.42,,1108634.0,41.2947,50.6549,49.5425,47.4154,48.6206,52.32,188,8,5.87,False
5164,2024-04-11,49.25,49.46,48.8,48.9,,1051683.0,38.0527,50.4881,49.596,47.4602,48.5994,52.29,189,9,6.93,False
5165,2024-04-12,48.6,48.85,48.17,48.18,,1207433.0,34.035,50.2683,49.6518,47.5038,48.5663,52.27,190,10,8.49,False
5166,2024-04-15,48.82,49.04,47.93,47.96,,1060845.0,32.9221,50.0489,49.6824,47.5406,48.5323,52.24,191,11,8.92,False
5167,2024-04-16,47.7,47.84,47.37,47.39,,1422081.0,30.0813,49.7955,49.71,47.5724,48.4919,52.22,192,12,10.19,False
5168,2024-04-17,47.9,47.93,46.81,46.87,,1111000.0,27.7637,49.5168,49.7461,47.5982,48.4461,52.19,193,13,11.35,False
5169,2024-04-18,47.33,47.91,47.16,47.52,,1640018.0,34.6212,49.327,49.78,47.6285,48.4037,52.17,194,14,9.79,False
5170,2024-04-19,47.69,48.24,47.57,48.05,,1506365.0,39.5981,49.2057,49.8157,47.6632,48.3671,52.15,195,15,8.53,False
5171,2024-04-22,48.16,48.42,47.78,47.87,,1855453.0,38.4879,49.0782,49.8482,47.703,48.3328,52.12,196,16,8.88,False
5172,2024-04-23,45.16,45.74,40.56,40.75,,9659667.0,17.8444,48.2846,49.7306,47.6731,48.2616,52.1,197,17,27.85,False
5173,2024-04-24,40.61,42.38,40.4,42.34,,5642879.0,27.2528,47.7184,49.6209,47.6647,48.1968,52.07,198,18,22.98,False
5174,2024-04-25,42.4,42.85,41.77,41.99,,2404479.0,26.5302,47.1726,49.5251,47.6515,48.128,52.05,199,19,23.96,False
5175,2024-04-26,41.89,43.07,41.89,42.69,,2390793.0,30.4994,46.7458,49.4287,47.6359,48.0578,52.03,200,20,21.88,False
5176,2024-04-29,43.0,43.22,42.53,42.81,,1765308.0,31.1669,46.3709,49.3284,47.6194,47.9906,52.0,201,21,21.47,False
5177,2024-04-30,42.55,42.94,42.11,42.19,,2766333.0,29.5618,45.973,49.1988,47.6072,47.9219,51.98,202,22,23.2,False
5178,2024-05-01,41.96,43.1,41.91,42.19,,2424816.0,29.5618,45.613,49.0727,47.5883,47.8511,51.95,203,23,23.13,False
