index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
3606,2024-08-26,96.28,97.76,95.94,96.3,,1330869.0,59.7329,94.0385,93.2295,94.4468,92.9289,97.76,75,0,1.52,False
3607,2024-08-27,96.23,96.37,95.57,96.14,,1138713.0,58.9813,94.2386,93.3364,94.4088,92.9839,97.7,76,1,1.62,False
3608,2024-08-28,95.38,96.24,95.08,96.15,,1266982.0,59.016,94.4206,93.4356,94.3674,93.0362,97.64,77,2,1.55,False
3609,2024-08-29,96.82,97.43,95.55,96.59,,1194943.0,60.6305,94.6275,93.5158,94.3394,93.0815,97.58,78,3,1.02,False
3610,2024-08-30,96.54,97.34,95.85,97.11,,3213472.0,62.504,94.8643,93.6129,94.3078,93.1297,97.52,79,4,0.42,False
3611,2024-09-03,95.83,96.27,93.71,94.18,,1784436.0,48.5224,94.7993,93.6483,94.2586,93.1511,97.46,80,5,3.48,False
3612,2024-09-04,94.6,94.94,93.19,93.35,,1602918.0,45.4027,94.6608,93.6221,94.207,93.1642,97.39,81,6,4.33,False
3613,2024-09-05,93.59,93.61,92.19,92.72,,1584315.0,43.153,94.4756,93.6228,94.1623,93.1789,97.33,82,7,4.97,False
3614,2024-09-06,92.54,93.34,91.33,91.99,,2257149.0,40.6452,94.2387,93.6032,94.1206,93.1853,97.27,83,8,5.74,False
3615,2024-09-09,92.08,93.83,92.08,93.26,,2138814.0,46.4838,94.1452,93.608,94.1041,93.2022,97.21,84,9,4.24,False
3616,2024-09-10,93.25,93.3,91.93,92.28,,1789660.0,42.9889,93.9678,93.5967,94.0725,93.2173,97.15,85,10,5.28,False
3617,2024-09-11,92.45,92.71,90.66,92.45,,1606845.0,43.7707,93.8233,93.6084,94.0456,93.2366,97.09,86,11,5.02,False
3618,2024-09-12,92.36,92.7,91.06,92.35,,1315139.0,43.3937,93.6831,93.6126,94.0048,93.2534,97.03,87,12,5.07,False
3619,2024-09-13,92.92,93.28,91.54,91.68,,2321664.0,40.8193,93.4926,93.5987,93.9588,93.2719,96.97,88,13,5.77,False
3620,2024-09-16,92.13,93.28,91.87,92.57,,1412842.0,45.4335,93.4046,93.6335,93.922,93.2909,96.91,89,14,4.69,False
3621,2024-09-17,92.82,94.13,92.75,93.46,,1161867.0,49.7036,93.4102,93.6692,93.8919,93.3139,96.85,90,15,3.63,False
3622,2024-09-18,93.74,94.13,92.31,92.43,,2483022.0,45.2987,93.3169,93.7085,93.8621,93.3265,96.79,91,16,4.72,False
