index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4765,2024-11-27,138.8,140.91,138.71,139.73,,1551110.0,77.9267,130.7751,118.9838,107.1362,101.6081,140.91,2,0,0.84,False
4766,2024-11-29,139.16,139.93,138.1,138.25,,1036538.0,72.8491,131.487,119.6624,107.5744,101.8523,140.78,3,1,1.83,False
4767,2024-12-02,137.97,138.84,137.16,137.76,,1967196.0,71.195,132.0844,120.3448,107.9932,102.072,140.64,4,2,2.09,False
4768,2024-12-03,136.36,137.99,135.44,137.35,,4591748.0,69.7676,132.5859,120.9986,108.3873,102.2925,140.51,5,3,2.3,False
4769,2024-12-04,139.19,139.19,133.99,136.73,,5925182.0,67.5617,132.9806,121.5846,108.7708,102.5159,140.37,6,4,2.66,False
4770,2024-12-05,136.41,136.73,133.74,134.67,,3158376.0,60.6949,133.1415,122.139,109.1458,102.7332,140.24,7,5,4.14,False
4771,2024-12-06,134.82,136.9,134.72,136.76,,2142263.0,64.6235,133.4861,122.7112,109.5462,102.9496,140.1,8,6,2.44,False
4772,2024-12-09,136.79,136.93,133.87,133.99,,2371601.0,56.5553,133.5341,123.2162,109.9388,103.1429,139.97,9,7,4.46,False
4773,2024-12-10,134.46,135.29,133.11,134.36,,2244663.0,57.3218,133.6127,123.7136,110.3314,103.3539,139.84,10,8,4.08,False
4774,2024-12-11,135.56,136.41,134.34,134.68,,2668355.0,58.0118,133.7144,124.195,110.7275,103.5596,139.7,11,9,3.73,False
4775,2024-12-12,134.7,136.4,134.37,135.84,,1540057.0,60.5044,133.9168,124.6812,111.1299,103.7674,139.57,12,10,2.75,False
4776,2024-12-13,135.44,136.0,133.8,135.95,,1133265.0,60.7424,134.1105,125.219,111.5627,103.9622,139.43,13,11,2.56,False
4777,2024-12-16,136.35,138.83,136.13,137.83,,3834761.0,64.6617,134.4647,125.7582,112.0188,104.1656,139.3,14,12,1.07,False
4778,2024-12-17,136.78,138.33,136.34,137.86,,1700622.0,64.7223,134.7881,126.299,112.461,104.3614,139.17,15,13,0.95,False
4779,2024-12-18,138.41,138.56,132.54,132.59,,1629624.0,48.8832,134.5787,126.719,112.8322,104.5334,139.03,16,14,4.86,False
4780,2024-12-19,134.04,134.47,131.74,132.19,,1366052.0,47.9245,134.3512,127.1116,113.2079,104.6984,138.9,17,15,5.08,False
4781,2024-12-20,131.57,134.72,131.57,133.28,,4257327.0,50.7585,134.2492,127.5234,113.5788,104.8622,138.77,18,16,4.12,False
4782,2024-12-23,132.78,133.54,131.41,132.5,,974223.0,48.7154,134.0826,127.8772,113.974,105.026,138.64,19,17,4.63,False
4783,2024-12-24,132.56,133.81,132.01,133.32,,448529.0,50.9506,134.01,128.2268,114.3951,105.1923,138.5,20,18,3.89,False
4784,2024-12-26,132.94,133.69,132.45,133.35,,880530.0,51.0347,133.9471,128.5868,114.848,105.3496,138.37,21,19,3.76,False
4785,2024-12-27,132.39,133.17,130.57,131.85,,785191.0,46.722,133.7474,128.9356,115.2665,105.4874,138.24,22,20,4.85,False
4786,2024-12-30,130.14,132.14,129.46,131.01,,1070452.0,44.4564,133.4867,129.2516,115.6757,105.6254,138.11,23,21,5.42,False
