index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6306,2024-11-22,629.52,631.87,621.36,622.48,,512790.0,74.8292,585.78,530.3691,548.5224,546.2733,631.87,79,0,1.51,False
6307,2024-11-25,623.37,628.27,614.78,616.03,,1841562.0,70.2133,588.6605,532.3051,548.8192,546.8584,631.82,80,1,2.56,False
6308,2024-11-26,619.11,624.82,613.58,624.29,,551024.0,72.548,592.0535,534.5244,549.181,547.519,631.77,81,2,1.2,False
6309,2024-11-27,625.84,630.68,624.09,625.67,,543196.0,72.9292,595.2546,536.8169,549.5836,548.1352,631.71,82,3,0.97,False
6310,2024-11-29,625.65,629.99,623.54,627.78,,397630.0,73.5373,598.3525,539.221,550.0073,548.7798,631.66,83,4,0.62,False
6311,2024-12-02,625.48,625.67,618.42,621.29,,560152.0,68.4598,600.537,541.4984,550.4818,549.3697,631.61,84,5,1.66,False
6312,2024-12-03,625.91,627.83,617.89,617.95,,619698.0,65.9375,602.1954,543.7689,550.9085,549.9161,631.56,85,6,2.2,False
6313,2024-12-04,617.46,620.18,609.63,611.99,,925461.0,61.5777,603.1282,546.4099,551.2597,550.4541,631.51,86,7,3.19,False
6314,2024-12-05,608.58,609.86,599.29,607.52,,846380.0,58.4559,603.5465,548.9884,551.5095,550.9665,631.46,87,8,3.94,False
6315,2024-12-06,607.52,608.01,602.15,603.53,,730596.0,55.7395,603.5449,551.4888,551.7382,551.4445,631.4,88,9,4.62,False
6316,2024-12-09,602.81,603.95,584.52,591.9,,970517.0,48.6439,602.4359,553.5729,551.8868,551.8349,631.35,89,10,6.66,False
6317,2024-12-10,590.66,591.82,582.16,583.96,,703932.0,44.4808,600.6763,555.375,551.939,552.1708,631.3,90,11,8.11,False
6318,2024-12-11,583.32,583.49,571.3,576.69,,1094025.0,41.0192,598.3919,556.9506,551.8899,552.4714,631.25,91,12,9.46,False
6319,2024-12-12,579.82,584.65,575.86,579.29,,763449.0,42.7355,596.5726,558.7719,551.8395,552.7617,631.2,92,13,8.96,False
6320,2024-12-13,580.32,582.1,575.36,576.24,,509590.0,41.2202,594.6362,560.6623,551.7162,553.0449,631.14,93,14,9.53,False
6321,2024-12-16,576.37,585.5,566.24,570.07,,1029395.0,38.2642,592.2966,562.3664,551.4739,553.275,631.09,94,15,10.7,False
6322,2024-12-17,567.07,568.18,558.13,562.78,,1050255.0,35.0647,589.4855,563.9597,551.1145,553.4273,631.04,95,16,12.13,False
6323,2024-12-18,564.14,575.23,558.36,570.98,,1130676.0,41.037,587.723,565.4888,550.7718,553.6473,630.99,96,17,10.51,False
6324,2024-12-19,568.68,580.13,565.97,579.22,,1244744.0,46.3744,586.9132,567.0422,550.4815,553.9273,630.94,97,18,8.93,False
6325,2024-12-20,580.01,583.93,570.37,579.74,,2058308.0,46.7023,586.2301,568.5236,550.1235,554.1928,630.89,98,19,8.82,False
6326,2024-12-23,579.96,579.96,569.63,576.76,,517221.0,45.0041,585.3281,569.9585,549.6153,554.4487,630.83,99,20,9.37,False
6327,2024-12-24,575.53,580.79,573.11,579.13,,241662.0,46.6651,584.7378,571.3672,549.118,554.7202,630.78,100,21,8.92,False
6328,2024-12-26,579.0,580.6,576.45,578.43,,355254.0,46.2211,584.1371,572.6741,548.7875,554.9654,630.73,101,22,9.04,False
6329,2024-12-27,575.57,582.74,574.65,576.64,,361793.0,45.0408,583.4231,573.9999,548.4255,555.2566,630.68,102,23,9.37,False
6330,2024-12-30,573.03,576.02,569.09,570.75,,416702.0,41.3033,582.2161,575.2522,547.9727,555.4728,630.63,103,24,10.49,False
