index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6283,2024-10-22,139.44,140.58,130.12,131.02,,13082258.0,40.9786,133.9221,132.0051,119.1586,102.9404,140.58,1695,0,7.3,False
6284,2024-10-23,130.52,131.44,125.24,127.22,,8116248.0,31.7775,133.2842,132.0692,119.4401,103.1325,140.56,1696,1,10.49,False
6285,2024-10-24,127.35,128.25,125.19,125.79,,5085135.0,29.1229,132.5706,132.0884,119.711,103.3164,140.55,1697,2,11.73,False
6286,2024-10-25,125.92,126.36,123.83,124.08,,3774883.0,26.2971,131.762,132.0538,119.9762,103.4951,140.53,1698,3,13.26,False
6287,2024-10-28,125.97,130.1,125.38,129.59,,5239178.0,44.8566,131.5553,132.1316,120.292,103.6988,140.52,1699,4,8.43,False
6288,2024-10-29,128.32,129.51,127.08,128.58,,2820351.0,42.7234,131.2716,132.1886,120.606,103.9006,140.5,1700,5,9.27,False
6289,2024-10-30,128.31,128.76,126.74,126.88,,2737150.0,39.3453,130.8529,132.1992,120.8769,104.0959,140.49,1701,6,10.73,False
6290,2024-10-31,126.32,128.46,126.29,127.78,,3408943.0,41.9747,130.5604,132.1976,121.1588,104.3021,140.47,1702,7,9.93,False
6291,2024-11-01,127.78,127.83,126.17,126.54,,3068858.0,39.4452,130.1772,132.1837,121.4217,104.5007,140.46,1703,8,11.0,False
6292,2024-11-04,126.56,128.12,124.81,125.17,,3643186.0,36.8259,129.7008,132.1039,121.6721,104.687,140.44,1704,9,12.2,False
6293,2024-11-05,124.83,127.21,124.16,125.84,,3943782.0,38.9606,129.3332,131.9979,121.9259,104.8756,140.43,1705,10,11.59,False
6294,2024-11-06,130.0,133.68,128.9,133.2,,4803188.0,56.4605,129.7017,132.048,122.2596,105.1496,140.41,1706,11,5.41,False
6295,2024-11-07,132.64,134.08,131.77,132.36,,3906572.0,54.5267,129.9545,132.0771,122.5886,105.431,140.4,1707,12,6.07,False
6296,2024-11-08,132.73,134.3,132.49,133.62,,3466066.0,56.9019,130.3035,132.1055,122.9277,105.7076,140.38,1708,13,5.06,False
6297,2024-11-11,134.13,134.61,132.07,132.29,,3791282.0,53.7139,130.4924,132.0719,123.2448,105.9775,140.37,1709,14,6.11,False
6298,2024-11-12,132.09,132.49,127.78,129.65,,3144974.0,47.9881,130.4122,132.0619,123.5283,106.2326,140.35,1710,15,8.25,False
6299,2024-11-13,131.3,132.36,130.12,130.74,,2675526.0,50.3539,130.4439,132.048,123.8168,106.4958,140.34,1711,16,7.34,False
6300,2024-11-14,131.16,132.59,131.06,131.61,,2284136.0,52.2055,130.555,132.0663,124.1232,106.769,140.32,1712,17,6.62,False
6301,2024-11-15,130.11,131.25,129.71,129.79,,1929226.0,48.1385,130.4821,132.1039,124.4174,107.0267,140.31,1713,18,8.11,False
6302,2024-11-18,129.78,130.38,128.57,130.17,,2433351.0,49.0312,130.4524,132.1519,124.6983,107.2906,140.29,1714,19,7.77,False
6303,2024-11-19,129.01,129.26,128.0,128.19,,2600637.0,44.7123,130.2369,132.1279,124.9692,107.5533,140.28,1715,20,9.43,False
6304,2024-11-20,128.0,128.19,127.1,127.84,,1700740.0,43.975,130.0086,132.094,125.2522,107.8101,140.26,1716,21,9.72,False
6305,2024-11-21,127.73,128.58,126.32,127.32,,2544777.0,42.8444,129.7526,132.014,125.52,108.0639,140.25,1717,22,10.16,False
6306,2024-11-22,127.69,128.48,126.37,128.42,,3052490.0,46.0066,129.6257,131.9331,125.7987,108.3258,140.23,1718,23,9.2,False
6307,2024-11-25,129.21,130.6,127.55,130.32,,5075140.0,51.0448,129.6918,131.8617,126.0995,108.5985,140.22,1719,24,7.6,False
6308,2024-11-26,129.99,133.23,129.65,132.95,,3080298.0,57.0228,130.0021,131.8637,126.4287,108.8772,140.2,1720,25,5.45,False
6309,2024-11-27,133.91,135.55,132.36,132.48,,2579605.0,55.7135,130.2381,131.8604,126.7672,109.1617,140.19,1721,26,5.82,False
6310,2024-11-29,132.86,133.74,132.04,133.53,,1618282.0,58.0319,130.5516,131.8685,127.0966,109.4523,140.17,1722,27,4.97,False
6311,2024-12-02,133.53,133.77,132.38,132.89,,3002022.0,56.104,130.7743,131.8454,127.4042,109.7338,140.16,1723,28,5.47,False
