index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
3342,2024-10-04,175.71,176.63,169.31,171.0,,2241691.0,58.2083,165.6162,168.3356,169.2005,171.9882,176.63,126,0,3.29,False
3343,2024-10-07,170.25,173.47,169.95,172.29,,2201327.0,59.8608,166.2514,168.3643,169.2047,172.0962,176.34,127,1,2.35,False
3344,2024-10-08,169.8,170.05,156.26,159.08,,5060638.0,41.6168,165.5686,168.1426,169.087,172.1388,176.04,128,2,10.66,False
3345,2024-10-09,158.1,162.5,157.5,161.69,,2243382.0,45.1674,165.1989,167.8477,168.9744,172.1993,175.75,129,3,8.7,False
3346,2024-10-10,161.66,166.29,161.03,163.91,,1990190.0,48.075,165.0765,167.6225,168.8356,172.2796,175.46,130,4,7.05,False
3347,2024-10-11,163.08,165.9,162.47,163.33,,1839445.0,47.3626,164.9099,167.4615,168.7264,172.3511,175.17,131,5,7.25,False
3348,2024-10-14,162.4,162.94,161.13,161.58,,2086132.0,45.2104,164.5926,167.4346,168.5948,172.4246,174.88,132,6,8.23,False
3349,2024-10-15,157.04,158.89,155.92,156.13,,2557761.0,39.2327,163.7865,167.3499,168.4142,172.4856,174.59,133,7,11.82,False
3350,2024-10-16,156.54,157.9,156.12,157.0,,1504950.0,40.5911,163.1405,167.1078,168.237,172.5437,174.3,134,8,11.02,False
3351,2024-10-17,157.52,158.87,156.36,157.41,,2409107.0,41.2501,162.5948,166.9044,168.0517,172.5842,174.01,135,9,10.55,False
3352,2024-10-18,157.3,158.32,156.06,157.4,,2214886.0,41.238,162.1002,166.6057,167.8528,172.5976,173.72,136,10,10.37,False
3353,2024-10-21,157.89,158.14,155.27,156.02,,2203808.0,39.5152,161.5211,166.2462,167.7063,172.6261,173.43,137,11,11.16,False
3354,2024-10-22,156.61,157.67,155.86,157.34,,1867192.0,42.0116,161.123,165.9022,167.5776,172.6656,173.14,138,12,10.04,False
3355,2024-10-23,156.11,157.73,151.52,152.89,,3439062.0,36.5407,160.3387,165.4815,167.3588,172.6644,172.86,139,13,13.06,False
