index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6319,2024-12-12,449.11,456.16,449.11,449.56,,20834779.0,69.6514,433.6043,422.7901,420.245,422.1859,456.16,112,0,1.47,False
6320,2024-12-13,448.44,451.43,445.58,447.27,,20177833.0,66.4497,434.9058,423.4214,420.4449,422.3655,456.07,113,1,1.97,False
6321,2024-12-16,447.27,452.18,445.28,451.59,,23598834.0,69.3152,436.4948,424.1487,420.7927,422.5575,455.98,114,2,0.97,False
6322,2024-12-17,451.01,455.29,449.57,454.46,,22733494.0,71.0823,438.2057,425.0635,421.1006,422.7667,455.88,115,3,0.31,False
6323,2024-12-18,451.32,452.65,437.02,437.39,,24444545.0,51.9281,438.128,425.5338,421.2234,422.9515,455.79,116,4,4.21,False
6324,2024-12-19,441.62,443.18,436.32,437.03,,22963681.0,51.6122,438.0235,425.9419,421.3805,423.1374,455.7,117,5,4.27,False
6325,2024-12-20,433.11,443.74,428.63,436.6,,64263694.0,51.2115,437.8879,426.3738,421.5788,423.286,455.61,118,6,4.35,False
6326,2024-12-23,436.74,437.65,432.83,435.25,,19152519.0,49.9016,437.6367,426.7691,421.7759,423.4424,455.52,119,7,4.66,False
6327,2024-12-24,434.65,439.6,434.19,439.33,,7164543.0,53.7517,437.7979,427.1897,422.0998,423.6277,455.42,120,8,3.66,False
6328,2024-12-26,439.08,440.94,436.63,438.11,,8199927.0,52.4536,437.8277,427.5939,422.5443,423.7533,455.33,121,9,3.93,False
6329,2024-12-27,434.6,435.22,426.35,430.53,,18117713.0,45.1567,437.1326,427.8988,422.8686,423.842,455.24,122,10,5.74,False
6330,2024-12-30,426.06,427.55,421.9,424.83,,13158703.0,40.5847,435.961,428.0777,423.1477,423.8518,455.15,123,11,7.14,False
