index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6197,2024-06-20,156.7,157.1,142.62,143.9,,41284979.0,61.7691,135.664,124.4823,110.6411,92.7496,157.1,1,0,9.17,False
6198,2024-06-21,137.38,142.32,135.43,139.26,,51189670.0,56.0932,135.9888,124.8279,111.145,93.0961,156.98,2,1,12.72,False
6199,2024-06-24,142.16,142.55,137.61,138.73,,32410058.0,55.4675,136.2323,125.0572,111.6726,93.4393,156.86,3,2,13.07,False
6200,2024-06-25,139.79,140.85,137.48,140.84,,32370046.0,57.4998,136.6529,125.4279,112.2252,93.7958,156.74,4,3,11.29,False
6201,2024-06-26,142.75,143.78,139.26,142.08,,55490293.0,58.6929,137.1512,125.8463,112.7917,94.1569,156.62,5,4,10.23,False
6202,2024-06-27,135.52,137.12,130.82,131.97,,68172714.0,47.0685,136.6405,126.0548,113.2485,94.4682,156.5,6,5,18.59,False
6203,2024-06-28,132.56,135.15,130.49,131.27,,38140587.0,46.3849,136.112,126.3578,113.6933,94.7747,156.38,7,6,19.13,False
6204,2024-07-01,130.24,131.82,127.02,131.26,,24748994.0,46.3745,135.6328,126.7483,114.1618,95.0784,156.26,8,7,19.05,False
6205,2024-07-02,129.65,132.45,129.16,132.33,,20776035.0,47.7203,135.3009,127.263,114.6352,95.3828,156.14,9,8,17.99,False
6206,2024-07-03,132.4,136.55,132.17,136.55,,14507146.0,52.7671,135.4021,127.8151,115.1537,95.7178,156.02,10,9,14.26,False
6207,2024-07-05,136.55,136.86,130.65,131.34,,30104619.0,46.7673,134.9981,128.1967,115.6134,96.0236,155.91,11,10,18.71,False
6208,2024-07-08,131.15,133.12,129.94,130.54,,20500745.0,45.9111,134.5572,128.5759,116.0638,96.3245,155.79,12,11,19.34,False
6209,2024-07-09,131.6,135.06,130.73,130.99,,21903375.0,46.5086,134.201,128.9681,116.5602,96.6327,155.67,13,12,18.84,False
6210,2024-07-10,132.96,136.35,132.55,136.24,,22460199.0,53.0277,134.3775,129.4,117.106,96.976,155.55,14,13,14.17,False
6211,2024-07-11,136.21,136.28,129.92,130.08,,25401541.0,45.9514,133.952,129.7187,117.5923,97.2836,155.43,15,14,19.49,False
6212,2024-07-12,131.6,134.28,130.57,133.4,,20726899.0,49.8367,133.8824,130.1314,118.1329,97.6093,155.31,16,15,16.42,False
6213,2024-07-15,133.76,135.2,129.88,130.72,,20416018.0,46.9055,133.5648,130.5557,118.6348,97.9248,155.19,17,16,18.72,False
6214,2024-07-16,130.27,130.82,127.1,127.35,,21312635.0,43.4356,132.9564,130.8601,119.0951,98.2222,155.07,18,17,21.77,False
6215,2024-07-17,122.44,122.89,119.1,119.37,,31414074.0,36.552,131.6468,130.9579,119.4318,98.4946,154.96,19,18,29.81,False
6216,2024-07-18,120.37,121.5,113.96,117.32,,30404911.0,35.0185,130.2672,130.9065,119.7471,98.7427,154.84,20,19,31.98,False
6217,2024-07-19,116.56,117.08,113.72,114.13,,18038924.0,32.7183,128.716,130.8099,119.9962,98.9753,154.72,21,20,35.56,False
6218,2024-07-22,115.23,115.45,113.51,115.15,,23837761.0,34.2065,127.4093,130.7314,120.2316,99.2136,154.6,22,21,34.26,False
6219,2024-07-23,115.0,116.21,113.7,114.12,,14707710.0,33.403,126.1293,130.6624,120.478,99.4453,154.48,23,22,35.37,False
6220,2024-07-24,111.35,113.91,109.88,110.16,,25261038.0,30.4357,124.594,130.4459,120.6759,99.6526,154.37,24,23,40.13,False
6221,2024-07-25,106.68,110.58,104.92,107.33,,29068384.0,28.4926,122.936,130.1378,120.8004,99.8407,154.25,25,24,43.72,False
6222,2024-07-26,109.88,110.51,107.66,109.29,,18547885.0,31.7428,121.6222,129.8327,120.9382,100.041,154.13,26,25,41.03,False
6223,2024-07-29,110.42,110.91,107.02,107.73,,13517675.0,30.5525,120.2853,129.4368,121.0734,100.2355,154.01,27,26,42.96,False
6224,2024-07-30,108.88,109.13,102.06,102.45,,23915140.0,26.8726,118.5731,128.9337,121.145,100.398,153.89,28,27,50.21,False
6225,2024-07-31,109.73,111.22,107.63,109.7,,26503554.0,37.9233,117.7137,128.6272,121.255,100.599,153.78,29,28,40.18,False
6226,2024-08-01,107.06,107.74,99.84,101.4,,31643707.0,31.9683,116.1467,128.081,121.2956,100.7612,153.66,30,29,51.54,False
6227,2024-08-02,97.05,97.58,90.97,92.6,,36039440.0,27.1083,113.892,127.389,121.2793,100.8801,153.54,31,30,65.81,False
6228,2024-08-05,87.53,92.15,84.82,90.32,,36977615.0,26.0064,111.6354,126.6758,121.2113,100.988,153.43,32,31,69.87,False
