index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5654,2024-12-16,80.58,81.24,80.28,80.46,,2051827.0,54.3955,80.2518,77.3384,73.8981,67.0626,81.24,11,0,0.97,False
5655,2024-12-17,79.72,80.06,79.32,79.61,,3077147.0,49.3557,80.1907,77.5174,74.0288,67.1798,81.04,12,1,1.8,False
5656,2024-12-18,79.92,80.08,77.42,77.47,,2664213.0,39.4466,79.9316,77.6272,74.1285,67.2865,80.83,13,2,4.34,False
5657,2024-12-19,77.98,78.63,77.31,77.38,,3238684.0,39.0911,79.6886,77.7297,74.2151,67.3879,80.63,14,3,4.2,False
5658,2024-12-20,77.38,78.58,77.09,77.7,,7181661.0,41.1226,79.4992,77.8512,74.3195,67.4849,80.43,15,4,3.51,False
5659,2024-12-23,77.56,78.21,77.21,77.94,,1775478.0,42.6671,79.3507,77.9818,74.4299,67.5787,80.22,16,5,2.93,False
5660,2024-12-24,78.0,78.96,77.69,78.92,,846419.0,48.5968,79.3097,78.1131,74.5547,67.6774,80.02,17,6,1.39,False
5661,2024-12-26,78.5,79.4,78.38,79.12,,1842958.0,49.7393,79.2916,78.2392,74.7059,67.7784,79.82,18,7,0.88,False
5662,2024-12-27,78.63,79.18,78.06,78.42,,1346989.0,45.8945,79.2086,78.3367,74.8323,67.8759,79.62,19,8,1.53,False
5663,2024-12-30,77.73,77.88,76.88,77.4,,1654359.0,40.9298,79.0363,78.4063,74.9424,67.9724,79.42,20,9,2.61,False
