index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,273.95,277.56,273.76,275.85,,655636.0,64.6334,266.0789,255.268,247.9207,241.274,277.56,732,0,0.62,False
6311,2024-12-02,274.62,274.88,270.16,272.75,,1029052.0,60.1315,266.7142,255.7925,248.4628,241.3871,277.56,733,1,1.76,False
6312,2024-12-03,272.67,273.05,268.06,270.12,,754115.0,56.5338,267.0386,256.3013,248.9745,241.4983,277.55,734,2,2.75,False
6313,2024-12-04,269.19,269.98,264.72,267.63,,848167.0,53.2834,267.0949,256.7418,249.3979,241.5885,277.55,735,3,3.71,False
6314,2024-12-05,268.17,268.5,263.68,264.0,,725228.0,48.8719,266.8002,257.1819,249.7155,241.6417,277.55,736,4,5.13,False
6315,2024-12-06,265.28,266.11,260.18,260.78,,754547.0,45.2899,266.2268,257.5369,250.0043,241.6858,277.54,737,5,6.43,False
6316,2024-12-09,260.18,261.55,256.46,256.84,,1445012.0,41.3009,265.3328,257.7708,250.2939,241.7013,277.54,738,6,8.06,False
6317,2024-12-10,256.02,258.82,252.51,256.08,,1426401.0,40.5589,264.4516,257.9491,250.5999,241.73,277.54,739,7,8.38,False
6318,2024-12-11,255.92,256.85,246.63,247.25,,2214459.0,33.1144,262.8134,257.9579,250.8169,241.7247,277.53,740,8,12.25,False
6319,2024-12-12,248.16,250.41,246.08,248.31,,1601061.0,34.6648,261.4321,258.0101,251.0815,241.7195,277.53,741,9,11.77,False
6320,2024-12-13,248.54,249.25,246.18,246.22,,1068328.0,33.0387,259.9833,258.0632,251.3544,241.7046,277.53,742,10,12.72,False
6321,2024-12-16,246.22,247.09,241.05,242.82,,1276712.0,30.5298,258.3487,257.9878,251.5778,241.6525,277.52,743,11,14.29,False
6322,2024-12-17,241.34,245.0,240.97,242.47,,1556047.0,30.2749,256.8365,257.9882,251.5571,241.5905,277.52,744,12,14.46,False
6323,2024-12-18,242.53,244.92,237.5,237.8,,1759250.0,27.0321,255.0235,257.9063,251.4857,241.514,277.52,745,13,16.7,False
6324,2024-12-19,236.51,239.33,230.52,230.6,,1635318.0,22.9506,252.6974,257.6414,251.3217,241.4161,277.51,746,14,20.34,False
6325,2024-12-20,231.39,236.75,230.0,234.15,,2698926.0,28.6693,250.931,257.4326,251.1947,241.3311,277.51,747,15,18.52,False
6326,2024-12-23,233.96,236.53,232.68,235.77,,1409217.0,31.1796,249.4871,257.1715,251.1145,241.2337,277.51,748,16,17.7,False
6327,2024-12-24,236.02,237.92,234.1,237.92,,518693.0,34.4754,248.3855,256.8803,251.0727,241.1534,277.5,749,17,16.64,False
6328,2024-12-26,236.64,238.03,236.38,237.18,,605656.0,33.8741,247.3183,256.5646,251.0606,241.0568,277.5,750,18,17.0,False
6329,2024-12-27,235.07,238.32,233.73,235.25,,526204.0,32.2922,246.1689,256.1841,250.9876,240.9392,277.5,751,19,17.96,False
6330,2024-12-30,233.57,234.37,231.19,233.49,,643198.0,30.8761,244.9614,255.9158,250.9356,240.8356,277.49,752,20,18.84,False
