index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6316,2024-12-09,130.98,131.0,127.45,127.6,,1656817.0,55.7251,124.8722,122.8995,122.8337,116.8885,131.0,10,0,2.66,False
6317,2024-12-10,127.41,128.53,120.62,121.22,,2393142.0,45.8806,124.5244,122.8641,122.789,117.0631,130.56,11,1,7.7,False
6318,2024-12-11,122.31,124.96,121.32,122.66,,2043962.0,48.1089,124.3468,122.9013,122.7376,117.2462,130.13,12,2,6.09,False
6319,2024-12-12,122.11,124.29,121.81,123.51,,1207553.0,49.4324,124.2671,122.9214,122.6861,117.4292,129.69,13,3,5.0,False
6320,2024-12-13,123.74,124.33,121.52,121.95,,885923.0,47.06,124.0464,122.9165,122.6539,117.5991,129.26,14,4,5.99,False
6321,2024-12-16,124.84,127.2,122.68,126.1,,2130971.0,53.459,124.242,122.9707,122.6645,117.7099,128.83,15,5,2.16,False
6322,2024-12-17,124.97,125.36,121.82,122.49,,1608840.0,48.0214,124.0752,122.9429,122.6332,117.8123,128.4,16,6,4.82,False
6323,2024-12-18,122.9,123.55,117.94,118.34,,1873759.0,42.6507,123.5289,122.7787,122.572,117.8973,127.97,17,7,8.14,False
6324,2024-12-19,118.0,119.49,116.23,116.58,,1620706.0,40.578,122.8671,122.5649,122.5172,117.9629,127.55,18,8,9.41,False
6325,2024-12-20,115.94,119.82,115.1,118.45,,3813574.0,43.7082,122.4465,122.4343,122.4372,118.0407,127.12,19,9,7.32,False
6326,2024-12-23,118.26,118.7,117.04,118.08,,1456951.0,43.223,122.0306,122.2573,122.3981,118.1214,126.7,20,10,7.3,False
6327,2024-12-24,118.0,118.86,117.55,118.84,,441295.0,44.5837,121.7267,122.0969,122.401,118.2084,126.27,21,11,6.25,False
6328,2024-12-26,118.5,119.25,117.44,118.35,,733840.0,43.854,121.4051,121.9563,122.4332,118.2941,125.85,22,12,6.34,False
6329,2024-12-27,117.07,117.75,115.63,116.96,,995029.0,41.7656,120.9818,121.778,122.4369,118.3696,125.43,23,13,7.24,False
6330,2024-12-30,115.13,116.83,114.53,116.49,,2225429.0,41.0537,120.554,121.574,122.4444,118.448,125.01,24,14,7.31,False
