index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
2885,2024-12-04,29.86,29.95,29.56,29.65,,2267438.0,64.6528,28.9811,27.5528,27.3076,26.646,29.95,17,0,1.01,False
2886,2024-12-05,29.5,29.85,29.48,29.52,,2404318.0,62.1453,29.0324,27.6182,27.3195,26.6642,29.94,18,1,1.42,False
2887,2024-12-06,29.38,29.49,29.21,29.35,,1389441.0,58.9269,29.0627,27.6776,27.3342,26.6794,29.94,19,2,2.01,False
2888,2024-12-09,29.34,29.55,29.26,29.38,,1714077.0,59.3272,29.0929,27.7352,27.3512,26.6952,29.93,20,3,1.87,False
2889,2024-12-10,29.41,29.45,29.0,29.06,,2233134.0,53.3537,29.0897,27.7838,27.3692,26.7097,29.93,21,4,2.99,False
2890,2024-12-11,29.22,29.38,28.93,29.07,,2939920.0,53.5113,29.0879,27.837,27.3836,26.7239,29.92,22,5,2.92,False
2891,2024-12-12,29.0,29.26,28.94,28.98,,1661908.0,51.8153,29.0776,27.8928,27.3935,26.7381,29.92,23,6,3.24,False
2892,2024-12-13,28.88,28.93,28.55,28.61,,1288218.0,45.4393,29.0331,27.9446,27.4076,26.7478,29.91,24,7,4.54,False
2893,2024-12-16,28.61,28.92,28.43,28.65,,1641249.0,46.2099,28.9966,27.9948,27.4236,26.7604,29.91,25,8,4.4,False
2894,2024-12-17,28.5,28.72,28.24,28.25,,2155912.0,40.1091,28.9255,28.04,27.4323,26.773,29.9,26,9,5.84,False
2895,2024-12-18,28.39,28.61,27.65,27.68,,2053636.0,33.3518,28.8069,28.0754,27.4332,26.783,29.9,27,10,8.02,False
2896,2024-12-19,27.72,28.23,27.6,27.61,,1817448.0,32.6249,28.6929,28.102,27.4362,26.7919,29.89,28,11,8.26,False
2897,2024-12-20,27.49,27.97,27.46,27.86,,5791419.0,37.836,28.6136,28.1456,27.44,26.8015,29.89,29,12,7.29,False
2898,2024-12-23,27.97,28.27,27.89,28.05,,2025842.0,41.537,28.5599,28.188,27.4499,26.8111,29.88,30,13,6.52,False
2899,2024-12-24,28.14,28.26,27.95,28.25,,877558.0,45.2331,28.5304,28.2322,27.4704,26.8209,29.88,31,14,5.77,False
2900,2024-12-26,28.08,28.16,27.95,28.15,,1351984.0,43.744,28.4941,28.2658,27.4988,26.8305,29.87,32,15,6.11,False
2901,2024-12-27,27.99,28.11,27.69,27.79,,1570293.0,38.7926,28.4271,28.2942,27.5171,26.8382,29.87,33,16,7.48,False
2902,2024-12-30,27.58,27.61,27.12,27.48,,1737653.0,35.1075,28.3369,28.315,27.5325,26.8457,29.86,34,17,8.66,False
