index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
2890,2024-12-11,32.38,32.53,31.99,32.14,,732159.0,60.3147,31.85,30.0114,29.0163,27.95,32.53,6,0,1.21,False
2891,2024-12-12,32.1,32.33,31.84,31.85,,561946.0,55.0045,31.85,30.0974,29.0453,27.9729,32.47,7,1,1.95,False
2892,2024-12-13,31.59,31.83,31.39,31.43,,396053.0,48.3634,31.81,30.1788,29.0786,27.9911,32.42,8,2,3.15,False
2893,2024-12-16,31.49,31.75,31.33,31.35,,565015.0,47.1946,31.7662,30.2556,29.113,28.0119,32.36,9,3,3.22,False
2894,2024-12-17,31.34,31.5,31.04,31.11,,600339.0,43.7764,31.7037,30.33,29.1415,28.0332,32.31,10,4,3.86,False
2895,2024-12-18,31.22,31.57,30.58,30.61,,643072.0,37.6573,31.5995,30.3982,29.1631,28.0526,32.25,11,5,5.36,False
2896,2024-12-19,30.71,31.12,30.43,30.46,,678044.0,36.0302,31.491,30.4538,29.1851,28.0705,32.19,12,6,5.68,False
2897,2024-12-20,30.51,30.82,30.31,30.7,,1529207.0,40.4629,31.4157,30.5272,29.2083,28.0889,32.14,13,7,4.69,False
2898,2024-12-23,30.69,31.03,30.69,31.02,,598676.0,45.8506,31.378,30.5996,29.2396,28.1083,32.08,14,8,3.42,False
2899,2024-12-24,31.15,31.31,31.03,31.3,,429819.0,50.1053,31.3706,30.676,29.2822,28.1287,32.03,15,9,2.33,False
2900,2024-12-26,31.16,31.16,30.95,31.1,,348632.0,47.2495,31.3448,30.7396,29.3309,28.1484,31.97,16,10,2.8,False
2901,2024-12-27,30.94,31.07,30.59,30.78,,468688.0,43.0242,31.291,30.7978,29.3706,28.1663,31.92,17,11,3.7,False
2902,2024-12-30,30.66,30.67,30.03,30.33,,452471.0,37.8924,31.1995,30.8456,29.4051,28.1833,31.86,18,12,5.04,False
