index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
3581,2024-10-29,249.4,255.43,247.9,254.39,,2134410.0,67.3924,237.9494,236.7329,248.956,244.4867,255.43,73,0,0.41,False
3582,2024-10-30,248.31,252.24,243.86,244.18,,2401855.0,55.6853,238.5427,236.5824,248.7135,244.6803,254.95,74,1,4.41,False
3583,2024-10-31,243.34,243.34,230.22,233.41,,3540566.0,46.5094,238.0538,236.2107,248.3144,244.8373,254.46,75,2,9.02,False
3584,2024-11-01,233.41,239.05,233.01,237.48,,2224189.0,49.872,237.9992,236.0978,247.9454,244.9845,253.98,76,3,6.95,False
3585,2024-11-04,236.22,238.1,234.47,235.8,,2935914.0,48.5149,237.7895,235.8072,247.5095,245.0901,253.5,77,4,7.51,False
3586,2024-11-05,219.47,223.79,215.92,223.61,,5961084.0,40.015,236.4386,235.3281,247.016,245.1324,253.02,78,5,13.15,False
3587,2024-11-06,227.07,232.74,225.06,230.3,,3597991.0,45.6489,235.8544,234.9256,246.655,245.1832,252.54,79,6,9.66,False
3588,2024-11-07,236.65,237.74,230.8,235.02,,3129520.0,49.2633,235.7751,234.7329,246.3173,245.2686,252.06,80,7,7.25,False
3589,2024-11-08,232.05,233.91,226.9,232.8,,2743168.0,47.6576,235.4919,234.4587,245.9561,245.3541,251.58,81,8,8.07,False
3590,2024-11-11,229.91,230.34,222.67,225.98,,2715076.0,43.0191,234.5864,233.8979,245.5933,245.4265,251.1,82,9,11.12,False
3591,2024-11-12,224.26,225.93,220.82,223.74,,2528823.0,41.5873,233.5538,233.693,245.1451,245.4763,250.63,83,10,12.02,False
3592,2024-11-13,220.54,224.39,220.41,221.92,,3145030.0,40.4092,232.4461,233.3978,244.716,245.5282,250.15,84,11,12.72,False
3593,2024-11-14,222.84,224.28,220.34,222.92,,2250276.0,41.3863,231.5387,233.1653,244.2706,245.6077,249.68,85,12,12.0,False
3594,2024-11-15,220.8,222.92,215.58,216.03,,2793131.0,36.8799,230.0618,232.9932,243.7736,245.6408,249.21,86,13,15.36,False
3595,2024-11-18,216.19,219.39,215.03,219.17,,2472978.0,40.0784,229.024,232.8066,243.3393,245.6798,248.73,87,14,13.49,False
3596,2024-11-19,217.53,219.56,216.23,218.89,,1503557.0,39.8849,228.0586,232.7216,242.8618,245.6878,248.26,88,15,13.42,False
3597,2024-11-20,216.19,219.44,215.06,219.32,,2143872.0,40.3611,227.2259,232.5326,242.4225,245.6882,247.79,89,16,12.98,False
3598,2024-11-21,221.08,225.24,218.76,223.53,,1769699.0,44.9779,226.8735,232.5212,241.9622,245.7177,247.32,90,17,10.64,False
3599,2024-11-22,225.94,225.97,222.66,225.33,,1584139.0,46.8731,226.7262,232.4506,241.5173,245.7244,246.85,91,18,9.55,False
3600,2024-11-25,228.87,234.33,226.77,232.76,,2784862.0,53.9264,227.3011,232.527,241.1345,245.7401,246.38,92,19,5.85,False
3601,2024-11-26,236.26,237.65,225.7,227.6,,2476629.0,49.0536,227.3292,232.4492,240.6635,245.7147,245.92,93,20,8.05,False
3602,2024-11-27,227.03,228.9,221.82,225.48,,1520727.0,47.1698,227.1527,232.35,240.1942,245.7013,245.45,94,21,8.86,False
3603,2024-11-29,226.8,231.09,225.67,228.3,,1606570.0,49.9307,227.2623,232.1639,239.6793,245.6928,244.99,95,22,7.31,False
3604,2024-12-02,227.94,234.97,227.11,232.52,,2796583.0,53.8118,227.7634,232.1983,239.2838,245.7027,244.52,96,23,5.16,False
3605,2024-12-03,229.64,231.71,227.03,227.3,,2573008.0,48.7708,227.719,232.1287,238.7804,245.698,244.06,97,24,7.37,False
3606,2024-12-04,230.19,230.78,221.5,222.62,,2352027.0,44.7309,227.2334,231.9278,238.2047,245.6739,243.6,98,25,9.42,False
3607,2024-12-05,222.47,223.03,216.41,216.99,,2296966.0,40.3946,226.2578,231.61,237.4933,245.6021,243.13,99,26,12.05,False
3608,2024-12-06,218.37,220.19,217.61,218.66,,2302325.0,42.1851,225.5342,231.1609,236.9421,245.5181,242.67,100,27,10.98,False
3609,2024-12-09,217.95,225.99,217.2,223.61,,2149857.0,47.2437,225.351,230.7573,236.411,245.4621,242.21,101,28,8.32,False
3610,2024-12-10,224.26,224.48,217.05,217.94,,1715979.0,42.6413,224.6451,230.3382,235.922,245.3534,241.75,102,29,10.93,False
3611,2024-12-11,220.1,221.92,217.76,219.84,,2483005.0,44.5893,224.1875,230.1122,235.3082,245.2447,241.3,103,30,9.76,False
3612,2024-12-12,218.58,219.62,215.43,217.73,,1770951.0,42.8489,223.5725,229.7815,234.8864,245.134,240.84,104,31,10.61,False
3613,2024-12-13,216.12,218.31,215.05,216.84,,2855800.0,42.1024,222.9313,229.4752,234.534,244.9907,240.38,105,32,10.86,False
3614,2024-12-16,217.11,220.65,214.79,218.18,,2884862.0,43.693,222.4788,229.1758,234.2633,244.8157,239.93,106,33,9.97,False
3615,2024-12-17,220.34,223.18,217.61,219.02,,3592557.0,44.7182,222.1494,228.8976,233.9404,244.6608,239.47,107,34,9.34,False
3616,2024-12-18,219.08,223.36,209.29,210.29,,3610382.0,37.1479,221.0199,228.426,233.5085,244.4909,239.02,108,35,13.66,False
3617,2024-12-19,212.06,213.46,206.97,207.27,,2734949.0,34.9441,219.7104,227.8274,233.0873,244.2922,238.56,109,36,15.1,False
3618,2024-12-20,205.64,213.47,204.72,210.24,,6139389.0,38.79,218.8085,227.3308,232.5821,244.0701,238.11,110,37,13.26,False
3619,2024-12-23,210.5,214.84,210.5,214.09,,1737645.0,43.4564,218.3591,226.8727,232.309,243.9017,237.66,111,38,11.01,False
3620,2024-12-24,214.92,215.41,212.31,215.4,,790910.0,44.9931,218.0773,226.3346,232.1072,243.7336,237.21,112,39,10.13,False
3621,2024-12-26,213.0,217.38,213.0,215.04,,885784.0,44.6341,217.788,226.0,231.9249,243.5432,236.76,113,40,10.1,False
3622,2024-12-27,213.33,214.95,211.67,213.76,,1162105.0,43.3109,217.4044,225.6423,231.7165,243.3783,236.31,114,41,10.55,False
3623,2024-12-30,211.55,211.95,206.79,207.47,,1817889.0,37.4376,216.4583,225.1677,231.5192,243.2176,235.86,115,42,13.68,False
