index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6309,2024-11-27,226.72,228.44,222.06,223.83,,1319087.0,60.1802,216.9547,205.4101,200.2985,198.2237,228.44,12,0,2.06,False
6310,2024-11-29,225.77,226.72,223.74,224.86,,639753.0,61.0537,217.7079,205.822,200.7306,198.2759,228.07,13,1,1.43,False
6311,2024-12-02,226.15,226.15,223.28,224.57,,1294931.0,60.6503,218.3617,206.4389,201.1135,198.3235,227.69,14,2,1.39,False
6312,2024-12-03,221.86,222.72,217.15,218.32,,1184978.0,52.5749,218.3579,206.8867,201.3994,198.3621,227.32,15,3,4.12,False
6313,2024-12-04,215.35,218.0,207.65,211.03,,2008191.0,45.0432,217.66,207.1438,201.5622,198.3742,226.95,16,4,7.54,False
6314,2024-12-05,209.78,211.33,202.49,202.97,,1609726.0,38.4804,216.2609,207.2189,201.5587,198.3335,226.58,17,5,11.63,False
6315,2024-12-06,204.77,206.62,202.88,203.0,,1313113.0,38.5163,214.998,207.3771,201.607,198.2619,226.21,18,6,11.43,False
6316,2024-12-09,203.1,205.1,202.84,203.93,,1305898.0,39.6915,213.9439,207.5263,201.6967,198.1868,225.84,19,7,10.74,False
6317,2024-12-10,204.16,206.86,200.48,205.09,,1454298.0,41.2011,213.1007,207.6602,201.7979,198.1033,225.47,20,8,9.94,False
6318,2024-12-11,205.62,206.34,203.36,204.81,,1875333.0,40.9347,212.3111,207.8662,201.8978,198.0305,225.1,21,9,9.91,False
6319,2024-12-12,204.45,204.57,200.22,203.04,,1083673.0,39.2091,211.4281,208.0618,201.9947,197.9691,224.73,22,10,10.68,False
6320,2024-12-13,202.29,203.48,200.58,200.69,,849101.0,36.9802,210.4054,208.2617,202.0604,197.8722,224.36,23,11,11.79,False
6321,2024-12-16,200.08,200.38,197.39,198.89,,1852345.0,35.3237,209.3087,208.407,201.9975,197.7617,224.0,24,12,12.63,False
6322,2024-12-17,197.7,199.84,196.84,198.98,,1632528.0,35.4794,208.325,208.6197,201.9632,197.6469,223.63,25,13,12.39,False
6323,2024-12-18,197.77,199.9,191.42,191.77,,1166534.0,29.3805,206.7484,208.6166,201.8711,197.5349,223.27,26,14,16.43,False
6324,2024-12-19,193.2,194.33,187.64,187.74,,1680098.0,26.6255,204.938,208.4874,201.7034,197.3893,222.9,27,15,18.73,False
6325,2024-12-20,186.84,186.84,176.03,181.37,,5024356.0,22.9606,202.6935,208.2278,201.4207,197.1929,222.54,28,16,22.7,False
6326,2024-12-23,180.82,182.0,179.35,180.16,,1597243.0,22.3318,200.5474,207.8443,201.1955,197.0273,222.17,29,17,23.32,False
6327,2024-12-24,179.71,182.07,179.0,181.57,,576017.0,24.9124,198.7401,207.4316,201.065,196.8573,221.81,30,18,22.16,False
6328,2024-12-26,180.1,182.83,179.43,181.44,,756743.0,24.8305,197.0924,207.0362,200.9417,196.6664,221.45,31,19,22.05,False
6329,2024-12-27,178.96,182.4,177.84,180.23,,1080516.0,24.0382,195.4865,206.576,200.7705,196.4874,221.08,32,20,22.67,False
6330,2024-12-30,179.3,179.43,174.8,177.28,,1404770.0,22.18,193.7525,206.0962,200.6167,196.3117,220.72,33,21,24.5,False
