index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6307,2024-11-25,117.0,117.55,108.87,111.52,,10525749.0,64.2472,107.4075,98.5722,91.732,84.0414,117.55,1,0,5.41,False
6308,2024-11-26,112.45,114.14,111.9,113.45,,4953092.0,67.1228,107.9829,98.9679,92.0648,84.2696,117.03,2,1,3.16,False
6309,2024-11-27,112.59,113.28,111.74,112.59,,2144212.0,64.6284,108.4217,99.3614,92.3849,84.497,116.52,3,2,3.49,False
6310,2024-11-29,113.26,114.27,112.92,113.6,,1704034.0,66.2162,108.9149,99.7776,92.716,84.7314,116.0,4,3,2.11,False
6311,2024-12-02,113.63,113.63,109.8,110.44,,3319052.0,57.5166,109.0601,100.1268,93.0099,84.9405,115.49,5,4,4.57,False
6312,2024-12-03,110.9,111.55,110.02,110.51,,2518940.0,57.6494,109.1982,100.4516,93.2873,85.1455,114.98,6,5,4.04,False
6313,2024-12-04,110.29,110.29,107.71,108.74,,3064412.0,53.1291,109.1546,100.7417,93.5468,85.343,114.48,7,6,5.28,False
6314,2024-12-05,109.09,110.7,108.85,110.12,,2182454.0,56.0243,109.2465,101.0702,93.8163,85.5396,113.97,8,7,3.5,False
6315,2024-12-06,110.1,110.39,108.13,109.0,,2160043.0,53.1546,109.223,101.4859,94.0716,85.7286,113.47,9,8,4.1,False
6316,2024-12-09,109.44,109.51,104.82,105.12,,3093207.0,44.6266,108.8323,101.8025,94.307,85.9019,112.97,10,9,7.47,False
6317,2024-12-10,105.96,105.96,104.08,104.34,,2628771.0,43.1285,108.4044,102.0858,94.5343,86.0716,112.47,11,10,7.79,False
6318,2024-12-11,105.1,105.88,104.15,104.33,,2681176.0,43.1086,108.0164,102.3462,94.7522,86.2342,111.98,12,11,7.33,False
6319,2024-12-12,104.2,105.28,103.8,104.47,,2015119.0,43.5031,107.6786,102.5872,94.9831,86.3975,111.49,13,12,6.72,False
6320,2024-12-13,104.55,105.0,103.52,104.03,,1801787.0,42.5053,107.3312,102.7934,95.2201,86.5549,110.99,14,13,6.69,False
6321,2024-12-16,103.96,104.05,102.33,102.85,,2957886.0,39.8645,106.9044,102.9658,95.4528,86.7065,110.51,15,14,7.45,False
6322,2024-12-17,101.88,102.24,100.12,101.78,,3707533.0,37.5842,106.4163,103.1245,95.6686,86.8457,110.02,16,15,8.1,False
6323,2024-12-18,101.42,101.51,97.59,97.64,,3847198.0,30.3504,105.5805,103.225,95.8414,86.9596,109.53,17,16,12.18,False
6324,2024-12-19,98.63,99.21,97.39,97.66,,3719379.0,30.4201,104.8262,103.303,96.0085,87.0733,109.05,18,17,11.66,False
6325,2024-12-20,97.7,100.52,97.22,100.08,,8590597.0,38.4439,104.3742,103.4307,96.1946,87.1998,108.57,19,18,8.48,False
6326,2024-12-23,99.63,101.17,98.61,100.97,,2249646.0,41.1326,104.0499,103.5382,96.3923,87.3321,108.09,20,19,7.05,False
6327,2024-12-24,101.46,102.31,100.92,102.19,,1153898.0,44.6983,103.8728,103.6525,96.6209,87.4699,107.62,21,20,5.31,False
6328,2024-12-26,101.91,102.04,100.77,101.25,,1971625.0,42.5593,103.623,103.7978,96.8555,87.6013,107.14,22,21,5.82,False
6329,2024-12-27,100.79,101.51,100.21,100.83,,1928364.0,41.6013,103.357,103.9215,97.0492,87.7331,106.67,23,22,5.79,False
6330,2024-12-30,100.72,101.47,99.53,100.78,,2434307.0,41.4816,103.1116,104.0285,97.2351,87.8647,106.2,24,23,5.38,False
