index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,104.08,105.16,103.73,104.0,,794171.0,57.8238,101.8255,101.6296,98.2041,94.1871,105.16,16,0,1.12,False
6311,2024-12-02,103.94,104.5,103.25,104.19,,1196004.0,58.3491,102.0506,101.6834,98.3367,94.2858,105.1,17,1,0.87,False
6312,2024-12-03,104.22,104.67,102.53,102.99,,1165800.0,53.7577,102.14,101.713,98.4472,94.3761,105.04,18,2,1.99,False
6313,2024-12-04,102.71,103.27,102.22,102.46,,949953.0,51.8338,102.1707,101.7435,98.5479,94.4597,104.97,19,3,2.45,False
6314,2024-12-05,102.84,103.41,102.21,102.33,,1101735.0,51.3483,102.1862,101.7929,98.6317,94.5414,104.91,20,4,2.52,False
6315,2024-12-06,102.79,103.21,102.07,102.61,,1115249.0,52.3827,102.2268,101.8015,98.7559,94.6259,104.85,21,5,2.18,False
6316,2024-12-09,98.1,99.12,92.03,92.09,,10939171.0,28.0602,101.2618,101.606,98.7694,94.6565,104.79,22,6,13.79,False
6317,2024-12-10,90.7,93.58,90.31,91.74,,4966768.0,27.5916,100.3547,101.3891,98.79,94.6829,104.73,23,7,14.16,False
6318,2024-12-11,91.99,92.69,91.1,91.38,,3392010.0,27.1042,99.5,101.179,98.7996,94.7072,104.66,24,8,14.53,False
6319,2024-12-12,91.35,91.55,89.42,89.46,,2303954.0,24.5838,98.5433,100.9432,98.7849,94.727,104.6,25,9,16.92,False
6320,2024-12-13,89.35,90.04,88.37,89.61,,2083152.0,25.2016,97.6929,100.7309,98.7868,94.7462,104.54,26,10,16.66,False
6321,2024-12-16,89.45,91.14,89.15,90.18,,2912414.0,27.4806,96.9774,100.5194,98.7687,94.768,104.48,27,11,15.86,False
6322,2024-12-17,89.29,90.08,87.53,88.27,,3356312.0,24.7455,96.1485,100.2834,98.711,94.7765,104.42,28,12,18.3,False
6323,2024-12-18,88.19,89.67,87.03,87.06,,2514158.0,23.1677,95.2834,100.011,98.6407,94.7797,104.35,29,13,19.86,False
6324,2024-12-19,87.8,88.43,86.9,87.2,,3738483.0,23.7684,94.5138,99.7155,98.5478,94.7762,104.29,30,14,19.6,False
6325,2024-12-20,87.63,89.81,86.92,88.86,,6003352.0,30.726,93.9754,99.4742,98.4703,94.7705,104.23,31,15,17.3,False
6326,2024-12-23,88.44,88.6,86.56,86.7,,1809241.0,27.2362,93.2825,99.1671,98.4026,94.7557,104.17,32,16,20.15,False
6327,2024-12-24,86.77,86.77,85.97,86.39,,823470.0,26.7663,92.626,98.8458,98.3599,94.726,104.11,33,17,20.51,False
6328,2024-12-26,85.88,87.64,85.69,87.43,,1218348.0,31.063,92.1312,98.5303,98.3484,94.6995,104.05,34,18,19.01,False
6329,2024-12-27,86.71,87.55,86.22,86.49,,1164192.0,29.3849,91.5939,98.1668,98.3129,94.6642,103.98,35,19,20.22,False
6330,2024-12-30,85.79,86.05,84.56,85.82,,1468478.0,28.2149,91.044,97.7952,98.278,94.6404,103.92,36,20,21.09,False
