index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
1155,2024-10-21,105.14,105.83,104.57,105.11,,1090989.0,65.1346,102.5712,97.2256,96.4767,94.6403,105.83,2,0,0.68,False
1156,2024-10-22,104.8,104.8,102.5,102.56,,2339937.0,53.6321,102.5698,97.4459,96.5462,94.7224,105.79,3,1,3.15,False
1157,2024-10-23,102.38,102.94,101.85,102.46,,1722019.0,53.2366,102.559,97.6616,96.5868,94.8038,105.75,4,2,3.21,False
1158,2024-10-24,102.13,102.86,101.42,102.09,,1430478.0,51.717,102.5142,97.8762,96.6274,94.8866,105.71,5,3,3.55,False
1159,2024-10-25,102.59,102.61,100.73,100.86,,1505356.0,46.922,102.3569,98.0444,96.652,94.9627,105.67,6,4,4.77,False
1160,2024-10-28,101.63,102.11,100.7,101.05,,1492591.0,47.7283,102.2327,98.2302,96.6629,95.0442,105.63,7,5,4.53,False
1161,2024-10-29,100.46,101.6,100.24,100.97,,2162877.0,47.4018,102.1127,98.4037,96.6866,95.1248,105.59,8,6,4.58,False
1162,2024-10-30,96.78,99.32,95.77,97.89,,3765340.0,36.902,101.711,98.5139,96.687,95.1878,105.55,9,7,7.83,False
1163,2024-10-31,96.92,99.3,96.9,97.82,,2425483.0,36.6755,101.3399,98.5984,96.6955,95.2563,105.51,10,8,7.86,False
1164,2024-11-01,98.11,99.85,98.05,99.05,,3060559.0,42.5606,101.1219,98.7123,96.7289,95.3235,105.47,11,9,6.48,False
1165,2024-11-04,99.36,99.92,98.75,99.05,,1613690.0,42.5606,100.9246,98.8167,96.7528,95.3868,105.43,12,10,6.44,False
1166,2024-11-05,99.04,100.53,98.89,99.77,,1622738.0,45.9437,100.8143,98.9464,96.784,95.4529,105.39,13,11,5.63,False
1167,2024-11-06,102.22,102.22,98.32,100.17,,2934993.0,47.7837,100.7526,99.0944,96.8222,95.5189,105.35,14,12,5.17,False
1168,2024-11-07,100.7,101.62,100.4,100.54,,1662269.0,49.5409,100.7327,99.2444,96.8609,95.5885,105.31,15,13,4.74,False
1169,2024-11-08,100.01,101.31,99.54,99.64,,2688975.0,45.5847,100.6285,99.3679,96.9001,95.6488,105.27,16,14,5.65,False
1170,2024-11-11,100.07,101.41,100.07,101.12,,1612610.0,52.3013,100.6755,99.504,96.9532,95.7183,105.23,17,15,4.06,False
1171,2024-11-12,101.1,101.32,99.21,99.34,,2451384.0,45.0993,100.5482,99.5976,96.9951,95.7754,105.19,18,16,5.89,False
1172,2024-11-13,99.16,100.42,98.95,100.0,,2324292.0,47.9456,100.4957,99.7198,97.0343,95.8325,105.15,19,17,5.15,False
1173,2024-11-14,99.86,100.39,99.31,99.33,,1980745.0,45.3739,100.3846,99.865,97.0787,95.8939,105.11,20,18,5.82,False
1174,2024-11-15,99.36,100.22,98.67,99.1,,1855225.0,44.4917,100.2622,100.0256,97.12,95.9485,105.07,21,19,6.02,False
1175,2024-11-18,98.69,101.02,98.69,100.77,,1854903.0,51.8422,100.3106,100.2145,97.1755,96.0047,105.03,22,20,4.23,False
1176,2024-11-19,100.2,101.18,99.77,100.28,,1755066.0,49.7601,100.3077,100.3844,97.2235,96.0588,104.99,23,21,4.7,False
1177,2024-11-20,100.47,100.73,98.72,99.69,,1881862.0,47.2969,100.2488,100.5356,97.2786,96.1048,104.95,24,22,5.28,False
1178,2024-11-21,99.88,100.54,99.15,99.95,,2564191.0,48.5066,100.2204,100.6875,97.3264,96.1529,104.91,25,23,4.96,False
1179,2024-11-22,99.94,101.81,99.91,101.2,,1819992.0,53.9761,100.3137,100.8353,97.3811,96.2117,104.87,26,24,3.63,False
1180,2024-11-25,101.74,102.84,101.69,102.46,,2312001.0,58.7341,100.5181,100.9957,97.4448,96.2757,104.84,27,25,2.32,False
1181,2024-11-26,102.2,102.43,101.44,101.97,,1179921.0,56.2966,100.6564,101.1208,97.4984,96.3361,104.8,28,26,2.78,False
1182,2024-11-27,102.08,103.0,101.71,102.52,,1373381.0,58.3843,100.8339,101.2988,97.5683,96.4053,104.76,29,27,2.18,False
1183,2024-11-29,102.29,103.21,101.97,102.98,,1060619.0,60.1009,101.0382,101.4384,97.6373,96.4732,104.72,30,28,1.69,False
1184,2024-12-02,103.01,103.23,101.31,101.8,,1444469.0,53.9527,101.1108,101.5715,97.671,96.5267,104.68,31,29,2.83,False
1185,2024-12-03,101.97,102.12,100.57,101.06,,1352206.0,50.4661,101.106,101.6752,97.6876,96.5813,104.64,32,30,3.54,False
1186,2024-12-04,101.02,101.45,100.33,101.13,,1210104.0,50.7901,101.1082,101.727,97.7126,96.6374,104.6,33,31,3.43,False
1187,2024-12-05,99.75,100.58,99.0,99.12,,1989342.0,42.2461,100.9189,101.7264,97.7157,96.6801,104.56,34,32,5.49,False
1188,2024-12-06,99.83,100.44,99.31,99.8,,1475697.0,45.5814,100.8123,101.6629,97.7324,96.7227,104.52,35,33,4.73,False
1189,2024-12-09,100.51,101.62,100.28,100.87,,1864521.0,50.4321,100.8178,101.5999,97.762,96.7651,104.48,36,34,3.58,False
1190,2024-12-10,100.03,100.8,98.84,100.06,,1914997.0,47.0155,100.7456,101.5304,97.7932,96.802,104.44,37,35,4.38,False
1191,2024-12-11,100.16,100.83,98.81,98.99,,1587183.0,42.8828,100.5784,101.4429,97.7965,96.8334,104.4,38,36,5.47,False
1192,2024-12-12,98.11,98.49,97.25,98.27,,1780139.0,40.3147,100.3586,101.3204,97.8034,96.8559,104.36,39,37,6.2,False
1193,2024-12-13,98.08,98.53,97.33,97.79,,1471427.0,38.6529,100.114,101.1983,97.8744,96.8741,104.32,40,38,6.68,False
1194,2024-12-16,98.02,98.09,96.05,96.19,,2225947.0,33.6705,99.7403,101.0391,97.9136,96.8824,104.28,41,39,8.41,False
1195,2024-12-17,95.95,97.18,95.5,96.34,,1851307.0,34.5226,99.4164,100.8937,97.9498,96.8929,104.24,42,40,8.2,False
1196,2024-12-18,96.14,96.92,93.81,93.85,,2215325.0,28.0748,98.8863,100.7556,97.9655,96.8952,104.2,43,41,11.03,False
1197,2024-12-19,93.89,95.03,92.77,92.87,,2299509.0,26.0154,98.3133,100.5631,97.9636,96.8894,104.16,44,42,12.16,False
1198,2024-12-20,92.97,94.06,92.68,93.56,,4294174.0,29.9137,97.8606,100.3828,97.9619,96.8784,104.12,45,43,11.29,False
1199,2024-12-23,93.16,93.61,92.84,93.51,,1220121.0,29.7912,97.4463,100.1805,97.9617,96.8637,104.09,46,44,11.31,False
1200,2024-12-24,93.34,94.1,92.88,94.0,,442926.0,32.6997,97.1181,99.9624,97.9664,96.8579,104.05,47,45,10.69,False
