index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6282,2024-10-21,63.96,64.29,63.17,63.21,,3301019.0,60.3511,62.1914,61.2445,57.5886,54.6018,64.29,549,0,1.71,False
6283,2024-10-22,63.0,63.37,62.87,63.11,,2839968.0,59.4191,62.2791,61.3214,57.7185,54.6422,64.29,550,1,1.87,False
6284,2024-10-23,63.02,63.84,63.02,63.66,,4232916.0,62.8199,62.4105,61.4093,57.8412,54.6779,64.28,551,2,0.97,False
6285,2024-10-24,63.57,64.09,62.72,62.74,,3841129.0,54.5027,62.4415,61.4817,57.9497,54.7099,64.28,552,3,2.45,False
6286,2024-10-25,62.64,62.72,60.66,60.75,,5994203.0,41.7125,62.2808,61.5233,58.0274,54.7328,64.27,553,4,5.79,False
6287,2024-10-28,61.25,61.55,60.63,60.73,,4605025.0,41.6073,62.1336,61.5578,58.1089,54.7549,64.27,554,5,5.83,False
6288,2024-10-29,60.56,60.78,59.85,59.86,,5174284.0,37.1676,61.9173,61.559,58.1794,54.7744,64.27,555,6,7.37,False
6289,2024-10-30,59.97,60.45,59.75,59.93,,4564702.0,37.7368,61.7282,61.5674,58.2597,54.7969,64.26,556,7,7.23,False
6290,2024-10-31,59.7,59.85,58.78,58.83,,9170569.0,32.6815,61.4524,61.5466,58.335,54.8192,64.26,557,8,9.23,False
6291,2024-11-01,59.14,59.56,58.55,58.61,,4615704.0,31.747,61.1814,61.5297,58.4126,54.8456,64.26,558,9,9.64,False
6292,2024-11-04,58.72,59.77,58.64,59.02,,4691594.0,35.3661,60.9752,61.5094,58.4899,54.8722,64.25,559,10,8.86,False
6293,2024-11-05,58.73,58.74,57.65,58.55,,5515382.0,33.1933,60.744,61.4664,58.5573,54.9008,64.25,560,11,9.74,False
6294,2024-11-06,57.97,57.97,55.74,56.74,,11418159.0,26.4232,60.3623,61.3797,58.6052,54.9185,64.24,561,12,13.22,False
6295,2024-11-07,57.01,57.06,56.0,56.12,,7303147.0,24.5838,59.9582,61.2837,58.6499,54.9379,64.24,562,13,14.47,False
6296,2024-11-08,56.54,57.44,56.44,57.24,,5576556.0,33.6499,59.6997,61.2219,58.7055,54.9608,64.24,563,14,12.23,False
6297,2024-11-11,57.25,58.38,57.21,57.38,,5228116.0,34.6973,59.4791,61.1489,58.7633,54.9865,64.23,564,15,11.94,False
6298,2024-11-12,57.13,57.38,56.72,56.76,,3675471.0,32.2315,59.2198,61.0549,58.8136,55.0094,64.23,565,16,13.16,False
6299,2024-11-13,57.18,57.32,56.36,56.64,,3791960.0,31.7684,58.9738,60.9499,58.8578,55.0304,64.23,566,17,13.4,False
6300,2024-11-14,56.58,56.58,55.62,55.81,,5115128.0,28.6971,58.6725,60.836,58.9009,55.0498,64.22,567,18,15.07,False
6301,2024-11-15,55.82,56.36,55.69,56.28,,7984876.0,32.6668,58.4445,60.73,58.9509,55.0675,64.22,568,19,14.11,False
6302,2024-11-18,55.88,56.63,55.71,56.51,,4209643.0,34.5861,58.26,60.6195,59.0056,55.0914,64.21,569,20,13.63,False
6303,2024-11-19,56.46,57.06,56.06,56.92,,3365143.0,37.9798,58.132,60.5182,59.0607,55.1246,64.21,570,21,12.81,False
6304,2024-11-20,56.66,57.01,56.37,56.62,,4131316.0,36.4881,57.9877,60.4149,59.1146,55.1511,64.21,571,22,13.41,False
6305,2024-11-21,56.45,57.24,56.3,57.12,,2953103.0,40.7487,57.9055,60.3256,59.173,55.182,64.2,572,23,12.39,False
6306,2024-11-22,57.38,57.61,57.03,57.18,,3277844.0,41.248,57.8368,60.2316,59.2318,55.2142,64.2,573,24,12.28,False
6307,2024-11-25,57.23,57.46,56.91,57.18,,6793304.0,41.248,57.7746,60.1383,59.2843,55.2483,64.2,574,25,12.28,False
6308,2024-11-26,57.12,57.57,56.81,57.48,,3038864.0,43.9854,57.7468,60.0546,59.3391,55.2843,64.19,575,26,11.67,False
6309,2024-11-27,57.87,58.51,57.86,58.05,,3016136.0,48.8608,57.7757,59.9882,59.4035,55.3286,64.19,576,27,10.58,False
6310,2024-11-29,58.23,58.38,57.52,57.62,,3486234.0,45.634,57.7611,59.9427,59.4555,55.3714,64.18,577,28,11.38,False
