index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6311,2024-12-02,94.24,94.33,91.55,91.63,,2078943.0,58.5565,90.0565,88.648,83.624,75.6414,94.33,2,0,2.95,False
6312,2024-12-03,92.56,92.72,90.52,90.53,,2458369.0,53.9369,90.1017,88.7128,83.7774,75.8044,94.22,3,1,4.08,False
6313,2024-12-04,90.64,91.23,90.17,91.17,,1725847.0,56.088,90.2031,88.7938,83.9542,75.9691,94.1,4,2,3.21,False
6314,2024-12-05,91.1,91.62,90.81,90.89,,2066561.0,54.8805,90.2684,88.859,84.1284,76.1274,93.99,5,3,3.41,False
6315,2024-12-06,90.67,90.99,89.04,89.38,,1646754.0,48.7454,90.1837,88.9102,84.2814,76.2818,93.87,6,4,5.02,False
6316,2024-12-09,89.2,89.37,87.26,87.29,,2639259.0,41.794,89.9085,88.9033,84.4255,76.424,93.76,7,5,7.41,False
6317,2024-12-10,87.12,87.12,85.33,86.38,,3115820.0,39.1593,89.5724,88.859,84.5536,76.5671,93.64,8,6,8.4,False
6318,2024-12-11,86.66,86.66,85.3,85.56,,3585561.0,36.9103,89.1903,88.7681,84.6618,76.6966,93.53,9,7,9.32,False
6319,2024-12-12,86.34,86.96,85.55,85.95,,2129683.0,38.7132,88.8817,88.6791,84.7762,76.8229,93.42,10,8,8.69,False
6320,2024-12-13,86.16,87.06,86.0,86.81,,2143233.0,42.6077,88.6844,88.5959,84.8956,76.9547,93.3,11,9,7.48,False
6321,2024-12-16,86.87,86.98,85.92,86.05,,1985338.0,40.1779,88.4335,88.489,85.0243,77.0835,93.19,12,10,8.3,False
6322,2024-12-17,85.45,86.29,84.97,85.45,,1810780.0,38.3199,88.1493,88.4108,85.1295,77.2038,93.07,13,11,8.92,False
6323,2024-12-18,85.33,85.51,82.93,82.98,,2963249.0,31.8004,87.657,88.2632,85.2009,77.3077,92.96,14,12,12.03,False
6324,2024-12-19,82.99,84.19,82.99,83.19,,2844447.0,32.8465,87.2316,88.1386,85.2639,77.4093,92.85,15,13,11.61,False
6325,2024-12-20,82.37,85.17,82.12,85.06,,5833110.0,41.4576,87.0248,88.078,85.3281,77.5156,92.74,16,14,9.03,False
6326,2024-12-23,85.05,85.27,83.8,85.23,,1953626.0,42.1835,86.8538,88.0415,85.3943,77.6276,92.62,17,15,8.67,False
6327,2024-12-24,85.09,85.84,84.94,85.79,,600841.0,44.6193,86.7525,87.9864,85.4751,77.7391,92.51,18,16,7.83,False
6328,2024-12-26,85.49,85.73,84.8,85.4,,943282.0,43.2526,86.6237,87.9432,85.5672,77.8531,92.4,19,17,8.2,False
6329,2024-12-27,84.72,85.14,84.21,84.93,,1356050.0,41.599,86.4624,87.85,85.6434,77.9653,92.29,20,18,8.67,False
6330,2024-12-30,84.27,84.74,83.6,84.47,,1246975.0,39.9876,86.2727,87.7578,85.7097,78.0748,92.17,21,19,9.12,False
