index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6257,2024-09-16,177.48,177.9,174.85,175.7,,4940100.0,59.5025,173.8606,169.8775,169.4305,166.6473,177.9,336,0,1.25,False
6258,2024-09-17,175.49,176.57,174.8,175.36,,6305100.0,58.0882,174.0038,170.1944,169.4522,166.7204,177.87,337,1,1.43,False
6259,2024-09-18,175.35,176.54,172.94,173.72,,5307852.0,51.6353,173.9766,170.4826,169.4645,166.7738,177.85,338,2,2.38,False
6260,2024-09-19,174.25,174.72,172.67,173.17,,5504038.0,49.6666,173.9,170.7268,169.4822,166.8225,177.82,339,3,2.69,False
6261,2024-09-20,171.1,172.29,168.77,169.72,,12198430.0,39.4244,173.5022,170.8948,169.4599,166.8518,177.8,340,4,4.76,False
6262,2024-09-23,169.42,172.46,169.27,170.64,,5350483.0,42.8181,173.23,171.0334,169.449,166.8915,177.77,341,5,4.18,False
6263,2024-09-24,169.53,170.14,168.06,168.47,,7837853.0,37.4914,172.777,171.1782,169.4239,166.9224,177.75,342,6,5.51,False
6264,2024-09-25,168.95,169.31,167.33,167.96,,4505130.0,36.3356,172.318,171.295,169.3907,166.951,177.72,343,7,5.81,False
6265,2024-09-26,167.78,169.54,167.24,168.25,,5673635.0,37.493,171.9301,171.3166,169.3535,166.9897,177.7,344,8,5.62,False
6266,2024-09-27,168.51,170.18,168.24,168.55,,7545935.0,38.7743,171.6085,171.3349,169.3226,167.0195,177.67,345,9,5.41,False
6267,2024-09-30,169.13,170.28,168.14,168.6,,5054615.0,38.9915,171.3221,171.374,169.2707,167.0464,177.64,346,10,5.36,False
6268,2024-10-01,169.83,170.48,168.32,169.92,,7095860.0,44.6202,171.1887,171.473,169.238,167.0628,177.62,347,11,4.53,False
6269,2024-10-02,170.04,170.28,167.09,168.11,,5785972.0,39.2538,170.8951,171.5628,169.1808,167.0883,177.59,348,12,5.64,False
6270,2024-10-03,166.71,167.67,165.75,167.1,,5090330.0,36.6109,170.5332,171.5953,169.0966,167.1148,177.57,349,13,6.27,False
6271,2024-10-04,165.73,167.07,165.4,166.54,,4391321.0,35.2092,170.1529,171.5605,168.996,167.1293,177.54,350,14,6.61,False
6272,2024-10-07,166.29,166.5,165.04,165.79,,5459506.0,33.3435,169.737,171.4766,168.8979,167.1447,177.52,351,15,7.08,False
6273,2024-10-08,166.29,169.2,165.43,168.97,,8297792.0,46.2893,169.6639,171.4473,168.8356,167.1869,177.49,352,16,5.04,False
6274,2024-10-09,167.94,171.8,167.66,171.07,,7177529.0,52.8082,169.7979,171.4607,168.7587,167.2334,177.47,353,17,3.74,False
6275,2024-10-10,170.6,171.59,169.76,171.52,,5292404.0,54.0821,169.9616,171.493,168.6953,167.2788,177.44,354,18,3.45,False
6276,2024-10-11,172.52,173.68,171.4,173.32,,4720299.0,58.9131,170.2816,171.5163,168.6683,167.3274,177.42,355,19,2.37,False
6277,2024-10-14,173.47,174.77,172.95,174.6,,4536048.0,61.9674,170.693,171.5046,168.6465,167.3798,177.39,356,20,1.6,False
6278,2024-10-15,174.85,175.88,173.63,174.4,,5802290.0,61.2077,171.0462,171.5677,168.6129,167.4313,177.36,357,21,1.7,False
6279,2024-10-16,173.52,173.84,172.15,172.99,,4400852.0,55.9619,171.2318,171.6331,168.5928,167.4735,177.34,358,22,2.51,False
6280,2024-10-17,172.9,173.98,172.22,173.18,,4125910.0,56.4991,171.4176,171.716,168.587,167.5018,177.31,359,23,2.38,False
6281,2024-10-18,170.83,173.84,170.65,173.57,,5097170.0,57.6414,171.6225,171.7953,168.6301,167.5319,177.29,360,24,2.14,False
6282,2024-10-21,172.97,175.99,172.86,173.52,,6436516.0,57.4332,171.8032,171.8732,168.6945,167.5689,177.26,361,25,2.16,False
6283,2024-10-22,173.02,173.46,172.03,172.89,,3790452.0,54.709,171.9063,171.9574,168.7591,167.6149,177.24,362,26,2.52,False
6284,2024-10-23,172.22,172.36,171.0,171.48,,3800654.0,49.1397,171.8655,171.9949,168.7859,167.6531,177.21,363,27,3.34,False
6285,2024-10-24,171.45,172.06,170.24,170.69,,4244903.0,46.3149,171.7539,171.9902,168.8213,167.6968,177.19,364,28,3.81,False
6286,2024-10-25,171.0,172.52,170.14,170.33,,4442863.0,45.0099,171.618,172.0017,168.827,167.7399,177.16,365,29,4.01,False
6287,2024-10-28,171.51,171.51,168.28,168.39,,5186635.0,38.8042,171.311,171.9725,168.8172,167.7771,177.14,366,30,5.2,False
6288,2024-10-29,167.76,167.76,165.55,166.07,,5127890.0,32.9358,170.8122,171.8733,168.7871,167.7972,177.11,367,31,6.65,False
6289,2024-10-30,165.58,166.21,164.67,164.79,,4801541.0,30.2223,170.2391,171.7086,168.7521,167.8162,177.08,368,32,7.46,False
6290,2024-10-31,164.69,166.08,164.4,164.67,,5582423.0,29.9545,169.7084,171.5539,168.7664,167.8333,177.06,369,33,7.52,False
6291,2024-11-01,164.68,164.83,163.8,164.18,,6339121.0,28.9143,169.1819,171.3791,168.7839,167.8444,177.03,370,34,7.83,False
6292,2024-11-04,164.18,165.23,163.78,164.92,,4885472.0,32.7627,168.7763,171.2165,168.8211,167.866,177.01,371,35,7.33,False
6293,2024-11-05,164.54,166.53,164.26,166.42,,3678708.0,39.826,168.552,171.082,168.8782,167.8983,176.98,372,36,6.35,False
6294,2024-11-06,165.94,165.98,162.21,163.31,,7849309.0,32.2412,168.0525,170.8984,168.8995,167.9027,176.96,373,37,8.36,False
6295,2024-11-07,163.1,163.5,162.08,162.6,,5333532.0,30.8123,167.5336,170.7278,168.8907,167.9136,176.93,374,38,8.81,False
6296,2024-11-08,162.45,164.41,162.25,163.7,,4618265.0,35.6165,167.1689,170.6153,168.8897,167.9253,176.91,375,39,8.07,False
6297,2024-11-11,163.01,164.74,162.58,162.86,,3761969.0,33.6875,166.7587,170.4703,168.8782,167.9264,176.88,376,40,8.61,False
6298,2024-11-12,162.69,163.6,161.76,162.94,,5386925.0,34.0495,166.395,170.2353,168.8616,167.9266,176.86,377,41,8.54,False
6299,2024-11-13,162.1,163.4,160.99,163.34,,4145443.0,35.933,166.1038,169.9889,168.8412,167.9216,176.83,378,42,8.26,False
6300,2024-11-14,163.34,165.46,162.44,163.74,,5422685.0,37.891,165.8791,169.7352,168.8319,167.924,176.81,379,43,7.98,False
6301,2024-11-15,162.98,162.98,156.7,157.27,,9108948.0,24.8598,165.0591,169.364,168.764,167.8786,176.78,380,44,12.41,False
6302,2024-11-18,158.05,158.49,156.42,156.98,,6992040.0,24.4575,164.2899,168.9702,168.6978,167.8353,176.75,381,45,12.59,False
6303,2024-11-19,156.41,156.53,154.52,155.39,,8248864.0,22.3,163.4418,168.552,168.6288,167.7843,176.73,382,46,13.73,False
6304,2024-11-20,155.12,157.76,154.87,157.39,,5067255.0,30.5749,162.8653,168.2141,168.5999,167.7408,176.7,383,47,12.27,False
6305,2024-11-21,157.04,159.13,156.61,158.97,,5976987.0,36.3566,162.4948,167.8788,168.5801,167.7051,176.68,384,48,11.14,False
6306,2024-11-22,159.53,160.68,158.53,160.62,,5846256.0,41.7744,162.3163,167.5742,168.5864,167.6661,176.65,385,49,9.98,False
6307,2024-11-25,161.31,162.2,160.62,161.66,,8580393.0,44.9657,162.254,167.2934,168.5854,167.6622,176.63,386,50,9.26,False
6308,2024-11-26,161.88,162.29,160.52,160.78,,4653842.0,42.8232,162.1135,167.0017,168.598,167.6396,176.6,387,51,9.84,False
6309,2024-11-27,160.56,163.72,160.3,161.33,,3622893.0,44.6115,162.0393,166.754,168.6183,167.6282,176.58,388,52,9.45,False
6310,2024-11-29,160.06,162.2,159.58,162.06,,2799312.0,46.9412,162.0412,166.5317,168.6292,167.627,176.55,389,53,8.94,False
6311,2024-12-02,161.92,162.26,160.38,161.66,,4967612.0,45.8043,162.005,166.3705,168.6326,167.6222,176.53,390,54,9.2,False
6312,2024-12-03,161.45,161.66,160.05,160.32,,4277392.0,42.0985,161.8449,166.1641,168.5988,167.6181,176.5,391,55,10.09,False
6313,2024-12-04,159.23,159.66,158.05,158.82,,6964605.0,38.3377,161.5564,165.9709,168.5746,167.5952,176.48,392,56,11.12,False
6314,2024-12-05,159.56,159.64,157.48,159.12,,5229646.0,39.5243,161.3247,165.7943,168.5446,167.573,176.45,393,57,10.89,False
6315,2024-12-06,159.35,160.8,157.69,157.79,,8359166.0,36.2636,160.9881,165.5852,168.4509,167.547,176.43,394,58,11.81,False
6316,2024-12-09,157.91,161.5,157.14,159.47,,8380406.0,42.6792,160.8435,165.4035,168.3692,167.5228,176.4,395,59,10.62,False
6317,2024-12-10,159.0,160.42,157.35,159.84,,5329401.0,44.0158,160.7479,165.2283,168.3011,167.5069,176.37,396,60,10.34,False
