index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5818,2022-12-14,47.88,49.5,47.67,49.09,,36260307.0,78.0284,45.5367,42.4686,42.3853,43.7896,49.5,248,0,0.84,False
5819,2022-12-15,48.72,49.05,48.11,48.31,,21630297.0,70.5851,45.8005,42.6464,42.4048,43.8214,49.48,249,1,2.42,False
5820,2022-12-16,47.77,47.88,46.31,46.31,,65689492.0,55.9774,45.8495,42.8027,42.4074,43.8427,49.47,250,2,6.82,False
5821,2022-12-19,46.42,46.68,45.68,46.28,,16081888.0,55.7525,45.8903,42.9721,42.4171,43.8601,49.45,251,3,6.85,False
5822,2022-12-20,46.14,46.41,45.81,46.24,,12433844.0,55.5123,45.9239,43.151,42.4283,43.8804,49.43,252,4,6.9,False
5823,2022-12-21,46.5,47.0,46.13,46.55,,12925025.0,57.2001,45.9834,43.333,42.4416,43.9045,49.42,253,5,6.17,False
5824,2022-12-22,46.32,46.59,45.91,46.53,,14824093.0,57.063,46.0356,43.5126,42.463,43.9228,49.4,254,6,6.17,False
5825,2022-12-23,46.45,46.81,46.17,46.7,,10666541.0,58.091,46.0991,43.6787,42.4846,43.94,49.38,255,7,5.74,False
5826,2022-12-27,46.73,46.79,46.0,46.07,,12033763.0,53.0514,46.0964,43.8343,42.4998,43.9493,49.37,256,8,7.16,False
5827,2022-12-28,46.0,46.31,45.73,45.77,,10053917.0,50.8134,46.0658,43.9699,42.5174,43.9484,49.35,257,9,7.82,False
5828,2022-12-29,45.97,46.55,45.95,46.25,,8971290.0,54.1583,46.0835,44.1071,42.5371,43.9501,49.33,258,10,6.66,False
5829,2022-12-30,46.22,46.31,45.72,46.17,,11396189.0,53.493,46.0918,44.2602,42.554,43.9483,49.31,259,11,6.8,False
5830,2023-01-03,45.96,46.25,45.79,46.19,,15603793.0,53.6293,46.101,44.4173,42.5697,43.9407,49.3,260,12,6.73,False
5831,2023-01-04,45.31,45.62,44.62,45.17,,21808425.0,45.5127,46.0124,44.5175,42.59,43.9269,49.28,261,13,9.1,False
5832,2023-01-05,44.81,45.04,44.08,44.75,,20057412.0,42.6232,45.8918,44.5988,42.5898,43.9123,49.26,262,14,10.08,False
5833,2023-01-06,45.04,46.49,44.66,45.88,,29635946.0,51.511,45.8909,44.7018,42.6041,43.9085,49.25,263,15,7.35,False
5834,2023-01-09,45.1,45.29,43.53,43.6,,30839126.0,38.5862,45.673,44.7509,42.5947,43.8971,49.23,264,16,12.91,False
5835,2023-01-10,43.57,43.67,42.69,42.91,,29212004.0,35.6541,45.4097,44.7918,42.5836,43.8804,49.21,265,17,14.68,False
5836,2023-01-11,42.98,43.02,42.22,42.76,,23022229.0,35.0213,45.157,44.7994,42.5772,43.8621,49.2,266,18,15.06,False
5837,2023-01-12,42.59,43.0,41.97,42.99,,23345252.0,36.8667,44.9506,44.8275,42.568,43.8427,49.18,267,19,14.4,False
5838,2023-01-13,42.8,43.4,42.79,43.12,,18737546.0,37.8896,44.7758,44.832,42.5622,43.8264,49.16,268,20,14.01,False
5839,2023-01-17,41.94,42.12,41.19,41.52,,29391409.0,31.042,44.4659,44.8213,42.5485,43.8034,49.15,269,21,18.38,False
5840,2023-01-18,41.04,41.31,40.52,40.55,,33834985.0,27.7469,44.0927,44.7931,42.5303,43.7785,49.13,270,22,21.16,False
5841,2023-01-19,40.3,40.79,40.22,40.51,,26614860.0,27.6299,43.7517,44.7523,42.5075,43.7543,49.11,271,23,21.23,False
5842,2023-01-20,40.8,40.94,40.3,40.65,,25197558.0,28.8414,43.456,44.7166,42.4956,43.7336,49.1,272,24,20.79,False
5843,2023-01-23,40.58,40.84,40.39,40.53,,19398550.0,28.3977,43.1773,44.6739,42.4879,43.7109,49.08,273,25,21.1,False
5844,2023-01-24,40.47,40.5,39.78,40.29,,18853127.0,27.453,42.902,44.6377,42.4812,43.6799,49.06,274,26,21.77,False
5845,2023-01-25,40.57,40.65,40.17,40.61,,20827990.0,30.7604,42.6838,44.5961,42.4832,43.6404,49.05,275,27,20.78,False
5846,2023-01-26,40.2,40.29,39.66,40.24,,38465463.0,29.1315,42.4513,44.5431,42.469,43.599,49.03,276,28,21.84,False
5847,2023-01-27,40.21,40.32,39.81,39.82,,23798610.0,27.3644,42.201,44.4522,42.459,43.561,49.01,277,29,23.08,False
5848,2023-01-30,39.82,40.14,39.46,39.61,,24402234.0,26.4625,41.9537,44.369,42.4462,43.5255,49.0,278,30,23.71,False
