index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6311,2024-12-02,268.3,270.17,263.78,264.04,,3095371.0,58.1751,260.2568,254.0201,243.6565,224.7264,270.17,2,0,2.32,False
6312,2024-12-03,265.2,266.31,262.1,262.61,,2844687.0,55.8217,260.4809,254.1223,244.1504,225.0953,269.95,3,1,2.8,False
6313,2024-12-04,262.0,262.93,259.49,260.35,,1852981.0,52.2258,260.4684,254.2005,244.5838,225.4509,269.72,4,2,3.6,False
6314,2024-12-05,260.87,264.4,260.44,261.29,,2972026.0,53.5656,260.5467,254.2886,245.0975,225.8074,269.5,5,3,3.14,False
6315,2024-12-06,261.04,262.41,252.86,254.56,,3151393.0,44.0421,259.9765,254.3342,245.4305,226.123,269.27,6,4,5.78,False
6316,2024-12-09,252.02,253.98,246.0,247.86,,3364700.0,36.9911,258.8226,254.2714,245.6647,226.4071,269.05,7,5,8.55,False
6317,2024-12-10,248.59,249.37,245.0,247.27,,2396339.0,36.4379,257.7223,254.1436,245.9448,226.6769,268.82,8,6,8.72,False
6318,2024-12-11,247.08,248.12,242.47,243.73,,3615892.0,33.227,256.3897,253.9348,246.2199,226.9359,268.6,9,7,10.2,False
6319,2024-12-12,245.32,246.99,241.33,242.76,,3608952.0,32.3849,255.0917,253.7034,246.4894,227.1909,268.38,10,8,10.55,False
6320,2024-12-13,249.0,254.68,248.04,251.8,,3286188.0,46.0962,254.7782,253.694,246.8538,227.5033,268.15,11,9,6.49,False
6321,2024-12-16,253.7,254.12,249.75,250.25,,2496551.0,44.4325,254.3469,253.5918,247.2295,227.8167,267.93,12,10,7.06,False
6322,2024-12-17,247.94,249.01,245.39,247.53,,2481833.0,41.5953,253.6977,253.632,247.5488,228.1094,267.71,13,11,8.15,False
6323,2024-12-18,247.65,248.0,240.02,240.28,,2872606.0,35.1522,252.4198,253.4572,247.8162,228.363,267.49,14,12,11.32,False
6324,2024-12-19,241.04,243.53,239.37,239.71,,2722865.0,34.6972,251.2093,253.2362,248.0573,228.5829,267.26,15,13,11.49,False
6325,2024-12-20,237.97,243.36,236.9,239.97,,5587624.0,35.1098,250.1389,253.0,248.3167,228.8034,267.04,16,14,11.28,False
6326,2024-12-23,239.69,241.52,238.47,241.01,,1847347.0,36.8293,249.2695,252.7384,248.5748,229.0178,266.82,17,15,10.71,False
6327,2024-12-24,241.27,243.25,240.35,243.24,,680226.0,40.4718,248.6953,252.5656,248.8387,229.2516,266.6,18,16,9.6,False
6328,2024-12-26,243.49,244.04,241.85,243.19,,952312.0,40.4156,248.171,252.3974,249.1623,229.4742,266.38,19,17,9.54,False
6329,2024-12-27,241.64,243.48,240.04,241.02,,1410584.0,37.9495,247.4899,252.1104,249.4329,229.6819,266.15,20,18,10.43,False
6330,2024-12-30,238.66,241.55,237.2,239.6,,2089100.0,36.3849,246.7385,251.8756,249.6709,229.8719,265.93,21,19,10.99,False
