index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6311,2024-12-02,179.12,180.16,178.01,179.7,,5728297.0,74.8223,173.1333,170.0973,169.5567,164.9969,180.16,2,0,0.26,False
6312,2024-12-03,178.77,179.62,175.2,175.42,,8127329.0,58.3684,173.3511,170.1506,169.6644,165.1007,180.03,3,1,2.63,False
6313,2024-12-04,174.17,175.15,173.46,175.11,,6823659.0,57.3841,173.5186,170.2082,169.7891,165.198,179.89,4,2,2.73,False
6314,2024-12-05,174.86,176.46,174.45,176.03,,5022189.0,59.5635,173.7578,170.3037,169.8995,165.2906,179.76,5,3,2.12,False
6315,2024-12-06,175.37,176.74,173.75,173.82,,5741167.0,52.6041,173.7637,170.3362,169.9633,165.3714,179.62,6,4,3.34,False
6316,2024-12-09,173.63,173.76,170.43,170.79,,7164286.0,44.8643,173.4805,170.3013,170.0066,165.4347,179.49,7,5,5.09,False
6317,2024-12-10,170.42,172.93,169.93,172.28,,6220088.0,48.8498,173.3662,170.3031,170.0596,165.5095,179.35,8,6,4.1,False
6318,2024-12-11,173.01,173.39,170.4,170.63,,5237533.0,44.9729,173.1056,170.2751,170.0932,165.5805,179.22,9,7,5.03,False
6319,2024-12-12,171.43,171.82,170.02,170.85,,4072810.0,45.5929,172.8908,170.2738,170.1453,165.649,179.08,10,8,4.82,False
6320,2024-12-13,170.77,171.79,170.12,171.06,,3884513.0,46.2159,172.7164,170.3125,170.1857,165.7239,178.95,11,9,4.61,False
6321,2024-12-16,171.44,172.78,171.1,171.14,,5943680.0,46.4673,172.5663,170.3774,170.2378,165.7997,178.82,12,10,4.49,False
6322,2024-12-17,170.67,171.95,170.02,170.33,,6069344.0,44.2133,172.3533,170.4611,170.2599,165.8679,178.68,13,11,4.9,False
6323,2024-12-18,169.76,170.56,169.02,169.08,,7517081.0,40.9149,172.0415,170.4992,170.2613,165.9311,178.55,14,12,5.6,False
6324,2024-12-19,169.01,170.1,167.35,169.19,,8585220.0,41.3297,171.77,170.5174,170.3457,165.9936,178.41,15,13,5.45,False
6325,2024-12-20,168.87,169.87,167.5,168.06,,21999342.0,38.3511,171.4166,170.5193,170.4281,166.0453,178.28,16,14,6.08,False
6326,2024-12-23,168.06,168.68,166.36,168.11,,6984079.0,38.5621,171.1017,170.4797,170.462,166.0986,178.15,17,15,5.97,False
6327,2024-12-24,167.62,169.18,167.42,168.94,,2460756.0,42.1043,170.8958,170.4284,170.4605,166.1501,178.01,18,16,5.37,False
6328,2024-12-26,168.31,170.3,168.07,170.16,,3629533.0,46.9462,170.8258,170.3805,170.4913,166.2059,177.88,19,17,4.54,False
6329,2024-12-27,169.42,170.76,169.26,169.53,,4367879.0,44.8598,170.7024,170.3437,170.5155,166.2567,177.75,20,18,4.85,False
6330,2024-12-30,168.66,168.98,166.71,167.09,,4347618.0,37.8448,170.3583,170.26,170.4962,166.2992,177.62,21,19,6.3,False
