index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6249,2024-11-29,245.96,248.52,244.23,247.49,,332444.0,75.2015,238.9008,226.2855,211.7453,194.9465,248.52,3,0,0.42,False
6250,2024-12-02,247.25,247.25,242.4,243.47,,653737.0,63.8803,239.3355,226.92,212.3727,195.3498,248.21,4,1,1.95,False
6251,2024-12-03,244.14,244.14,241.15,242.72,,495982.0,62.0184,239.6578,227.5078,212.9663,195.7442,247.9,5,2,2.13,False
6252,2024-12-04,241.94,243.61,240.88,242.66,,462939.0,61.863,239.9436,228.082,213.5561,196.1303,247.59,6,3,2.03,False
6253,2024-12-05,241.67,243.64,240.09,243.01,,723365.0,62.4538,240.2355,228.679,214.0978,196.5087,247.29,7,4,1.76,False
6254,2024-12-06,244.04,244.53,240.56,241.54,,894525.0,58.3381,240.3593,229.2367,214.619,196.8717,246.98,8,5,2.25,False
6255,2024-12-09,242.61,243.9,236.56,238.32,,661937.0,50.5142,240.1654,229.7127,215.0983,197.2078,246.67,9,6,3.5,False
6256,2024-12-10,237.5,238.71,234.83,236.93,,492095.0,47.5382,239.8573,230.1668,215.5769,197.5435,246.36,10,7,3.98,False
6257,2024-12-11,238.28,238.46,235.93,237.34,,729220.0,48.4952,239.6175,230.6313,216.0376,197.8778,246.06,11,8,3.67,False
6258,2024-12-12,236.87,239.12,236.76,237.79,,433639.0,49.5823,239.4431,231.154,216.5089,198.2066,245.75,12,9,3.35,False
6259,2024-12-13,237.22,239.42,235.38,236.8,,851555.0,47.221,239.1915,231.6735,216.9658,198.5069,245.44,13,10,3.65,False
6260,2024-12-16,237.62,238.02,235.24,235.8,,768181.0,44.8731,238.8682,232.1454,217.4031,198.8071,245.14,14,11,3.96,False
6261,2024-12-17,234.94,235.63,230.67,231.28,,568628.0,36.1677,238.1457,232.5273,217.7482,199.0592,244.83,15,12,5.86,False
6262,2024-12-18,235.66,236.9,227.86,227.97,,1002765.0,31.3618,237.1766,232.8036,218.0662,199.2993,244.53,16,13,7.26,False
6263,2024-12-19,227.96,231.68,225.74,226.22,,905962.0,29.1567,236.1331,233.0263,218.3732,199.5363,244.23,17,14,7.96,False
6264,2024-12-20,226.15,228.84,225.78,227.98,,1955945.0,34.1698,235.3566,233.2843,218.6767,199.7748,243.92,18,15,6.99,False
6265,2024-12-23,226.78,228.02,225.3,227.08,,630699.0,32.8884,234.5684,233.4907,218.9897,200.0026,243.62,19,16,7.28,False
6266,2024-12-24,227.95,229.11,226.73,228.82,,513134.0,37.7489,234.0209,233.6915,219.333,200.2314,243.32,20,17,6.34,False
6267,2024-12-26,228.4,229.85,227.99,229.45,,661432.0,39.4586,233.5856,233.8886,219.7322,200.468,243.01,21,18,5.91,False
6268,2024-12-27,227.98,229.59,226.34,227.09,,894062.0,35.5228,232.9669,234.0199,220.0585,200.7041,242.71,22,19,6.88,False
6269,2024-12-30,226.24,226.93,222.84,224.96,,761296.0,32.3833,232.2044,234.1352,220.3956,200.9302,242.41,23,20,7.76,False
