index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6253,2024-09-10,129.07,130.44,128.36,130.28,,3029827.0,67.4116,124.9234,121.1271,113.3294,118.5869,130.44,599,0,0.12,False
6254,2024-09-11,128.61,129.25,126.33,128.59,,3890295.0,61.6999,125.2728,121.4959,113.5941,118.6934,130.39,600,1,1.4,False
6255,2024-09-12,129.0,129.55,126.3,128.2,,5558070.0,60.4105,125.5515,121.832,113.8665,118.7956,130.35,601,2,1.68,False
6256,2024-09-13,129.08,130.27,127.59,127.89,,3689397.0,59.3749,125.7746,122.1603,114.1301,118.8969,130.3,602,3,1.88,False
6257,2024-09-16,128.7,129.02,127.12,128.15,,3864315.0,59.9944,126.0009,122.4708,114.3889,118.9983,130.26,603,4,1.65,False
6258,2024-09-17,128.1,128.91,126.84,127.74,,3171194.0,58.4691,126.1668,122.7742,114.6598,119.0933,130.21,604,5,1.93,False
6259,2024-09-18,127.69,128.18,125.57,125.91,,3498603.0,52.0402,126.1424,123.0401,114.9107,119.17,130.16,605,6,3.38,False
6260,2024-09-19,127.69,128.38,126.19,127.38,,2604443.0,56.1903,126.2599,123.2943,115.1693,119.238,130.12,606,7,2.15,False
6261,2024-09-20,126.57,126.81,124.15,124.37,,8580953.0,47.1876,126.0802,123.4122,115.3886,119.281,130.07,607,8,4.58,False
6262,2024-09-23,125.49,126.06,124.86,125.52,,3386221.0,50.46,126.0272,123.5582,115.6483,119.3378,130.03,608,9,3.59,False
6263,2024-09-24,125.31,126.41,124.67,125.57,,3979530.0,50.6021,125.9839,123.6857,115.9102,119.393,129.98,609,10,3.51,False
6264,2024-09-25,125.62,126.11,123.69,124.29,,3421749.0,46.8674,125.823,123.7808,116.1334,119.4423,129.94,610,11,4.55,False
6265,2024-09-26,124.79,125.31,123.77,124.14,,3235967.0,46.4098,125.6622,123.8389,116.3418,119.4864,129.89,611,12,4.63,False
6266,2024-09-27,124.89,126.21,124.18,124.49,,3775172.0,47.6482,125.5508,123.9157,116.5656,119.522,129.84,612,13,4.3,False
6267,2024-09-30,123.69,125.32,123.47,125.18,,3608385.0,50.0315,125.5151,123.9839,116.7661,119.5607,129.8,613,14,3.69,False
6268,2024-10-01,125.53,125.61,122.4,123.52,,3401519.0,44.7245,125.3252,123.9618,116.9684,119.5565,129.75,614,15,5.04,False
6269,2024-10-02,121.49,123.16,120.88,123.09,,3848941.0,43.4466,125.1128,123.9504,117.1443,119.5124,129.71,615,16,5.38,False
6270,2024-10-03,122.65,122.67,120.44,120.97,,3400637.0,37.6768,124.7185,123.9478,117.3055,119.4672,129.66,616,17,7.18,False
6271,2024-10-04,120.53,121.71,119.31,121.35,,2773995.0,39.2204,124.3977,124.0048,117.4685,119.4316,129.62,617,18,6.81,False
6272,2024-10-07,120.3,120.67,118.27,118.95,,3186533.0,33.5258,123.879,123.9696,117.6017,119.3788,129.57,618,19,8.93,False
6273,2024-10-08,119.24,119.63,117.19,118.3,,3035396.0,32.1546,123.3474,123.8963,117.7117,119.3386,129.52,619,20,9.48,False
6274,2024-10-09,117.16,118.43,116.87,117.8,,3661744.0,31.1163,122.8192,123.771,117.8089,119.2935,129.48,620,21,9.92,False
6275,2024-10-10,117.03,118.1,116.44,117.25,,2767078.0,29.9498,122.2884,123.6354,117.8936,119.2387,129.43,621,22,10.39,False
6276,2024-10-11,117.74,119.37,117.11,119.19,,2711999.0,38.6225,121.9932,123.5058,117.9924,119.1885,129.39,622,23,8.56,False
6277,2024-10-14,118.99,119.91,118.46,119.41,,1978980.0,39.5275,121.7469,123.4541,118.1076,119.1359,129.34,623,24,8.32,False
