index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4205,2024-11-27,131.1,131.96,130.28,130.37,,4054058.0,59.0739,127.7215,123.751,119.1727,105.927,131.96,19,0,1.22,False
4206,2024-11-29,130.2,131.78,129.99,131.6,,3255638.0,61.574,128.0909,124.0406,119.4836,106.1602,131.92,20,1,0.24,False
4207,2024-12-02,131.04,131.33,129.33,129.58,,4136777.0,55.5606,128.233,124.2694,119.7524,106.3844,131.88,21,2,1.77,False
4208,2024-12-03,130.25,130.5,127.87,128.27,,4739409.0,51.9953,128.2362,124.466,119.9988,106.5988,131.85,22,3,2.79,False
4209,2024-12-04,128.93,129.41,127.51,129.05,,4661252.0,53.8881,128.3136,124.6758,120.2616,106.8172,131.81,23,4,2.14,False
4210,2024-12-05,129.85,131.74,129.53,131.04,,4186259.0,58.3841,128.5729,124.916,120.5342,107.0412,131.77,24,5,0.56,False
4211,2024-12-06,130.74,130.74,128.98,129.13,,4212554.0,53.0368,128.6258,125.1081,120.7661,107.2526,131.73,25,6,2.01,False
4212,2024-12-09,128.87,129.63,126.51,127.3,,4759574.0,48.4555,128.4993,125.2681,120.988,107.4531,131.7,26,7,3.46,False
4213,2024-12-10,126.56,128.08,126.33,127.57,,3791059.0,49.1459,128.4103,125.4181,121.2159,107.6604,131.66,27,8,3.21,False
4214,2024-12-11,128.12,128.33,124.94,125.43,,10141586.0,44.0613,128.1264,125.5413,121.4215,107.8581,131.62,28,9,4.94,False
4215,2024-12-12,126.33,126.6,124.97,125.61,,5144717.0,44.5759,127.8864,125.6877,121.6059,108.0556,131.58,29,10,4.75,False
4216,2024-12-13,124.92,126.4,124.71,125.23,,3233184.0,43.6627,127.6335,125.8507,121.7682,108.2534,131.54,30,11,5.04,False
4217,2024-12-16,125.68,126.07,124.45,124.56,,5439221.0,42.0044,127.3406,125.986,121.9066,108.4485,131.51,31,12,5.58,False
4218,2024-12-17,123.96,125.17,123.91,124.66,,5276020.0,42.3511,127.0851,126.127,122.0444,108.6418,131.47,32,13,5.46,False
4219,2024-12-18,123.93,124.46,123.09,123.18,,4719804.0,38.6436,126.7135,126.2407,122.1573,108.8264,131.43,33,14,6.7,False
4220,2024-12-19,123.02,123.32,120.7,120.83,,6985437.0,33.5859,126.1532,126.2801,122.2437,108.9968,131.39,34,15,8.74,False
4221,2024-12-20,121.16,123.4,120.87,122.86,,10267415.0,40.776,125.8393,126.3756,122.3459,109.1754,131.36,35,16,6.92,False
4222,2024-12-23,122.36,122.62,120.72,122.42,,3697120.0,39.7805,125.5138,126.4484,122.4212,109.3462,131.32,36,17,7.27,False
4223,2024-12-24,122.13,122.74,121.22,121.56,,2806600.0,37.8148,125.1374,126.5044,122.4844,109.5045,131.28,37,18,8.0,False
4224,2024-12-26,121.49,122.32,121.2,121.71,,2425601.0,38.3801,124.811,126.5566,122.5908,109.6622,131.24,38,19,7.83,False
4225,2024-12-27,121.65,121.98,120.9,121.45,,3923537.0,37.7327,124.4909,126.5944,122.6883,109.8156,131.21,39,20,8.04,False
4226,2024-12-30,121.07,121.21,119.33,120.01,,3326381.0,34.283,124.0642,126.6181,122.7564,109.9683,131.17,40,21,9.3,False
