index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,94.88,95.18,93.7,93.7,,507868.0,63.4699,91.4899,88.7372,86.8578,79.5247,95.18,1,0,1.58,False
6311,2024-12-02,94.2,94.2,92.15,92.42,,918831.0,56.6998,91.5785,88.7986,86.998,79.658,94.94,2,1,2.73,False
6312,2024-12-03,92.7,92.99,91.25,91.28,,1020839.0,51.4375,91.5501,88.8389,87.1245,79.7856,94.7,3,2,3.75,False
6313,2024-12-04,91.34,92.74,90.7,92.09,,1271337.0,54.6576,91.6015,88.9143,87.2655,79.9115,94.46,4,3,2.57,False
6314,2024-12-05,92.15,93.22,91.45,92.45,,891453.0,56.0524,91.6823,89.0027,87.4007,80.034,94.23,5,4,1.93,False
6315,2024-12-06,92.59,93.09,91.42,91.59,,746651.0,51.9418,91.6735,89.0838,87.5095,80.152,93.99,6,5,2.62,False
6316,2024-12-09,91.12,91.73,90.38,90.44,,1049701.0,46.9804,91.556,89.1454,87.6097,80.2629,93.75,7,6,3.66,False
6317,2024-12-10,90.44,90.75,88.91,90.25,,1105511.0,46.1953,91.4317,89.1969,87.707,80.3788,93.52,8,7,3.62,False
6318,2024-12-11,90.6,90.6,88.67,88.89,,962801.0,40.9235,91.1896,89.1832,87.7878,80.4891,93.28,9,8,4.94,False
6319,2024-12-12,88.7,90.33,88.64,88.71,,973813.0,40.2685,90.9534,89.1794,87.8659,80.6088,93.05,10,9,4.89,False
6320,2024-12-13,88.37,88.83,87.49,87.55,,1008616.0,36.2427,90.6293,89.1583,87.9231,80.7157,92.81,11,10,6.01,False
6321,2024-12-16,87.55,87.59,85.98,86.02,,1336948.0,31.7359,90.1903,89.1373,87.9643,80.8163,92.58,12,11,7.63,False
6322,2024-12-17,85.47,86.98,85.2,86.1,,1232054.0,32.2106,89.8008,89.1351,87.9952,80.9133,92.35,13,12,7.26,False
6323,2024-12-18,85.86,86.06,83.97,84.03,,1330671.0,26.9825,89.2512,89.0998,88.0008,81.0013,92.11,14,13,9.62,False
6324,2024-12-19,84.05,85.72,84.05,84.6,,1300565.0,30.3356,88.8082,89.0858,88.0095,81.0865,91.88,15,14,8.61,False
6325,2024-12-20,84.36,85.66,84.09,84.96,,1900565.0,32.4456,88.4417,89.0923,88.0204,81.1658,91.65,16,15,7.87,False
6326,2024-12-23,84.91,85.34,84.13,85.0,,1087831.0,32.6895,88.1139,89.0921,87.9988,81.2436,91.42,17,16,7.55,False
6327,2024-12-24,85.24,85.85,84.92,85.61,,359421.0,36.458,87.8755,89.0915,87.9817,81.3217,91.19,18,17,6.52,False
6328,2024-12-26,85.19,85.79,84.84,85.44,,798089.0,35.8555,87.6435,89.0773,87.9926,81.406,90.96,19,18,6.46,False
6329,2024-12-27,84.77,85.8,84.75,84.95,,642630.0,34.106,87.387,89.0428,87.9977,81.4847,90.73,20,19,6.8,False
6330,2024-12-30,84.8,85.1,84.0,84.8,,731267.0,33.5661,87.1406,89.015,88.0013,81.5659,90.5,21,20,6.72,False
