index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
3181,2024-12-03,137.14,138.0,134.31,134.48,,2313642.0,61.5364,131.3292,129.9143,131.5699,138.116,138.0,167,0,2.62,False
3182,2024-12-04,133.98,133.99,129.29,130.6,,2594907.0,49.7083,131.2598,129.9594,131.4993,138.0808,137.83,168,1,5.54,False
3183,2024-12-05,130.92,131.15,128.08,129.83,,2928320.0,47.7469,131.1236,129.9816,131.4238,138.0301,137.66,169,2,6.03,False
3184,2024-12-06,130.63,130.87,128.18,128.68,,1926127.0,44.8975,130.8909,129.9643,131.3275,137.9586,137.49,170,3,6.85,False
3185,2024-12-09,129.23,133.15,128.71,130.08,,3475680.0,48.8958,130.8137,129.9676,131.275,137.8917,137.32,171,4,5.57,False
3186,2024-12-10,130.38,131.01,125.22,125.62,,3124134.0,39.1498,130.319,129.8738,131.1703,137.7967,137.15,172,5,9.18,False
3187,2024-12-11,125.72,126.69,124.02,125.33,,2596835.0,38.6109,129.8439,129.7437,131.0467,137.7147,136.98,173,6,9.3,False
3188,2024-12-12,124.92,125.21,123.23,123.99,,2646018.0,36.1356,129.2864,129.5575,130.9395,137.646,136.81,174,7,10.34,False
3189,2024-12-13,123.82,124.08,122.29,122.72,,1825767.0,33.9164,128.661,129.2574,130.8087,137.5647,136.64,175,8,11.34,False
3190,2024-12-16,121.09,121.35,116.07,116.29,,3653325.0,25.4084,127.4828,128.8349,130.5711,137.4431,136.47,176,9,17.35,False
3191,2024-12-17,115.65,116.37,114.41,115.83,,3608816.0,24.9266,126.373,128.4055,130.3318,137.3188,136.3,177,10,17.67,False
3192,2024-12-18,115.48,116.28,111.71,111.86,,4211648.0,21.1921,124.9908,128.0191,130.0704,137.1658,136.13,178,11,21.7,False
3193,2024-12-19,112.3,112.59,109.39,110.35,,4445032.0,19.9668,123.5965,127.5551,129.7276,137.0019,135.96,179,12,23.21,False
3194,2024-12-20,110.49,112.05,109.96,110.37,,8178658.0,20.0328,122.3368,127.0578,129.4015,136.8263,135.79,180,13,23.03,False
3195,2024-12-23,110.1,110.96,108.91,110.48,,3365124.0,20.4212,121.2076,126.564,129.1211,136.6505,135.62,181,14,22.76,False
3196,2024-12-24,110.12,112.03,109.38,111.58,,1448581.0,24.3769,120.2907,126.1108,128.9223,136.4795,135.46,182,15,21.4,False
3197,2024-12-26,111.54,112.62,110.91,112.2,,1794792.0,26.5918,119.5201,125.7496,128.7506,136.3074,135.29,183,16,20.58,False
3198,2024-12-27,111.97,113.61,111.33,112.59,,2615029.0,28.0199,118.8601,125.3781,128.5686,136.1171,135.12,184,17,20.01,False
3199,2024-12-30,112.6,113.12,111.43,111.99,,2555290.0,27.145,118.2058,124.9741,128.3824,135.9244,134.95,185,18,20.5,False
