index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
1659,2021-08-05,197.5,201.46,193.36,194.76,,1465368.0,56.2932,191.5492,187.5256,185.665,173.9822,201.46,68,0,3.44,False
1660,2021-08-06,194.45,198.0,194.03,195.02,,702095.0,56.6453,191.8797,187.8366,185.8098,174.2791,201.46,69,1,3.3,False
1661,2021-08-09,194.33,194.95,191.04,193.62,,664041.0,54.1169,192.0455,188.0062,185.9006,174.5709,201.45,70,2,4.04,False
1662,2021-08-10,193.6,194.43,190.33,190.81,,661936.0,49.3549,191.9278,188.168,186.0479,174.8499,201.45,71,3,5.58,False
1663,2021-08-11,191.2,192.0,187.3,189.73,,866046.0,47.6205,191.7185,188.303,186.1467,175.1201,201.45,72,4,6.18,False
1664,2021-08-12,189.62,189.62,186.33,188.13,,655044.0,45.0924,191.3767,188.3594,186.1952,175.3885,201.44,73,5,7.07,False
1665,2021-08-13,188.0,188.73,186.71,188.36,,488460.0,45.54,191.0894,188.5072,186.3151,175.6739,201.44,74,6,6.94,False
1666,2021-08-16,186.72,188.25,185.62,187.57,,550862.0,44.207,190.7542,188.5634,186.4729,175.9869,201.44,75,7,7.39,False
1667,2021-08-17,185.76,186.12,181.64,183.46,,806332.0,37.9787,190.0595,188.5554,186.5849,176.2557,201.43,76,8,9.8,False
1668,2021-08-18,181.8,183.4,179.54,179.82,,696279.0,33.4798,189.0843,188.4664,186.5581,176.518,201.43,77,9,12.02,False
1669,2021-08-19,178.3,181.97,177.6,180.13,,954060.0,34.1948,188.2316,188.438,186.5705,176.7789,201.43,78,10,11.82,False
1670,2021-08-20,180.39,182.69,180.1,181.56,,607032.0,37.5302,187.5962,188.411,186.6098,177.0444,201.42,79,11,10.94,False
1671,2021-08-23,182.97,184.71,180.81,184.23,,775791.0,43.308,187.2756,188.4294,186.6251,177.2969,201.42,80,12,9.33,False
1672,2021-08-24,185.97,186.12,183.5,184.8,,655147.0,44.4884,187.0398,188.4266,186.5441,177.4874,201.42,81,13,8.99,False
1673,2021-08-25,185.25,187.07,184.7,185.62,,520279.0,46.2231,186.9046,188.5008,186.4171,177.6792,201.41,82,14,8.51,False
1674,2021-08-26,185.62,186.85,184.5,185.87,,503550.0,46.7693,186.8061,188.584,186.326,177.8611,201.41,83,15,8.36,False
1675,2021-08-27,186.28,191.41,185.93,190.73,,736200.0,56.1026,187.1798,188.772,186.2964,178.1101,201.41,84,16,5.6,False
1676,2021-08-30,191.72,192.92,190.01,190.83,,638836.0,56.2725,187.5274,189.1048,186.2695,178.323,201.41,85,17,5.54,False
1677,2021-08-31,190.0,190.2,187.25,188.03,,843033.0,50.3917,187.5753,189.3406,186.2312,178.5298,201.4,86,18,7.11,False
1678,2021-09-01,190.06,190.06,185.95,186.06,,758836.0,46.6942,187.431,189.5366,186.1662,178.722,201.4,87,19,8.24,False
1679,2021-09-02,186.72,187.69,185.14,185.9,,697084.0,46.3965,187.2852,189.697,186.101,178.8996,201.4,88,20,8.34,False
1680,2021-09-03,185.9,188.03,185.28,185.36,,947669.0,45.3455,187.1018,189.7464,186.0561,179.0842,201.39,89,21,8.65,False
1681,2021-09-07,185.16,185.79,181.59,182.68,,942920.0,40.4484,186.6807,189.733,185.9545,179.2757,201.39,90,22,10.24,False
1682,2021-09-08,182.05,182.05,176.29,178.76,,1247146.0,34.5679,185.9263,189.5616,185.8194,179.4352,201.39,91,23,12.66,False
1683,2021-09-09,178.77,181.09,178.37,178.96,,660366.0,35.0864,185.2629,189.2276,185.7246,179.5931,201.38,92,24,12.53,False
1684,2021-09-10,180.3,182.06,179.08,179.3,,983882.0,36.0148,184.695,188.9006,185.6781,179.7436,201.38,93,25,12.31,False
1685,2021-09-13,179.88,182.42,178.77,182.37,,950304.0,43.8264,184.4736,188.6844,185.6097,179.8967,201.38,94,26,10.42,False
1686,2021-09-14,183.47,183.55,179.73,182.13,,751307.0,43.3805,184.2504,188.4136,185.5605,180.0662,201.37,95,27,10.56,False
1687,2021-09-15,182.26,182.37,179.34,179.91,,881527.0,39.3886,183.837,188.1258,185.4204,180.2152,201.37,96,28,11.93,False
1688,2021-09-16,178.63,181.33,177.57,180.31,,696602.0,40.4519,183.5011,187.892,185.2338,180.3333,201.37,97,29,11.68,False
1689,2021-09-17,178.07,178.8,172.52,175.3,,1891000.0,32.7117,182.72,187.6092,185.003,180.4109,201.36,98,30,14.87,False
1690,2021-09-20,171.42,171.8,167.89,170.08,,1370548.0,26.9299,181.5162,187.152,184.7333,180.4636,201.36,99,31,18.39,False
1691,2021-09-21,171.03,172.57,168.6,171.17,,1000714.0,29.7232,180.5309,186.703,184.4496,180.5238,201.36,100,32,17.64,False
1692,2021-09-22,172.41,174.0,171.96,173.33,,823269.0,35.024,179.8451,186.3138,184.3012,180.5637,201.35,101,33,16.17,False
1693,2021-09-23,174.21,175.89,173.63,174.12,,676014.0,36.8986,179.2998,185.9478,184.197,180.5996,201.35,102,34,15.64,False
1694,2021-09-24,173.14,176.37,172.65,174.05,,637604.0,36.7973,178.7998,185.6098,184.1134,180.62,201.35,103,35,15.69,False
1695,2021-09-27,172.92,176.92,172.06,175.68,,963968.0,40.8685,178.5027,185.3698,184.0446,180.6965,201.34,104,36,14.61,False
1696,2021-09-28,173.28,176.0,171.28,171.42,,1216828.0,34.5963,177.8282,185.0556,183.9119,180.762,201.34,105,37,17.45,False
1697,2021-09-29,172.0,173.44,169.81,169.91,,948976.0,32.6816,177.0741,184.6598,183.7692,180.8483,201.34,106,38,18.5,False
1698,2021-09-30,170.55,172.25,167.06,167.19,,1059325.0,29.5131,176.1327,184.1222,183.7264,180.9117,201.33,107,39,20.42,False
1699,2021-10-01,168.54,170.32,165.26,169.26,,1519428.0,34.7016,175.4782,183.6792,183.6989,180.9656,201.33,108,40,18.95,False
1700,2021-10-04,168.51,168.97,163.25,163.99,,1264873.0,28.8743,174.3841,183.0972,183.6853,180.9906,201.33,109,41,22.77,False
1701,2021-10-05,165.11,167.22,163.83,166.06,,1004753.0,33.5915,173.5913,182.5784,183.6774,181.0229,201.32,110,42,21.23,False
1702,2021-10-06,164.52,166.25,163.32,164.84,,946938.0,32.2346,172.7578,182.1322,183.6157,181.0338,201.32,111,43,22.13,False
1703,2021-10-07,166.7,169.49,164.76,165.33,,1439085.0,33.3982,172.0504,181.632,183.5582,181.0549,201.32,112,44,21.77,False
1704,2021-10-08,166.57,166.99,165.15,165.83,,643645.0,34.6318,171.458,181.0678,183.5158,181.0677,201.31,113,45,21.4,False
1705,2021-10-11,165.15,167.03,163.6,163.68,,500161.0,31.8962,170.7172,180.5496,183.4111,181.0606,201.31,114,46,22.99,False
1706,2021-10-12,165.2,165.43,159.63,160.26,,1075440.0,28.0945,169.7213,179.9076,183.2365,181.0264,201.31,115,47,25.61,False
1707,2021-10-13,159.37,160.93,158.74,160.05,,1360893.0,27.8748,168.8002,179.205,183.0714,180.9944,201.3,116,48,25.77,False
1708,2021-10-14,162.5,164.84,162.16,164.61,,908053.0,39.0251,168.4012,178.6196,182.9312,180.9986,201.3,117,49,22.29,False
1709,2021-10-15,166.1,167.49,165.4,165.87,,574952.0,41.7068,168.1601,178.0418,182.7837,180.9911,201.3,118,50,21.36,False
1710,2021-10-18,164.67,165.62,163.54,165.3,,730095.0,40.8319,167.8877,177.4474,182.642,180.9863,201.3,119,51,21.78,False
1711,2021-10-19,165.83,169.8,165.71,168.76,,999113.0,47.967,167.9708,176.9502,182.4782,181.0071,201.29,120,52,19.28,False
1712,2021-10-20,166.05,170.14,165.91,169.51,,1051726.0,49.3917,168.1174,176.5242,182.3461,181.0084,201.29,121,53,18.75,False
1713,2021-10-21,169.3,170.31,168.4,170.26,,521640.0,50.8412,168.3214,176.1348,182.2189,180.9997,201.29,122,54,18.23,False
1714,2021-10-22,169.56,171.55,167.98,168.01,,818788.0,46.5351,168.2918,175.7324,182.0459,180.9469,201.28,123,55,19.8,False
1715,2021-10-25,169.01,169.25,166.91,167.32,,645371.0,45.2689,168.1992,175.3116,181.9094,180.8865,201.28,124,56,20.3,False
1716,2021-10-26,168.67,169.59,165.1,165.28,,887910.0,41.6596,167.9212,174.8658,181.7146,180.7991,201.28,125,57,21.78,False
1717,2021-10-27,165.03,167.53,164.7,165.27,,731211.0,41.6421,167.6687,174.502,181.5287,180.7139,201.27,126,58,21.78,False
1718,2021-10-28,166.4,168.99,166.24,168.93,,718524.0,49.9429,167.7888,174.2842,181.3753,180.6582,201.27,127,59,19.14,False
1719,2021-10-29,167.12,170.35,166.35,168.23,,997838.0,48.5214,167.8308,174.0462,181.2421,180.5796,201.27,128,60,19.64,False
1720,2021-11-01,168.49,172.17,167.47,172.07,,913156.0,55.9315,168.2346,173.8564,181.1337,180.5535,201.26,129,61,16.96,False
1721,2021-11-02,172.0,173.31,170.36,172.09,,1089911.0,55.9671,168.6018,173.6136,181.0215,180.4856,201.26,130,62,16.95,False
1722,2021-11-03,172.0,178.5,170.41,178.12,,1844383.0,65.107,169.5083,173.48,180.9533,180.4461,201.26,131,63,12.99,False
1723,2021-11-04,159.75,159.9,152.25,154.46,,6324495.0,34.685,168.0751,172.8568,180.6788,180.2978,201.25,132,64,30.29,False
1724,2021-11-05,154.01,156.39,153.01,156.07,,3033687.0,36.8474,166.9317,172.2608,180.4224,180.1748,201.25,133,65,28.95,False
1725,2021-11-08,156.75,161.94,156.72,159.3,,2175341.0,41.0632,166.2049,171.6322,180.2021,180.0667,201.25,134,66,26.33,False
1726,2021-11-09,161.43,161.43,156.13,157.64,,1455790.0,39.6001,165.3892,170.9684,180.0366,179.9802,201.24,135,67,27.66,False
1727,2021-11-10,156.6,158.01,153.35,154.28,,1301344.0,36.7461,164.3312,170.2934,179.817,179.9234,201.24,136,68,30.44,False
1728,2021-11-11,155.98,158.44,154.26,157.68,,1134963.0,41.3522,163.6977,169.7258,179.6312,179.8628,201.24,137,69,27.63,False
1729,2021-11-12,158.29,161.76,157.68,160.5,,1264109.0,44.9339,163.3932,169.2178,179.4574,179.8109,201.23,138,70,25.38,False
1730,2021-11-15,160.85,161.16,158.24,158.91,,1254230.0,43.3272,162.9662,168.6888,179.2176,179.689,201.23,139,71,26.63,False
1731,2021-11-16,158.76,160.07,156.3,159.31,,1156630.0,43.8709,162.618,168.2214,178.9772,179.5889,201.23,140,72,26.31,False
1732,2021-11-17,158.95,160.29,157.1,157.94,,1453321.0,42.3715,162.1725,167.805,178.6833,179.4988,201.22,141,73,27.4,False
1733,2021-11-18,159.13,159.29,155.0,156.34,,1321050.0,40.6251,161.617,167.3526,178.2901,179.4421,201.22,142,74,28.71,False
1734,2021-11-19,156.04,158.18,154.61,155.19,,1075870.0,39.3692,161.0049,166.8704,177.8855,179.3823,201.22,143,75,29.66,False
1735,2021-11-22,155.98,156.58,151.14,151.25,,1179804.0,35.3382,160.0759,166.248,177.4662,179.2848,201.21,144,76,33.03,False
1736,2021-11-23,150.83,152.72,147.75,152.59,,1509139.0,37.6754,159.3629,165.6572,177.0354,179.2035,201.21,145,77,31.86,False
1737,2021-11-24,151.27,152.7,147.45,152.62,,1212293.0,37.7297,158.7208,165.1114,176.6186,179.1257,201.21,146,78,31.84,False
1738,2021-11-26,149.65,151.77,146.77,148.11,,811810.0,33.0681,157.7102,164.4674,176.1797,178.993,201.2,147,79,35.84,False
1739,2021-11-29,149.14,151.21,146.91,150.84,,1134502.0,38.0571,157.0559,163.9782,175.7937,178.8672,201.2,148,80,33.39,False
1740,2021-11-30,149.77,150.6,145.39,146.23,,2415521.0,33.5142,156.0249,163.5012,175.3266,178.7132,201.2,149,81,37.59,False
1741,2021-12-01,148.5,151.94,145.96,146.1,,1447982.0,33.3932,155.0796,162.9998,174.8514,178.5707,201.2,150,82,37.71,False
1742,2021-12-02,143.62,150.36,142.17,149.18,,1634457.0,39.0137,154.5178,162.5168,174.4153,178.4609,201.19,151,83,34.86,False
1743,2021-12-03,150.27,152.07,147.81,149.91,,1564550.0,40.2995,154.0789,162.0326,173.9902,178.3135,201.19,152,84,34.21,False
1744,2021-12-06,150.65,153.8,147.8,152.73,,1558876.0,45.1138,153.9505,161.6062,173.608,178.2158,201.19,153,85,31.73,False
1745,2021-12-07,154.16,163.95,154.16,161.51,,2157053.0,56.7957,154.6704,161.3228,173.3463,178.1622,201.18,154,86,24.56,False
1746,2021-12-08,160.57,162.57,158.0,161.37,,1442632.0,56.5888,155.3085,161.1218,173.0887,178.0733,201.18,155,87,24.67,False
1747,2021-12-09,160.61,161.64,158.85,159.56,,1012011.0,53.8582,155.7134,160.9148,172.7873,178.0264,201.18,156,88,26.08,False
1748,2021-12-10,161.46,163.79,156.44,159.23,,1442626.0,53.3527,156.0483,160.7556,172.4389,177.9489,201.17,157,89,26.34,False
1749,2021-12-13,159.39,160.63,154.57,154.99,,1361634.0,47.2203,155.9475,160.4702,172.0747,177.8123,201.17,158,90,29.8,False
1750,2021-12-14,153.66,155.46,152.2,152.47,,1253476.0,43.9844,155.6163,160.2398,171.6685,177.6874,201.17,159,91,31.94,False
1751,2021-12-15,152.3,153.1,145.49,152.88,,2050094.0,44.649,155.3557,159.9762,171.2773,177.5935,201.16,160,92,31.58,False
1752,2021-12-16,153.6,153.78,143.88,147.7,,2292792.0,38.4432,154.6266,159.6334,170.8828,177.5053,201.16,161,93,36.19,False
1753,2021-12-17,146.11,148.86,144.69,147.68,,2705724.0,38.421,153.965,159.2804,170.4562,177.3866,201.16,162,94,36.21,False
1754,2021-12-20,146.0,146.66,144.15,146.16,,864405.0,36.6867,153.2217,158.887,169.9774,177.3029,201.15,163,95,37.62,False
1755,2021-12-21,148.5,150.55,147.93,150.49,,1128485.0,44.3879,152.9615,158.6232,169.5864,177.2008,201.15,164,96,33.66,False
1756,2021-12-22,150.56,152.43,149.85,151.41,,563789.0,45.8938,152.8138,158.4462,169.1769,177.131,201.15,165,97,32.85,False
1757,2021-12-23,152.0,153.5,151.11,152.07,,662380.0,47.0025,152.7429,158.2866,168.7458,177.0166,201.14,166,98,32.27,False
1758,2021-12-27,152.84,155.5,151.7,155.42,,1015946.0,52.3408,152.9979,158.1028,168.3612,176.9308,201.14,167,99,29.42,False
1759,2021-12-28,155.51,157.41,153.63,156.44,,1066070.0,53.8646,153.3257,157.9142,167.978,176.8215,201.14,168,100,28.57,False
1760,2021-12-29,156.2,157.89,155.9,156.91,,643798.0,54.5851,153.6671,157.7464,167.5969,176.7034,201.13,169,101,28.18,False
1761,2021-12-30,157.09,158.95,155.74,156.06,,624310.0,52.9738,153.895,157.4924,167.2213,176.561,201.13,170,102,28.88,False
1762,2021-12-31,156.03,157.51,155.31,156.39,,818882.0,53.5471,154.1326,157.23,166.8771,176.4625,201.13,171,103,28.61,False
1763,2022-01-03,156.87,160.06,156.5,159.43,,1099965.0,58.5594,154.6371,157.0134,166.5741,176.3604,201.12,172,104,26.15,False
1764,2022-01-04,160.37,163.12,156.79,160.45,,1165129.0,60.1145,155.1907,156.8622,166.2973,176.2463,201.12,173,105,25.35,False
1765,2022-01-05,159.89,161.84,157.13,157.24,,1419065.0,53.3318,155.3859,156.6606,165.9861,176.1506,201.12,174,106,27.91,False
1766,2022-01-06,158.42,161.28,157.43,158.36,,990530.0,55.2299,155.6691,156.5222,165.694,176.0835,201.11,175,107,27.0,False
1767,2022-01-07,158.96,159.63,154.5,154.69,,927829.0,48.298,155.5759,156.3106,165.4063,175.9956,201.11,176,108,30.01,False
1768,2022-01-10,153.77,154.1,148.45,151.56,,1364728.0,43.3059,155.1934,155.9632,165.1237,175.8409,201.11,177,109,32.69,False
1769,2022-01-11,149.89,152.52,147.0,151.72,,1556374.0,43.6267,154.8626,155.633,164.8396,175.7051,201.1,178,110,32.55,False
1770,2022-01-12,153.25,154.61,151.15,152.84,,758998.0,45.9327,154.67,155.2484,164.5524,175.5811,201.1,179,111,31.58,False
1771,2022-01-13,151.95,153.75,146.36,146.75,,1886806.0,37.0562,153.9157,154.7416,164.1776,175.4014,201.1,180,112,37.04,False
1772,2022-01-14,145.43,148.86,145.14,148.73,,1093832.0,41.0453,153.4218,154.1538,163.8169,175.1805,201.09,181,113,35.2,False
1773,2022-01-18,146.0,148.77,143.8,146.99,,1370014.0,38.7228,152.8093,154.0044,163.4306,174.9239,201.09,182,114,36.81,False
1774,2022-01-19,148.0,148.4,141.66,141.69,,1113410.0,32.6607,151.7503,153.7168,162.9888,174.6574,201.09,183,115,41.92,False
1775,2022-01-20,142.65,143.43,137.07,137.15,,1262660.0,28.5391,150.3598,153.2738,162.453,174.3747,201.09,184,116,46.62,False
1776,2022-01-21,136.88,139.86,134.08,134.31,,1389364.0,26.303,148.8312,152.8072,161.8878,174.0787,201.08,185,117,49.71,False
1777,2022-01-24,130.56,137.73,129.47,137.65,,1790762.0,32.9561,147.7664,152.4746,161.384,173.8076,201.08,186,118,46.08,False
1778,2022-01-25,132.95,136.65,132.55,133.45,,1858180.0,29.366,146.4029,151.99,160.8579,173.5121,201.08,187,119,50.68,False
1779,2022-01-26,136.18,139.98,131.54,133.64,,1401610.0,29.7389,145.1874,151.4528,160.3353,173.2182,201.07,188,120,50.46,False
1780,2022-01-27,134.7,135.05,126.95,127.72,,1376420.0,25.2637,143.5238,150.829,159.7589,172.9075,201.07,189,121,57.43,False
1781,2022-01-28,128.48,129.5,123.92,129.46,,1414271.0,28.6617,142.1844,150.232,159.2267,172.5906,201.07,190,122,55.31,False
1782,2022-01-31,129.76,137.39,129.01,137.28,,1527184.0,41.5286,141.7173,149.8188,158.8119,172.3157,201.06,191,123,46.46,False
1783,2022-02-01,137.83,139.18,135.31,138.99,,1551914.0,43.9109,141.4576,149.4718,158.4122,172.0684,201.06,192,124,44.66,False
1784,2022-02-02,139.59,144.31,137.49,143.55,,2812253.0,49.7863,141.6569,149.239,158.0547,171.8664,201.06,193,125,40.06,False
1785,2022-02-03,133.67,139.7,128.47,128.72,,3537391.0,36.4234,140.4248,148.7884,157.5182,171.564,201.05,194,126,56.19,False
1786,2022-02-04,127.5,132.12,125.62,131.45,,2030755.0,39.6355,139.57,148.3656,157.0114,171.286,201.05,195,127,52.95,False
1787,2022-02-07,131.86,133.2,128.2,128.5,,2036352.0,37.4346,138.5157,147.8832,156.4973,170.9589,201.05,196,128,56.46,False
1788,2022-02-08,128.5,132.25,128.13,131.56,,1249729.0,41.0888,137.8533,147.5522,156.0098,170.6218,201.04,197,129,52.81,False
1789,2022-02-09,133.27,138.07,131.68,136.72,,1556244.0,46.7381,137.7454,147.2698,155.624,170.3135,201.04,198,130,47.05,False
1790,2022-02-10,133.52,138.98,132.62,133.74,,1878814.0,44.1074,137.3639,147.02,155.2606,169.997,201.04,199,131,50.32,False
1791,2022-02-11,133.97,134.75,126.35,127.24,,2203691.0,38.9569,136.3997,146.6428,154.8213,169.6355,201.03,200,132,57.99,False
1792,2022-02-14,127.65,131.79,127.19,129.31,,1318375.0,41.3074,135.7245,146.2454,154.3811,169.3412,201.03,201,133,55.46,False
1793,2022-02-15,131.78,135.58,131.6,135.08,,1560843.0,47.3888,135.6631,145.9488,153.9907,169.0939,201.03,202,134,48.82,False
1794,2022-02-16,133.86,137.24,132.51,136.8,,1195661.0,49.0824,135.7714,145.6302,153.6182,168.8658,201.02,203,135,46.94,False
1795,2022-02-17,134.62,136.46,133.03,133.04,,1144287.0,45.6247,135.5113,145.0608,153.1918,168.6182,201.02,204,136,51.1,False
1796,2022-02-18,133.04,134.85,131.53,133.2,,1363980.0,45.7997,135.2911,144.4974,152.8096,168.3608,201.02,205,137,50.92,False
1797,2022-02-22,132.51,134.75,128.33,130.98,,1508096.0,43.6985,134.8806,143.9258,152.4203,168.0948,201.01,206,138,53.47,False
1798,2022-02-23,132.86,135.62,130.05,130.15,,1392114.0,42.906,134.43,143.3442,152.0499,167.8882,201.01,207,139,54.44,False
1799,2022-02-24,125.35,137.0,125.0,136.9,,2006420.0,50.7319,134.6653,142.9824,151.7263,167.7126,201.01,208,140,46.83,False
1800,2022-02-25,136.38,138.85,135.13,137.76,,1166083.0,51.6414,134.96,142.6882,151.464,167.5747,201.0,209,141,45.91,False
1801,2022-02-28,136.09,139.35,134.2,136.78,,1498824.0,50.4974,135.1333,142.3662,151.1712,167.4243,201.0,210,142,46.95,False
1802,2022-03-01,136.67,137.45,131.4,132.61,,1065720.0,45.8438,134.893,142.0644,150.8489,167.2323,201.0,211,143,51.57,False
1803,2022-03-02,133.15,138.34,133.05,137.12,,1106648.0,51.0933,135.1051,141.8532,150.5668,167.0625,200.99,212,144,46.58,False
1804,2022-03-03,134.99,136.91,131.34,131.75,,1442289.0,45.4448,134.7856,141.565,150.226,166.8709,200.99,213,145,52.55,False
1805,2022-03-04,130.57,131.9,127.24,129.63,,1039566.0,43.4047,134.2946,141.1478,149.8855,166.6483,200.99,214,146,55.05,False
1806,2022-03-07,130.05,130.88,123.5,123.68,,1459041.0,38.2189,133.2837,140.5932,149.5197,166.3781,200.99,215,147,62.51,False
1807,2022-03-08,124.05,133.51,122.88,129.14,,1920736.0,44.743,132.889,140.1346,149.2106,166.141,200.98,216,148,55.63,False
1808,2022-03-09,132.43,133.07,128.75,129.36,,1105554.0,44.9951,132.5529,139.6134,148.8581,165.8947,200.98,217,149,55.36,False
1809,2022-03-10,127.07,128.43,123.34,125.5,,1030290.0,41.4248,131.8812,138.9946,148.4544,165.6191,200.98,218,150,60.14,False
1810,2022-03-11,127.69,128.45,123.52,123.63,,946908.0,39.778,131.0954,138.329,148.0377,165.3399,200.97,219,151,62.56,False
1811,2022-03-14,123.47,123.7,117.03,118.61,,1747645.0,35.6778,129.9063,137.58,147.5362,165.0072,200.97,220,152,69.44,False
1812,2022-03-15,118.96,122.03,117.66,121.46,,1444165.0,39.4912,129.1019,136.8814,147.0557,164.7009,200.97,221,153,65.46,False
1813,2022-03-16,123.53,127.35,121.8,127.17,,1167537.0,46.3534,128.9179,136.2362,146.6248,164.4219,200.96,222,154,58.02,False
1814,2022-03-17,125.83,128.88,124.79,128.81,,789734.0,48.1715,128.9076,135.6034,146.2328,164.1394,200.96,223,155,56.01,False
1815,2022-03-18,127.51,130.92,126.69,130.87,,1639848.0,50.4433,129.0945,135.076,145.8683,163.8889,200.96,224,156,53.56,False
1816,2022-03-21,130.65,131.41,126.78,128.93,,1103501.0,48.2963,129.0789,134.4874,145.5048,163.6097,200.95,225,157,55.86,False
1817,2022-03-22,128.2,131.4,128.06,130.03,,1166585.0,49.606,129.1694,133.9942,145.1524,163.3406,200.95,226,158,54.54,False
1818,2022-03-23,128.45,129.4,125.52,125.66,,967730.0,44.7555,128.8352,133.4762,144.7197,163.0475,200.95,227,159,59.92,False
1819,2022-03-24,127.35,131.0,126.3,130.7,,1148122.0,50.7382,129.0128,133.0558,144.3444,162.7933,200.94,228,160,53.74,False
1820,2022-03-25,131.36,131.86,128.99,130.88,,909944.0,50.9426,129.1906,132.6166,143.9325,162.5331,200.94,229,161,53.53,False
1821,2022-03-28,126.37,129.0,124.4,128.86,,1640871.0,48.5107,129.1591,132.2588,143.5002,162.2609,200.94,230,162,55.94,False
1822,2022-03-29,131.0,132.73,128.7,131.89,,1074675.0,52.197,129.4192,131.922,143.0379,161.9956,200.93,231,163,52.35,False
1823,2022-03-30,130.52,132.01,126.95,127.43,,1198258.0,46.8771,129.2298,131.5308,142.7676,161.7232,200.93,232,164,57.68,False
1824,2022-03-31,127.53,128.37,124.05,124.1,,1092256.0,43.3264,128.7412,131.179,142.4479,161.4352,200.93,233,165,61.91,False
1825,2022-04-01,123.87,125.04,118.49,121.51,,1644277.0,40.7416,128.0525,130.8662,142.07,161.1361,200.92,234,166,65.35,False
1826,2022-04-04,122.53,125.38,122.01,123.49,,970198.0,43.5159,127.618,130.6498,141.7285,160.8826,200.92,235,167,62.7,False
1827,2022-04-05,121.73,122.26,116.66,117.94,,1691106.0,38.1276,126.6963,130.2556,141.3651,160.5911,200.92,236,168,70.36,False
1828,2022-04-06,115.68,117.06,114.15,115.08,,1295846.0,35.6761,125.59,129.8882,140.9391,160.2852,200.91,237,169,74.58,False
1829,2022-04-07,114.62,116.9,111.74,114.31,,1239100.0,35.0232,124.5157,129.5016,140.4772,159.9673,200.91,238,170,75.76,False
1830,2022-04-08,113.98,116.08,112.56,114.43,,1113850.0,35.2221,123.5552,129.2358,140.0324,159.625,200.91,239,171,75.57,False
1831,2022-04-11,113.4,118.64,113.2,114.88,,1827039.0,36.0134,122.7289,128.9442,139.5881,159.2827,200.9,240,172,74.88,False
1832,2022-04-12,117.59,118.94,113.77,114.1,,1079135.0,35.2106,121.9071,128.4806,139.1497,158.9165,200.9,241,173,76.07,False
1833,2022-04-13,114.18,117.22,113.85,116.11,,1052519.0,38.9854,121.355,128.023,138.7474,158.5188,200.9,242,174,73.03,False
1834,2022-04-14,116.78,116.78,113.33,113.38,,841130.0,35.9239,120.5955,127.4196,138.3293,158.1074,200.89,243,175,77.18,False
1835,2022-04-18,112.12,115.88,112.12,115.56,,916892.0,39.9774,120.1159,127.1564,137.9724,157.7193,200.89,244,176,73.84,False
1836,2022-04-19,115.43,117.66,115.16,117.34,,740127.0,43.1402,119.8516,126.8742,137.6199,157.3277,200.89,245,177,71.2,False
1837,2022-04-20,118.73,119.47,115.63,115.77,,627937.0,41.0839,119.4628,126.6196,137.2514,156.935,200.89,246,178,73.53,False
1838,2022-04-21,117.89,119.3,113.05,113.59,,1092547.0,38.3503,118.9035,126.2602,136.9062,156.543,200.88,247,179,76.85,False
1839,2022-04-22,112.81,114.57,111.46,111.69,,1018940.0,36.0961,118.2165,125.7596,136.5147,156.1542,200.88,248,180,79.85,False
1840,2022-04-25,110.99,114.67,109.84,114.61,,900559.0,41.7618,117.873,125.377,136.1985,155.7626,200.88,249,181,75.27,False
1841,2022-04-26,112.82,113.1,109.24,109.34,,1191029.0,35.6231,117.0604,125.019,135.8309,155.3412,200.87,250,182,83.71,False
1842,2022-04-27,108.58,112.72,108.31,110.27,,755326.0,37.3726,116.4137,124.6382,135.4418,154.9286,200.87,251,183,82.16,False
1843,2022-04-28,112.93,118.22,111.33,117.08,,1506115.0,48.4253,116.4771,124.2782,135.1135,154.5519,200.87,252,184,71.57,False
1844,2022-04-29,115.77,118.45,113.66,113.78,,1376461.0,44.3415,116.2203,123.8178,134.724,154.166,200.86,253,185,76.53,False
1845,2022-05-02,114.43,119.61,114.05,119.56,,1281661.0,51.9801,116.5383,123.5482,134.3045,153.8254,200.86,254,186,68.0,False
