index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6315,2024-12-06,234.36,236.14,228.84,229.91,,712232.0,67.328,219.655,206.7023,188.5773,180.9619,236.14,20,0,2.71,False
6316,2024-12-09,231.29,234.16,226.96,227.31,,662266.0,63.1622,220.3843,207.3321,189.1857,181.1716,236.13,21,1,3.88,False
6317,2024-12-10,227.5,228.1,225.22,226.64,,360123.0,62.0844,220.9796,208.0012,189.8118,181.3851,236.12,22,2,4.18,False
6318,2024-12-11,226.71,229.18,224.02,226.6,,700579.0,62.0173,221.5145,208.7023,190.4087,181.6201,236.11,23,3,4.2,False
6319,2024-12-12,225.7,227.8,224.98,225.25,,523091.0,59.6752,221.8703,209.3588,191.004,181.8428,236.11,24,4,4.82,False
6320,2024-12-13,226.24,227.57,224.16,226.64,,443564.0,61.296,222.3241,210.0571,191.644,182.0616,236.1,25,5,4.17,False
6321,2024-12-16,226.54,232.73,225.89,230.83,,478234.0,65.7819,223.1343,210.7643,192.3534,182.3059,236.09,26,6,2.28,False
6322,2024-12-17,229.95,229.95,225.28,227.11,,744757.0,59.2316,223.5133,211.4096,192.9565,182.5652,236.08,27,7,3.95,False
6323,2024-12-18,226.41,228.96,220.28,220.4,,738462.0,49.6172,223.2166,211.9401,193.4386,182.7803,236.07,28,8,7.11,False
6324,2024-12-19,222.85,223.92,220.36,221.66,,628114.0,51.2238,223.0686,212.4728,193.9374,183.0072,236.06,29,9,6.5,False
6325,2024-12-20,220.72,232.43,220.72,229.46,,1629054.0,59.7374,223.6769,213.0937,194.4896,183.2706,236.06,30,10,2.88,False
6326,2024-12-23,228.2,230.88,226.47,229.58,,504587.0,59.8628,224.2396,213.6621,195.0729,183.5528,236.05,31,11,2.82,False
6327,2024-12-24,229.14,230.74,228.21,230.74,,194091.0,61.0294,224.8587,214.1697,195.749,183.8291,236.04,32,12,2.3,False
6328,2024-12-26,229.05,232.86,229.05,231.79,,488191.0,62.1031,225.5185,214.7948,196.4812,184.1006,236.03,33,13,1.83,False
6329,2024-12-27,229.68,232.24,228.54,229.55,,414913.0,58.3983,225.9025,215.3577,197.14,184.3492,236.02,34,14,2.82,False
6330,2024-12-30,226.02,232.28,224.78,232.22,,592694.0,61.3612,226.5042,215.9578,197.8807,184.6139,236.01,35,15,1.63,False
