index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6316,2024-12-09,156.09,158.32,155.0,155.87,,3555760.0,67.3729,150.1667,145.3726,146.2009,143.3785,158.32,74,0,1.57,False
6317,2024-12-10,156.08,156.85,154.07,155.77,,2228714.0,67.0303,150.7004,145.4849,146.3305,143.4254,158.26,75,1,1.6,False
6318,2024-12-11,156.76,157.03,153.76,153.84,,1499954.0,60.7501,150.9994,145.6049,146.4266,143.4538,158.2,76,2,2.83,False
6319,2024-12-12,153.3,154.68,153.14,153.88,,2129328.0,60.832,151.2737,145.7348,146.5345,143.4784,158.14,77,3,2.77,False
6320,2024-12-13,153.89,154.71,152.86,153.53,,1698006.0,59.6589,151.4886,145.8768,146.6557,143.5085,158.08,78,4,2.96,False
6321,2024-12-16,153.97,153.97,149.64,149.92,,2557018.0,49.1339,151.3392,145.9704,146.7505,143.5173,158.02,79,5,5.4,False
6322,2024-12-17,149.17,151.65,149.15,150.85,,3313295.0,51.5074,151.2926,146.1916,146.8566,143.5291,157.96,80,6,4.71,False
6323,2024-12-18,150.85,152.1,148.54,148.6,,2641351.0,45.9242,151.0362,146.3339,146.9303,143.5335,157.9,81,7,6.26,False
6324,2024-12-19,148.54,149.45,147.75,147.79,,2352064.0,44.0721,150.727,146.4486,146.9875,143.5391,157.84,82,8,6.8,False
6325,2024-12-20,147.82,151.21,147.8,149.15,,6172688.0,47.8733,150.5768,146.6176,147.0536,143.5619,157.78,83,9,5.79,False
6326,2024-12-23,148.48,148.92,146.84,148.68,,1411221.0,46.6922,150.3962,146.7308,147.1175,143.5838,157.72,84,10,6.08,False
6327,2024-12-24,149.09,150.63,148.52,150.47,,657998.0,51.6031,150.4037,146.8806,147.2265,143.6139,157.66,85,11,4.78,False
6328,2024-12-26,150.09,154.03,149.68,153.87,,1313641.0,59.2495,150.7338,147.0399,147.4111,143.658,157.6,86,12,2.42,False
6329,2024-12-27,152.77,154.07,152.05,152.96,,1341477.0,56.6652,150.9458,147.1505,147.5775,143.6946,157.54,87,13,2.99,False
6330,2024-12-30,152.02,152.26,149.74,151.5,,1699154.0,52.694,150.9986,147.2037,147.7357,143.7273,157.48,88,14,3.95,False
