index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6315,2024-12-06,216.89,218.59,216.4,216.68,,1053775.0,62.3943,213.4964,207.1394,204.3403,196.2081,218.59,6,0,0.88,False
6316,2024-12-09,216.67,217.68,211.46,212.34,,1022420.0,50.4094,213.3863,207.4102,204.4239,196.3527,218.26,7,1,2.79,False
6317,2024-12-10,213.48,213.59,210.69,211.69,,651685.0,48.8945,213.2247,207.6388,204.5121,196.4946,217.93,8,2,2.95,False
6318,2024-12-11,212.12,213.01,209.59,210.35,,835916.0,45.8366,212.951,207.8318,204.5707,196.6316,217.6,9,3,3.45,False
6319,2024-12-12,211.0,211.24,209.5,210.13,,501359.0,45.3352,212.6823,208.0326,204.6874,196.7603,217.27,10,4,3.4,False
6320,2024-12-13,210.4,210.4,208.71,208.97,,805739.0,42.6844,212.3287,208.174,204.7862,196.8949,216.95,11,5,3.82,False
6321,2024-12-16,209.64,210.4,207.62,208.14,,1013506.0,40.8441,211.9298,208.3234,204.9796,197.0252,216.62,12,6,4.07,False
6322,2024-12-17,207.49,208.32,205.15,205.62,,1077855.0,35.7977,211.3289,208.4636,205.1383,197.1364,216.29,13,7,5.19,False
6323,2024-12-18,205.94,206.81,203.37,203.46,,2226263.0,32.133,210.5795,208.4916,205.2569,197.2426,215.96,14,8,6.14,False
6324,2024-12-19,203.17,205.34,202.47,203.95,,1603109.0,33.7889,209.9481,208.4738,205.3783,197.3511,215.64,15,9,5.73,False
6325,2024-12-20,204.44,205.6,202.81,203.73,,2366687.0,33.3949,209.3559,208.4868,205.4781,197.4575,215.31,16,10,5.68,False
6326,2024-12-23,203.91,203.96,200.67,202.26,,1027619.0,30.8098,208.6801,208.4432,205.531,197.5556,214.99,17,11,6.29,False
6327,2024-12-24,201.85,204.14,201.76,204.14,,326806.0,37.4758,208.2477,208.4106,205.5781,197.6628,214.66,18,12,5.15,False
6328,2024-12-26,203.5,206.39,202.5,204.1,,394138.0,37.3933,207.8527,208.3628,205.6733,197.7639,214.34,19,13,5.02,False
6329,2024-12-27,203.2,204.77,202.24,202.88,,559622.0,34.8704,207.3791,208.3098,205.7408,197.8567,214.02,20,14,5.49,False
6330,2024-12-30,201.66,202.1,200.53,201.19,,880809.0,31.6817,206.7897,208.2212,205.7429,197.9389,213.69,21,15,6.21,False
