index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6294,2024-11-06,129.04,129.5,120.6,124.86,,1441935.0,59.5616,121.2215,121.5242,117.4596,111.6382,129.5,716,0,3.72,False
6295,2024-11-07,125.44,126.16,123.5,124.0,,829302.0,57.0313,121.4861,121.5798,117.6271,111.7247,129.42,717,1,4.37,False
6296,2024-11-08,123.17,123.97,118.98,122.47,,999722.0,52.7388,121.5798,121.587,117.7802,111.7947,129.34,718,2,5.61,False
6297,2024-11-11,121.55,122.1,119.02,120.64,,1293819.0,48.0777,121.4903,121.5504,117.9129,111.8489,129.26,719,3,7.15,False
6298,2024-11-12,120.0,120.76,119.66,120.35,,691375.0,47.3633,121.3817,121.564,118.0379,111.9013,129.18,720,4,7.34,False
6299,2024-11-13,120.23,120.85,119.34,119.74,,808699.0,45.821,121.2254,121.6076,118.1676,111.9452,129.1,721,5,7.82,False
6300,2024-11-14,119.59,119.59,115.88,116.05,,732477.0,37.802,120.7325,121.5876,118.283,111.9906,129.02,722,6,11.18,False
6301,2024-11-15,115.24,117.54,109.22,109.52,,1817426.0,28.3474,119.6646,121.4711,118.3363,111.993,128.94,723,7,17.73,False
6302,2024-11-18,109.52,110.8,109.0,109.47,,1299191.0,28.2891,118.6937,121.2867,118.3752,112.0132,128.86,724,8,17.71,False
6303,2024-11-19,108.48,110.17,107.17,109.91,,843923.0,29.661,117.8572,121.0645,118.427,112.0443,128.78,725,9,17.17,False
6304,2024-11-20,110.32,111.37,108.54,111.34,,952179.0,34.0754,117.2365,120.8726,118.5117,112.0809,128.7,726,10,15.59,False
6305,2024-11-21,111.38,114.13,109.72,111.11,,1374995.0,33.7089,116.653,120.6932,118.6039,112.1229,128.62,727,11,15.76,False
6306,2024-11-22,111.11,112.63,109.17,112.03,,1143926.0,36.6438,116.2127,120.4946,118.6999,112.1678,128.54,728,12,14.74,False
6307,2024-11-25,113.0,115.22,110.95,114.66,,1408832.0,44.2433,116.0648,120.3332,118.8122,112.2233,128.46,729,13,12.04,False
6308,2024-11-26,113.64,115.24,112.3,115.07,,1013583.0,45.3439,115.9701,120.1819,118.9178,112.2752,128.38,730,14,11.57,False
6309,2024-11-27,115.98,117.01,114.71,116.23,,622741.0,48.4447,115.9948,120.0161,119.0412,112.3506,128.3,731,15,10.38,False
6310,2024-11-29,116.06,116.92,115.72,116.14,,389640.0,48.2162,116.0087,119.8108,119.1371,112.4145,128.22,732,16,10.4,False
6311,2024-12-02,115.79,116.84,115.16,116.7,,775553.0,49.8031,116.0745,119.6884,119.2072,112.4787,128.14,733,17,9.8,False
6312,2024-12-03,116.58,117.05,114.56,115.02,,699521.0,45.3164,115.9741,119.5489,119.2636,112.5425,128.06,734,18,11.34,False
6313,2024-12-04,114.47,117.23,114.06,116.13,,742906.0,48.6106,115.9889,119.3741,119.3451,112.6142,127.98,735,19,10.2,False
6314,2024-12-05,115.53,116.19,114.34,115.09,,1216126.0,45.8252,115.9033,119.2355,119.3662,112.6718,127.91,736,20,11.14,False
6315,2024-12-06,115.81,117.54,115.64,116.46,,709615.0,49.8979,115.9563,119.0394,119.3984,112.7333,127.83,737,21,9.76,False
6316,2024-12-09,116.51,120.61,116.51,120.29,,709488.0,59.1448,116.3691,118.9255,119.5039,112.8135,127.75,738,22,6.2,False
6317,2024-12-10,120.79,120.81,117.57,117.84,,743132.0,52.4732,116.5092,118.7288,119.6015,112.8839,127.67,739,23,8.34,False
6318,2024-12-11,118.5,119.48,116.33,116.64,,973288.0,49.5264,116.5216,118.5742,119.6616,112.94,127.59,740,24,9.39,False
6319,2024-12-12,115.99,116.82,115.59,116.01,,1456075.0,48.0023,116.4729,118.3943,119.7219,112.9843,127.51,741,25,9.91,False
6320,2024-12-13,116.71,116.71,113.07,115.94,,1275028.0,47.8262,116.4221,118.2326,119.7659,113.0172,127.43,742,26,9.91,False
6321,2024-12-16,115.29,116.25,114.5,115.17,,698093.0,45.8341,116.3029,118.0582,119.7902,113.0584,127.35,743,27,10.58,False
6322,2024-12-17,115.1,117.41,114.33,114.75,,743661.0,44.7395,116.155,117.904,119.7868,113.0907,127.27,744,28,10.91,False
6323,2024-12-18,114.08,115.19,109.1,109.14,,1006644.0,33.2998,115.4869,117.6477,119.6231,113.1024,127.19,745,29,16.54,False
6324,2024-12-19,109.0,111.04,107.64,110.54,,738994.0,37.5886,115.0158,117.4297,119.4576,113.1196,127.12,746,30,15.0,False
6325,2024-12-20,110.15,113.66,110.15,112.56,,2049624.0,43.2579,114.7819,117.2777,119.3278,113.141,127.04,747,31,12.86,False
6326,2024-12-23,111.32,112.44,110.35,112.27,,660111.0,42.6588,114.5427,117.0943,119.201,113.1567,126.96,748,32,13.08,False
6327,2024-12-24,112.24,113.11,111.28,112.34,,214093.0,42.8644,114.3329,116.8843,119.0924,113.1733,126.88,749,33,12.94,False
6328,2024-12-26,111.45,112.72,110.94,112.5,,266218.0,43.3645,114.1583,116.6486,119.0162,113.1928,126.8,750,34,12.71,False
6329,2024-12-27,111.31,112.69,110.98,111.99,,346041.0,42.0996,113.9518,116.4862,118.9365,113.2138,126.72,751,35,13.15,False
6330,2024-12-30,110.9,112.08,109.39,111.31,,400105.0,40.4072,113.7002,116.3328,118.8939,113.2469,126.64,752,36,13.77,False
