index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5911,2023-05-01,109.62,110.8,109.62,109.92,,6495924.0,81.1163,104.0638,99.8205,99.7154,91.9694,110.8,445,0,0.8,False
5912,2023-05-02,109.85,109.92,108.28,109.82,,9626359.0,80.4162,104.6122,99.9618,99.8391,92.1427,110.79,446,1,0.88,False
5913,2023-05-03,104.66,105.27,99.59,99.75,,24388561.0,40.6986,104.1489,99.946,99.864,92.2628,110.77,447,2,11.05,False
5914,2023-05-04,100.04,101.39,99.59,100.48,,8858136.0,42.897,103.7992,99.9451,99.8783,92.3756,110.76,448,3,10.23,False
5915,2023-05-05,101.27,103.12,101.11,102.87,,7813754.0,49.5022,103.7103,100.0161,99.9352,92.4969,110.75,449,4,7.66,False
5916,2023-05-08,103.12,103.74,102.6,102.83,,6090713.0,49.4033,103.6262,100.123,99.983,92.6168,110.73,450,5,7.68,False
5917,2023-05-09,102.65,102.83,102.09,102.39,,3682380.0,48.2109,103.5081,100.2049,100.032,92.7342,110.72,451,6,8.14,False
5918,2023-05-10,102.82,103.73,101.4,102.64,,4565013.0,48.9608,103.425,100.2985,100.0827,92.8627,110.71,452,7,7.86,False
5919,2023-05-11,102.64,102.95,101.37,101.86,,4791653.0,46.6925,103.2757,100.3893,100.1467,92.993,110.69,453,8,8.67,False
5920,2023-05-12,101.98,102.42,101.09,102.33,,5175562.0,48.2619,103.1857,100.4592,100.2265,93.1131,110.68,454,9,8.16,False
5921,2023-05-15,102.32,102.94,101.83,102.83,,4217126.0,49.9459,103.1521,100.5096,100.3163,93.2277,110.67,455,10,7.62,False
5922,2023-05-16,102.61,102.76,101.44,101.52,,3677256.0,45.7515,102.9967,100.5253,100.3959,93.3352,110.65,456,11,8.99,False
5923,2023-05-17,102.18,102.74,101.2,101.92,,4757275.0,47.1913,102.8938,100.5806,100.473,93.444,110.64,457,12,8.56,False
5924,2023-05-18,101.66,103.31,101.44,103.27,,5377477.0,51.8871,102.9293,100.679,100.5724,93.5652,110.63,458,13,7.13,False
5925,2023-05-19,103.18,103.32,101.56,101.74,,4985231.0,46.8264,102.8162,100.7891,100.6516,93.6621,110.62,459,14,8.73,False
5926,2023-05-22,101.75,101.93,99.1,99.23,,7504276.0,39.9029,102.4743,100.8665,100.6968,93.7482,110.6,460,15,11.46,False
5927,2023-05-23,98.47,98.49,96.5,96.76,,6766298.0,34.5128,101.9298,100.9004,100.723,93.8274,110.59,461,16,14.29,False
5928,2023-05-24,97.2,97.21,95.57,96.05,,6134820.0,33.1382,101.3701,100.9129,100.7311,93.9031,110.58,462,17,15.13,False
5929,2023-05-25,95.18,95.37,94.24,94.93,,8177029.0,31.0066,100.7563,100.9051,100.7332,93.9773,110.56,463,18,16.46,False
5930,2023-05-26,95.11,96.05,94.82,95.01,,7276461.0,31.3723,100.2092,100.8781,100.7207,94.0441,110.55,464,19,16.36,False
