index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6319,2024-12-12,82.76,83.3,82.4,82.85,,7469481.0,71.6501,80.61,75.0429,69.404,70.5082,83.3,714,0,0.54,False
6320,2024-12-13,83.04,83.08,78.71,79.54,,14089420.0,50.23,80.5081,75.37,69.5633,70.5755,83.29,715,1,4.71,False
6321,2024-12-16,79.99,79.99,77.67,77.94,,12314038.0,43.4656,80.2635,75.6382,69.6852,70.6364,83.28,716,2,6.85,False
6322,2024-12-17,77.5,77.81,76.58,76.76,,8409445.0,39.2659,79.9298,75.8919,69.7917,70.6856,83.26,717,3,8.47,False
6323,2024-12-18,76.76,77.17,73.51,73.97,,14116670.0,31.5128,79.3622,76.0777,69.8832,70.7186,83.25,718,4,12.55,False
6324,2024-12-19,74.52,75.16,73.4,73.62,,9749009.0,30.694,78.8154,76.2206,69.975,70.7498,83.24,719,5,13.07,False
6325,2024-12-20,73.52,75.0,73.32,74.31,,12322449.0,34.3172,78.3863,76.3783,70.071,70.784,83.23,720,6,12.0,False
6326,2024-12-23,73.97,74.74,73.74,74.71,,6863597.0,36.3932,78.0362,76.5234,70.1857,70.8253,83.22,721,7,11.39,False
6327,2024-12-24,74.74,74.86,74.12,74.84,,2150265.0,37.0891,77.7318,76.6684,70.3049,70.8683,83.21,722,8,11.18,False
6328,2024-12-26,74.7,75.11,74.44,75.05,,2926975.0,38.2642,77.4764,76.7351,70.437,70.9146,83.19,723,9,10.85,False
6329,2024-12-27,74.84,75.15,74.17,74.74,,3967595.0,37.1607,77.2157,76.7931,70.5611,70.9562,83.18,724,10,11.29,False
6330,2024-12-30,74.1,74.32,73.32,73.93,,5262125.0,34.3717,76.9028,76.8384,70.6827,70.9964,83.17,725,11,12.5,False
