index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6312,2024-12-03,395.74,398.0,390.37,395.32,,1016933.0,60.9267,386.3263,378.6858,365.8766,340.0364,398.0,3,0,0.68,False
6313,2024-12-04,394.81,394.89,390.77,392.07,,1213891.0,57.3344,386.8733,378.9104,366.625,340.4534,397.2,4,1,1.31,False
6314,2024-12-05,390.42,391.52,384.48,385.24,,1388293.0,50.5844,386.7177,379.0059,367.2261,340.8213,396.39,5,2,2.89,False
6315,2024-12-06,387.76,389.68,384.46,384.96,,1909970.0,50.3228,386.5503,379.041,367.8304,341.1564,395.59,6,3,2.76,False
6316,2024-12-09,385.4,385.9,375.47,376.45,,2337606.0,43.0387,385.5884,378.9298,368.3529,341.4384,394.8,7,4,4.87,False
6317,2024-12-10,375.36,375.83,370.61,371.6,,1808600.0,39.5272,384.2562,378.7428,368.863,341.6938,394.0,8,5,6.03,False
6318,2024-12-11,373.94,374.63,370.51,371.94,,1302611.0,39.8974,383.0832,378.5843,369.3714,341.925,393.2,9,6,5.72,False
6319,2024-12-12,370.71,370.96,366.33,366.85,,1219297.0,36.3132,381.5372,378.3723,369.6083,342.121,392.41,10,7,6.97,False
6320,2024-12-13,367.18,367.23,362.45,364.5,,1118837.0,34.7606,379.9146,378.2144,369.946,342.2935,391.62,11,8,7.44,False
6321,2024-12-16,366.2,368.27,363.96,365.03,,1486595.0,35.4311,378.497,378.103,370.1823,342.4529,390.83,12,9,7.07,False
6322,2024-12-17,363.47,368.58,362.54,362.79,,1292409.0,33.8477,377.0011,378.017,370.3316,342.5917,390.04,13,10,7.51,False
6323,2024-12-18,361.58,364.56,348.35,348.66,,2306780.0,25.9651,374.302,377.5363,370.3064,342.6788,389.25,14,11,11.64,False
6324,2024-12-19,348.99,349.91,342.18,342.38,,2056273.0,23.3611,371.2618,376.819,370.2255,342.7187,388.47,15,12,13.46,False
6325,2024-12-20,339.74,349.35,339.3,345.47,,3294827.0,27.2283,368.8054,376.2135,370.1859,342.7333,387.68,16,13,12.22,False
6326,2024-12-23,344.35,345.81,340.76,344.84,,1083330.0,26.9299,366.523,375.5448,370.1441,342.7645,386.9,17,14,12.2,False
6327,2024-12-24,343.8,346.52,342.03,346.52,,445855.0,29.1592,364.6179,374.8065,370.1503,342.8057,386.12,18,15,11.43,False
6328,2024-12-26,342.85,346.64,342.85,345.51,,750556.0,28.5944,362.7981,373.9603,370.2277,342.8303,385.34,19,16,11.53,False
6329,2024-12-27,344.09,346.44,341.38,343.29,,881748.0,27.3408,360.9402,373.053,370.2328,342.873,384.56,20,17,12.02,False
6330,2024-12-30,342.57,342.58,337.1,338.75,,1202257.0,24.9334,358.8269,372.061,370.2364,342.9025,383.78,21,18,13.29,False
