index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,89.91,90.09,88.92,89.13,,2363970.0,53.4183,88.456,89.1185,86.9634,79.565,90.09,25,0,1.08,False
6311,2024-12-02,89.39,89.39,87.64,87.77,,4029993.0,46.4835,88.3907,89.0944,87.0554,79.6815,89.95,26,1,2.48,False
6312,2024-12-03,88.27,88.5,86.24,86.26,,5724669.0,40.2375,88.1877,89.0239,87.1311,79.7887,89.81,27,2,4.12,False
6313,2024-12-04,86.17,86.47,85.5,85.85,,3795781.0,38.7163,87.9651,88.9609,87.2022,79.8912,89.67,28,3,4.45,False
6314,2024-12-05,85.9,86.65,85.89,86.19,,3007870.0,40.7178,87.796,88.9122,87.266,79.992,89.53,29,4,3.88,False
6315,2024-12-06,86.12,86.44,84.5,84.81,,4798391.0,35.6312,87.5117,88.8438,87.3111,80.0881,89.39,30,5,5.4,False
6316,2024-12-09,84.9,85.2,83.85,84.31,,3866648.0,33.9751,87.2067,88.7426,87.3543,80.1797,89.25,31,6,5.86,False
6317,2024-12-10,84.11,84.68,83.24,84.39,,3250123.0,34.4997,86.9385,88.6415,87.3975,80.2787,89.11,32,7,5.59,False
6318,2024-12-11,84.16,84.36,83.0,83.25,,5066923.0,30.7504,86.5872,88.5036,87.4248,80.371,88.97,33,8,6.87,False
6319,2024-12-12,83.57,84.17,83.18,83.37,,3053893.0,31.5932,86.2808,88.3541,87.4582,80.4621,88.83,34,9,6.55,False
6320,2024-12-13,83.27,83.39,82.71,83.2,,2549292.0,31.0173,85.9874,88.2188,87.4769,80.5503,88.69,35,10,6.6,False
6321,2024-12-16,83.16,83.34,81.81,81.88,,4716408.0,26.9149,85.5962,88.0648,87.4924,80.6338,88.55,36,11,8.15,False
6322,2024-12-17,81.55,83.36,81.38,83.28,,5500888.0,36.5067,85.3756,87.967,87.5169,80.7178,88.42,37,12,6.17,False
6323,2024-12-18,82.89,83.2,81.45,81.5,,4016060.0,30.9457,85.0065,87.8257,87.5149,80.7939,88.28,38,13,8.32,False
6324,2024-12-19,81.5,82.79,81.38,81.78,,4044766.0,32.6828,84.6992,87.6972,87.5124,80.8685,88.14,39,14,7.78,False
6325,2024-12-20,81.75,83.1,81.4,82.86,,7725066.0,39.0515,84.5241,87.6035,87.5194,80.9452,88.0,40,15,6.2,False
6326,2024-12-23,82.85,83.1,81.96,83.04,,2556416.0,40.0692,84.3827,87.4995,87.4884,81.024,87.86,41,16,5.8,False
6327,2024-12-24,83.06,83.17,82.71,83.16,,1146333.0,40.7791,84.2663,87.3805,87.4486,81.0997,87.73,42,17,5.5,False
6328,2024-12-26,82.71,83.18,82.5,82.84,,2177496.0,39.4375,84.1304,87.2378,87.4253,81.1758,87.59,43,18,5.73,False
6329,2024-12-27,82.32,83.32,82.26,83.14,,2603395.0,41.3844,84.0361,87.0698,87.4063,81.2506,87.45,44,19,5.18,False
6330,2024-12-30,82.79,82.95,82.03,82.38,,3786273.0,38.0475,83.8784,86.8784,87.3714,81.3243,87.32,45,20,6.0,False
