index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,93.88,94.28,93.04,93.04,,1762848.0,63.6494,90.749,85.8866,82.4571,76.9044,94.28,3,0,1.33,False
6311,2024-12-02,93.51,93.51,91.05,91.48,,3199540.0,56.5732,90.8182,86.0762,82.6125,77.0201,94.0,4,1,2.75,False
6312,2024-12-03,92.27,92.95,91.37,91.39,,4018296.0,56.1876,90.8724,86.2471,82.7668,77.1355,93.72,5,2,2.55,False
6313,2024-12-04,91.24,91.43,90.47,90.88,,3415549.0,53.9437,90.8732,86.4279,82.9263,77.2475,93.45,6,3,2.83,False
6314,2024-12-05,91.24,91.8,90.83,90.94,,3910539.0,54.1755,90.8795,86.6103,83.0828,77.3534,93.17,7,4,2.45,False
6315,2024-12-06,91.11,91.25,89.29,89.6,,3265242.0,48.2887,90.7577,86.7746,83.2127,77.4558,92.9,8,5,3.68,False
6316,2024-12-09,89.42,89.68,88.69,88.78,,3015580.0,45.0619,90.5693,86.8965,83.3339,77.551,92.62,9,6,4.33,False
6317,2024-12-10,88.89,89.43,87.78,88.55,,2415527.0,44.1703,90.377,87.0062,83.4547,77.6501,92.35,10,7,4.29,False
6318,2024-12-11,88.63,88.81,87.1,87.41,,3996923.0,39.9509,90.0944,87.0874,83.56,77.7428,92.08,11,8,5.34,False
6319,2024-12-12,87.97,88.5,87.39,87.93,,4254744.0,42.6424,89.8883,87.1897,83.6731,77.84,91.8,12,9,4.4,False
6320,2024-12-13,89.01,89.79,88.81,89.16,,2766672.0,48.5201,89.8189,87.3335,83.7847,77.9437,91.53,13,10,2.66,False
6321,2024-12-16,89.11,89.77,88.62,88.63,,2881654.0,46.3176,89.7057,87.4652,83.9014,78.0483,91.26,14,11,2.97,False
6322,2024-12-17,87.58,88.58,86.36,86.96,,4188860.0,40.1353,89.4442,87.5853,83.9967,78.1403,90.99,15,12,4.63,False
6323,2024-12-18,87.01,87.94,85.06,85.09,,3344554.0,34.5709,89.0295,87.6659,84.0663,78.2255,90.72,16,13,6.62,False
6324,2024-12-19,85.33,86.68,85.1,85.9,,3532836.0,38.5453,88.7315,87.7646,84.1345,78.3127,90.46,17,14,5.31,False
6325,2024-12-20,85.34,87.22,85.34,86.81,,4747470.0,42.7526,88.5485,87.8852,84.2134,78.4046,90.19,18,15,3.89,False
6326,2024-12-23,86.65,87.07,85.81,87.04,,2789532.0,43.7999,88.4048,87.9939,84.2806,78.4954,89.92,19,16,3.31,False
6327,2024-12-24,86.96,87.97,86.67,87.96,,795600.0,47.9051,88.3624,88.1014,84.3544,78.5836,89.66,20,17,1.93,False
6328,2024-12-26,87.51,87.74,87.0,87.61,,7243985.0,46.5131,88.2908,88.1844,84.4547,78.6778,89.39,21,18,2.03,False
6329,2024-12-27,87.0,88.16,87.0,87.77,,1791233.0,47.2675,88.2412,88.2382,84.5729,78.7735,89.13,22,19,1.55,False
6330,2024-12-30,87.2,87.64,86.32,87.35,,4367077.0,45.4552,88.1563,88.2869,84.6848,78.87,88.87,23,20,1.74,False
