index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6256,2024-09-13,244.54,247.57,243.96,244.17,,271263.0,60.5539,239.2541,232.5019,225.6304,221.3486,247.57,281,0,1.39,False
6257,2024-09-16,245.88,246.79,242.31,243.08,,280761.0,58.4565,239.6182,232.9847,226.0164,221.5843,247.56,282,1,1.84,False
6258,2024-09-17,242.65,244.84,239.54,241.03,,343830.0,54.657,239.7528,233.4309,226.4136,221.8117,247.55,283,2,2.71,False
6259,2024-09-18,241.15,242.33,236.5,237.74,,496924.0,49.122,239.5612,233.9371,226.7904,222.0052,247.54,284,3,4.12,False
6260,2024-09-19,240.9,240.91,238.46,238.82,,513109.0,50.8753,239.4904,234.4273,227.1545,222.1915,247.53,285,4,3.65,False
6261,2024-09-20,237.84,237.95,234.71,236.34,,782961.0,46.8801,239.1908,234.8194,227.4789,222.3863,247.52,286,5,4.73,False
6262,2024-09-23,237.41,239.16,236.72,238.74,,355434.0,50.8987,239.1477,235.1821,227.8357,222.5967,247.51,287,6,3.67,False
6263,2024-09-24,238.94,239.13,237.33,237.6,,348722.0,49.0024,239.0004,235.5465,228.1763,222.7978,247.5,288,7,4.17,False
6264,2024-09-25,238.94,238.94,235.5,235.78,,260648.0,46.0373,238.6933,235.7322,228.4868,222.9763,247.49,289,8,4.97,False
6265,2024-09-26,237.12,237.21,234.58,236.12,,414605.0,46.6828,238.4478,235.9034,228.785,223.1639,247.48,290,9,4.81,False
6266,2024-09-27,236.86,241.35,236.56,238.41,,312283.0,50.9567,238.4441,236.1854,229.0893,223.3571,247.47,291,10,3.8,False
6267,2024-09-30,238.59,242.54,238.22,241.89,,530476.0,56.6368,238.7722,236.56,229.3951,223.5683,247.46,292,11,2.3,False
6268,2024-10-01,241.2,241.2,232.93,235.15,,797879.0,45.6162,238.427,236.7107,229.6611,223.7195,247.45,293,12,5.23,False
6269,2024-10-02,233.91,236.05,231.29,234.1,,316382.0,44.1783,238.015,236.7821,229.7588,223.8478,247.44,294,13,5.7,False
6270,2024-10-03,233.45,233.78,231.2,232.24,,241325.0,41.6596,237.4646,236.8159,229.7848,223.9559,247.43,295,14,6.54,False
6271,2024-10-04,233.45,233.63,230.23,230.4,,378390.0,39.2862,236.7918,236.8957,229.7803,224.0404,247.42,296,15,7.39,False
6272,2024-10-07,229.12,229.12,224.3,225.41,,341778.0,33.6723,235.7082,236.7717,229.6918,224.0827,247.41,297,16,9.76,False
6273,2024-10-08,226.27,227.45,224.29,226.61,,329551.0,36.0348,234.8418,236.6014,229.6205,224.1512,247.4,298,17,9.17,False
6274,2024-10-09,226.84,228.54,225.46,226.54,,1038528.0,35.9543,234.0512,236.4114,229.5956,224.2022,247.39,299,18,9.2,False
6275,2024-10-10,226.38,227.39,224.1,225.55,,376132.0,34.772,233.2419,236.1714,229.5413,224.2415,247.38,300,19,9.68,False
6276,2024-10-11,226.62,228.35,224.82,226.29,,361081.0,36.4541,232.58,235.9014,229.4938,224.2764,247.37,301,20,9.32,False
6277,2024-10-14,226.45,228.33,224.12,227.6,,282576.0,39.432,232.1055,235.6259,229.4807,224.3083,247.36,302,21,8.68,False
6278,2024-10-15,227.6,231.93,224.82,226.09,,601894.0,37.2643,231.5328,235.4138,229.4526,224.3406,247.35,303,22,9.4,False
6279,2024-10-16,226.03,229.06,224.28,225.38,,565866.0,36.2551,230.9472,235.162,229.4549,224.3787,247.34,304,23,9.74,False
6280,2024-10-17,226.95,227.42,222.54,224.4,,648116.0,34.8383,230.3233,235.003,229.424,224.4257,247.33,305,24,10.22,False
6281,2024-10-18,226.08,226.08,223.4,225.04,,607791.0,36.5904,229.8206,234.7345,229.457,224.4934,247.32,306,25,9.9,False
6282,2024-10-21,224.25,224.91,222.79,223.77,,406573.0,34.6165,229.2442,234.5141,229.4769,224.5425,247.31,307,26,10.52,False
6283,2024-10-22,223.19,223.19,220.63,220.96,,406559.0,30.6885,228.4549,234.2781,229.4706,224.5779,247.3,308,27,11.92,False
6284,2024-10-23,220.51,221.47,219.09,220.56,,507924.0,30.1657,227.7027,234.037,229.4637,224.5872,247.29,309,28,12.12,False
6285,2024-10-24,223.04,230.08,222.1,226.63,,739503.0,45.4143,227.6006,233.9374,229.4631,224.621,247.28,310,29,9.11,False
6286,2024-10-25,227.29,227.29,222.31,223.52,,409567.0,40.5315,227.2119,233.8246,229.4301,224.6294,247.28,311,30,10.63,False
6287,2024-10-28,225.04,226.89,222.81,223.41,,491131.0,40.3667,226.8497,233.6695,229.3819,224.6439,247.27,312,31,10.68,False
6288,2024-10-29,222.68,224.3,221.43,223.27,,495484.0,40.143,226.5088,233.4871,229.3267,224.6539,247.26,313,32,10.74,False
6289,2024-10-30,222.92,225.03,221.72,223.79,,434615.0,41.441,226.2497,233.3211,229.3128,224.677,247.25,314,33,10.48,False
6290,2024-10-31,221.88,223.77,221.08,221.26,,417144.0,37.1976,225.774,233.0823,229.2939,224.6993,247.24,315,34,11.74,False
6291,2024-11-01,221.89,226.23,221.89,224.58,,487798.0,45.1302,225.6599,232.9146,229.3018,224.7303,247.23,316,35,10.09,False
6292,2024-11-04,224.72,228.76,223.28,225.21,,918612.0,46.5281,225.6175,232.7226,229.307,224.7598,247.22,317,36,9.77,False
6293,2024-11-05,224.29,227.8,222.26,226.83,,1262557.0,50.0005,225.733,232.5816,229.376,224.8041,247.21,318,37,8.98,False
6294,2024-11-06,234.1,234.36,225.02,226.91,,1404844.0,50.1726,225.8451,232.415,229.4732,224.8651,247.2,319,38,8.94,False
6295,2024-11-07,224.45,224.45,210.74,214.92,,1330245.0,32.2262,224.8048,231.9961,229.4721,224.8757,247.19,320,39,15.01,False
6296,2024-11-08,213.43,219.66,211.17,218.6,,1071783.0,39.3932,224.2141,231.6379,229.5041,224.8956,247.18,321,40,13.07,False
6297,2024-11-11,219.67,222.87,218.62,221.27,,663627.0,44.0072,223.9332,231.2656,229.5347,224.9318,247.17,322,41,11.71,False
6298,2024-11-12,222.45,224.32,221.09,222.13,,641993.0,45.4641,223.7618,230.8698,229.5859,224.9693,247.16,323,42,11.27,False
6299,2024-11-13,220.98,222.7,220.61,221.67,,521471.0,44.8004,223.5629,230.5194,229.648,224.9972,247.15,324,43,11.49,False
6300,2024-11-14,221.19,223.48,220.18,220.6,,549505.0,43.2055,223.2804,230.1632,229.7105,225.0159,247.14,325,44,12.03,False
6301,2024-11-15,220.41,221.31,218.75,219.53,,540421.0,41.6245,222.9232,229.7702,229.7558,225.0061,247.13,326,45,12.57,False
6302,2024-11-18,219.41,221.12,216.38,216.51,,599428.0,37.4457,222.3122,229.2035,229.7675,224.9883,247.12,327,46,14.14,False
6303,2024-11-19,213.95,215.0,211.87,212.0,,511364.0,32.2453,221.3301,228.5134,229.7032,224.9592,247.11,328,47,16.56,False
6304,2024-11-20,210.08,213.48,208.95,212.25,,761103.0,32.8026,220.4654,227.9302,229.6513,224.9017,247.1,329,48,16.42,False
6305,2024-11-21,212.24,216.17,210.79,215.77,,1041613.0,40.255,220.0182,227.3292,229.6366,224.8619,247.09,330,49,14.52,False
6306,2024-11-22,216.49,218.38,213.58,214.34,,502985.0,38.3922,219.4774,226.7325,229.6172,224.8428,247.08,331,50,15.27,False
6307,2024-11-25,215.91,218.09,214.79,216.12,,872562.0,41.9906,219.1576,226.1934,229.589,224.8127,247.07,332,51,14.32,False
6308,2024-11-26,216.07,216.44,213.31,216.06,,473140.0,41.9018,218.8626,225.694,229.5624,224.779,247.06,333,52,14.35,False
6309,2024-11-27,216.0,219.0,214.64,217.47,,406716.0,44.8546,218.73,225.2885,229.6128,224.7545,247.05,334,53,13.6,False
6310,2024-11-29,216.33,219.53,215.49,219.06,,342972.0,48.0603,218.7614,224.8934,229.6603,224.7226,247.04,335,54,12.77,False
6311,2024-12-02,219.06,220.28,218.19,218.86,,614590.0,47.6848,218.7708,224.5437,229.6815,224.6627,247.03,336,55,12.87,False
6312,2024-12-03,218.51,219.04,216.13,216.65,,627909.0,43.6284,218.5688,224.1019,229.642,224.6008,247.02,337,56,14.02,False
6313,2024-12-04,215.89,219.65,214.5,217.25,,552847.0,44.9964,218.4432,223.6949,229.6207,224.5517,247.01,338,57,13.7,False
6314,2024-12-05,216.6,218.4,215.5,217.43,,654760.0,45.4243,218.3467,223.328,229.5301,224.4857,247.0,339,58,13.6,False
6315,2024-12-06,217.43,219.3,214.34,215.89,,604774.0,42.3861,218.1128,222.9235,229.4134,224.3937,246.99,340,59,14.41,False
6316,2024-12-09,216.01,217.41,215.33,215.63,,434609.0,41.8769,217.8763,222.4679,229.3266,224.3012,246.98,341,60,14.54,False
6317,2024-12-10,215.41,215.41,209.6,214.22,,563435.0,39.1311,217.5281,221.9145,229.2373,224.2124,246.97,342,61,15.29,False
6318,2024-12-11,214.95,217.21,209.38,209.62,,498651.0,31.8045,216.7749,221.404,229.0573,224.1064,246.96,343,62,17.81,False
6319,2024-12-12,210.22,216.55,208.29,216.41,,690405.0,47.4461,216.7402,221.0501,228.9161,224.0402,246.95,344,63,14.11,False
