index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6321,2024-12-16,100.31,101.47,99.63,100.78,,2367723.0,67.98,98.2997,94.7164,88.9822,81.4583,101.47,3,0,0.68,False
6322,2024-12-17,100.23,100.84,98.44,98.7,,2200599.0,55.478,98.3378,94.941,89.1237,81.5916,101.32,4,1,2.65,False
6323,2024-12-18,98.66,99.27,94.69,94.74,,3705484.0,40.2872,97.9951,95.0644,89.2293,81.7085,101.18,5,2,6.8,False
6324,2024-12-19,95.7,96.76,95.21,95.42,,2130484.0,43.1651,97.7499,95.1956,89.3339,81.836,101.03,6,3,5.88,False
6325,2024-12-20,95.45,98.63,94.83,98.2,,6637107.0,53.1139,97.7928,95.3728,89.4736,81.9753,100.89,7,4,2.74,False
6326,2024-12-23,97.52,98.29,96.9,98.17,,1400491.0,53.0061,97.8287,95.5396,89.6263,82.1136,100.74,8,5,2.62,False
6327,2024-12-24,98.58,99.35,98.15,99.27,,658800.0,56.4938,97.966,95.7064,89.8169,82.2526,100.6,9,6,1.34,False
6328,2024-12-26,98.96,99.75,98.41,99.56,,1015813.0,57.3916,98.1178,95.8612,90.0481,82.3975,100.45,10,7,0.89,False
6329,2024-12-27,98.92,99.84,98.22,98.58,,1127177.0,53.3825,98.1618,95.9752,90.2693,82.5358,100.31,11,8,1.75,False
6330,2024-12-30,97.4,98.61,96.88,98.28,,1170634.0,52.1808,98.173,96.0898,90.494,82.6774,100.16,12,9,1.91,False
