index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6266,2024-09-27,108.02,109.87,107.73,108.72,,974287.0,70.6698,102.6438,97.4517,90.4542,90.1011,109.87,852,0,1.06,False
6267,2024-09-30,108.15,109.5,107.06,109.13,,1035807.0,71.3156,103.2615,97.9252,90.6958,90.2001,109.79,853,1,0.6,False
6268,2024-10-01,109.32,109.62,107.27,108.37,,1008890.0,68.2752,103.7477,98.3676,90.9436,90.2763,109.71,854,2,1.24,False
6269,2024-10-02,106.79,108.75,106.42,108.26,,1049700.0,67.8303,104.1772,98.8012,91.168,90.328,109.64,855,3,1.27,False
6270,2024-10-03,107.39,107.53,105.71,106.3,,928458.0,60.2233,104.379,99.2289,91.3565,90.3837,109.56,856,4,3.07,False
6271,2024-10-04,108.3,108.3,105.47,106.4,,756006.0,60.4885,104.5719,99.5963,91.5426,90.4465,109.48,857,5,2.89,False
6272,2024-10-07,105.24,106.01,104.71,105.34,,686846.0,56.5408,104.6455,99.8273,91.7025,90.5048,109.41,858,6,3.86,False
6273,2024-10-08,104.94,106.36,104.32,105.57,,802362.0,57.1876,104.7337,100.0432,91.8687,90.5688,109.33,859,7,3.56,False
6274,2024-10-09,105.75,106.26,105.18,105.64,,698788.0,57.3954,104.8202,100.0714,92.0511,90.6295,109.25,860,8,3.42,False
6275,2024-10-10,105.33,106.12,104.6,105.88,,734364.0,58.1456,104.9211,100.1128,92.2327,90.6854,109.17,861,9,3.11,False
6276,2024-10-11,105.43,107.08,105.04,106.98,,732254.0,61.5203,105.1171,100.2572,92.4308,90.7436,109.1,862,10,1.98,False
6277,2024-10-14,106.51,108.07,105.43,107.86,,737706.0,64.0249,105.3784,100.4757,92.6512,90.8067,109.02,863,11,1.08,False
6278,2024-10-15,108.44,108.91,105.91,106.1,,1421280.0,56.1527,105.4469,100.7163,92.8637,90.8591,108.94,864,12,2.68,False
6279,2024-10-16,106.88,107.49,105.15,105.39,,1488684.0,53.3357,105.4418,100.932,93.0806,90.9129,108.87,865,13,3.3,False
6280,2024-10-17,106.22,106.22,103.6,104.19,,1404796.0,48.8389,105.3231,101.1864,93.2842,90.9601,108.79,866,14,4.42,False
6281,2024-10-18,104.92,105.45,103.88,105.43,,1476177.0,53.2262,105.3336,101.4386,93.5119,91.0334,108.71,867,15,3.11,False
6282,2024-10-21,105.19,105.57,104.54,104.72,,1290206.0,50.5379,105.2752,101.6703,93.7518,91.102,108.64,868,16,3.74,False
6283,2024-10-22,104.05,104.34,102.51,103.88,,1635907.0,47.4885,105.1421,101.9198,93.9598,91.1606,108.56,869,17,4.51,False
6284,2024-10-23,103.42,104.06,101.35,102.35,,1412329.0,42.4867,104.8763,102.0626,94.1349,91.2004,108.48,870,18,5.99,False
6285,2024-10-24,102.56,102.93,101.5,101.96,,964577.0,41.2707,104.5981,102.2265,94.3077,91.2397,108.41,871,19,6.33,False
6286,2024-10-25,102.09,102.6,100.89,101.05,,933381.0,38.5666,104.2606,102.3449,94.5023,91.2714,108.33,872,20,7.2,False
6287,2024-10-28,102.45,103.4,101.73,101.99,,1621943.0,42.7402,104.0439,102.4716,94.6924,91.3139,108.25,873,21,6.14,False
6288,2024-10-29,93.89,94.25,88.45,93.04,,6716564.0,25.0994,102.9956,102.4187,94.8022,91.3184,108.18,874,22,16.27,False
6289,2024-10-30,92.56,95.13,92.36,93.02,,2509203.0,25.0747,102.0453,102.3731,94.9219,91.3286,108.1,875,23,16.21,False
6290,2024-10-31,92.76,93.18,91.92,92.1,,2114102.0,23.8978,101.0977,102.2759,95.0367,91.3412,108.02,876,24,17.29,False
6291,2024-11-01,92.55,93.66,92.3,92.53,,1016043.0,25.6753,100.2819,102.1958,95.1395,91.3481,107.95,877,25,16.66,False
6292,2024-11-04,92.66,94.93,92.62,93.56,,1314000.0,29.8464,99.6419,102.0935,95.2202,91.3581,107.87,878,26,15.29,False
6293,2024-11-05,92.96,95.87,92.72,95.82,,1332341.0,38.0539,99.2781,102.0275,95.3343,91.3735,107.8,879,27,12.5,False
6294,2024-11-06,92.65,94.54,89.16,91.19,,5744126.0,30.2479,98.5082,101.8898,95.425,91.3745,107.72,880,28,18.13,False
6295,2024-11-07,91.87,93.09,90.68,91.05,,2819828.0,30.0348,97.7974,101.7415,95.5064,91.3817,107.64,881,29,18.22,False
6296,2024-11-08,91.86,92.07,89.1,89.35,,1944116.0,27.6437,96.993,101.5254,95.573,91.3699,107.57,882,30,20.39,False
6297,2024-11-11,90.48,90.48,88.96,89.38,,1412169.0,27.7524,96.268,101.301,95.6406,91.36,107.49,883,31,20.26,False
6298,2024-11-12,89.68,89.68,86.62,86.69,,1941370.0,24.2032,95.3554,101.054,95.6785,91.3282,107.42,884,32,23.91,False
6299,2024-11-13,87.49,87.49,84.94,85.36,,2170419.0,22.6653,94.4032,100.7817,95.6992,91.2953,107.34,885,33,25.75,False
6300,2024-11-14,85.49,86.13,84.35,85.04,,1659931.0,22.3009,93.5115,100.5332,95.745,91.2704,107.26,886,34,26.13,False
