index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6147,2024-04-09,67.56,67.56,65.33,65.75,,2344088.0,58.791,65.1242,62.5906,61.1738,60.937,67.56,1881,0,2.75,False
6148,2024-04-10,65.19,66.23,65.04,65.88,,1792509.0,59.6074,65.196,62.6788,61.2571,60.9497,67.55,1882,1,2.53,False
6149,2024-04-11,66.14,66.55,65.5,66.22,,1439624.0,61.8017,65.2935,62.7838,61.3441,60.9665,67.54,1883,2,1.99,False
6150,2024-04-12,65.96,66.08,64.54,64.78,,1338029.0,49.6117,65.2451,62.8812,61.4237,60.9755,67.53,1884,3,4.25,False
6151,2024-04-15,65.3,65.3,63.17,63.25,,1926964.0,40.4377,65.0552,62.9222,61.4842,60.9775,67.52,1885,4,6.75,False
6152,2024-04-16,63.11,63.28,61.69,61.78,,2190414.0,33.9377,64.7429,62.9539,61.5336,60.9724,67.5,1886,5,9.26,False
6153,2024-04-17,62.15,62.84,61.87,62.05,,1817094.0,35.9923,64.4865,63.0065,61.5799,60.9676,67.49,1887,6,8.77,False
6154,2024-04-18,62.43,62.82,61.99,62.38,,1507560.0,38.4938,64.2861,63.0654,61.6257,60.9607,67.48,1888,7,8.18,False
6155,2024-04-19,62.51,63.22,62.22,62.72,,1353692.0,41.0479,64.1373,63.1615,61.6751,60.9554,67.47,1889,8,7.57,False
6156,2024-04-22,62.93,63.71,62.53,63.01,,1659474.0,43.1542,64.0297,63.2529,61.7248,60.9542,67.46,1890,9,7.06,False
6157,2024-04-23,62.43,63.3,62.15,62.68,,2034247.0,41.2915,63.9006,63.3383,61.7709,60.9521,67.45,1891,10,7.61,False
6158,2024-04-24,60.97,62.68,60.25,62.21,,2444491.0,38.7485,63.7393,63.3778,61.814,60.9495,67.44,1892,11,8.41,False
6159,2024-04-25,61.92,62.39,60.86,61.35,,1791628.0,34.5478,63.5115,63.4161,61.8307,60.9479,67.43,1893,12,9.91,False
6160,2024-04-26,61.58,61.79,61.04,61.07,,1404619.0,33.3104,63.2793,63.446,61.8409,60.9374,67.41,1894,13,10.38,False
6161,2024-04-29,61.27,62.68,61.26,62.07,,2557423.0,41.5266,63.1641,63.4836,61.8577,60.9286,67.4,1895,14,8.59,False
6162,2024-04-30,61.03,61.46,55.92,55.92,,5970603.0,22.8233,62.4739,63.3966,61.8153,60.8862,67.39,1896,15,20.51,False
6163,2024-05-01,55.52,57.19,55.43,55.74,,2840668.0,22.5113,61.8327,63.295,61.7724,60.8395,67.38,1897,16,20.88,False
6164,2024-05-02,55.8,57.41,55.78,56.44,,2792819.0,26.8202,61.3196,63.2123,61.7344,60.7968,67.37,1898,17,19.37,False
6165,2024-05-03,56.6,57.33,56.37,56.49,,2054717.0,27.1233,60.86,63.1269,61.6951,60.7482,67.36,1899,18,19.24,False
6166,2024-05-06,56.8,56.92,55.67,55.93,,2342322.0,25.7891,60.3902,63.0335,61.6447,60.6926,67.35,1900,19,20.42,False
6167,2024-05-07,56.32,57.06,56.12,56.9,,2855229.0,31.9999,60.0581,62.9548,61.5984,60.6423,67.34,1901,20,18.35,False
6168,2024-05-08,57.08,57.59,56.6,56.85,,1815993.0,31.8278,59.7521,62.8745,61.5439,60.5923,67.33,1902,21,18.43,False
6169,2024-05-09,56.91,57.49,56.9,57.43,,1457808.0,35.5604,59.5311,62.8034,61.5069,60.5412,67.31,1903,22,17.2,False
6170,2024-05-10,57.44,58.03,57.38,57.67,,1615376.0,37.0453,59.3534,62.7376,61.4842,60.4922,67.3,1904,23,16.7,False
6171,2024-05-13,57.7,57.99,57.33,57.38,,1872349.0,35.9668,59.1657,62.6718,61.4575,60.4477,67.29,1905,24,17.27,False
6172,2024-05-14,57.44,57.57,56.45,56.78,,2258663.0,33.7075,58.9381,62.5898,61.4208,60.394,67.28,1906,25,18.49,False
6173,2024-05-15,56.96,57.02,55.52,55.59,,2105280.0,29.7477,58.6188,62.4708,61.3826,60.338,67.27,1907,26,21.01,False
6174,2024-05-16,55.61,56.29,55.55,56.1,,2117889.0,33.4077,58.3792,62.3669,61.3518,60.3002,67.26,1908,27,19.89,False
6175,2024-05-17,56.23,56.23,54.99,55.15,,1484790.0,30.2677,58.0713,62.2194,61.3082,60.2537,67.25,1909,28,21.94,False
6176,2024-05-20,55.47,55.47,53.72,53.92,,2108489.0,26.7822,57.6755,62.0368,61.2543,60.2116,67.24,1910,29,24.7,False
6177,2024-05-21,54.0,54.24,53.65,53.87,,1304283.0,26.6511,57.3127,61.8261,61.2003,60.1684,67.23,1911,30,24.8,False
6178,2024-05-22,53.65,54.02,53.18,53.2,,1276837.0,24.8675,56.9213,61.6095,61.1383,60.1233,67.21,1912,31,26.33,False
6179,2024-05-23,53.05,53.34,52.29,52.46,,1492142.0,23.0138,56.4964,61.3656,61.0694,60.0752,67.2,1913,32,28.1,False
6180,2024-05-24,52.78,52.99,52.11,52.25,,1363433.0,22.4911,56.0916,61.1228,60.9899,60.0273,67.19,1914,33,28.59,False
6181,2024-05-28,51.9,52.85,51.69,51.72,,2627248.0,21.2173,55.6751,60.8394,60.9055,59.978,67.18,1915,34,29.89,False
6182,2024-05-29,51.42,52.7,51.37,51.78,,2817767.0,21.7476,55.3038,60.5576,60.8287,59.9296,67.17,1916,35,29.72,False
6183,2024-05-30,51.87,52.17,51.64,51.97,,2395156.0,23.5938,54.9865,60.2689,60.752,59.8809,67.16,1917,36,29.23,False
6184,2024-05-31,52.17,53.79,51.74,53.52,,3823835.0,36.4335,54.8473,60.0339,60.6831,59.8439,67.15,1918,37,25.47,False
6185,2024-06-03,53.31,53.61,51.86,52.2,,3096435.0,31.5498,54.5949,59.7679,60.5961,59.806,67.14,1919,38,28.62,False
6186,2024-06-04,52.04,52.09,51.63,51.71,,2137192.0,29.9598,54.32,59.4904,60.4968,59.767,67.13,1920,39,29.82,False
6187,2024-06-05,51.76,51.76,51.05,51.27,,3294611.0,28.5645,54.0294,59.1941,60.3918,59.7218,67.11,1921,40,30.9,False
6188,2024-06-06,51.1,51.92,50.99,51.62,,4052123.0,31.3202,53.8,58.9199,60.2951,59.6794,67.1,1922,41,29.99,False
6189,2024-06-07,51.42,52.14,51.11,51.15,,2100688.0,29.6764,53.5478,58.6277,60.194,59.6363,67.09,1923,42,31.16,False
6190,2024-06-10,51.04,51.49,50.82,51.11,,2216116.0,29.5361,53.3158,58.3365,60.0917,59.5912,67.08,1924,43,31.25,False
6191,2024-06-11,50.81,50.9,49.94,50.19,,3183123.0,26.3799,53.0178,58.0252,59.9843,59.5429,67.07,1925,44,33.63,False
6192,2024-06-12,50.61,50.77,50.11,50.21,,3695871.0,26.5598,52.7501,57.6975,59.8803,59.4931,67.06,1926,45,33.56,False
6193,2024-06-13,50.08,50.15,49.04,49.54,,1881239.0,24.3795,52.444,57.3574,59.7674,59.4399,67.05,1927,46,35.35,False
6194,2024-06-14,49.19,49.49,48.44,48.78,,2881495.0,22.161,52.0949,57.0169,59.6486,59.3809,67.04,1928,47,37.43,False
6195,2024-06-17,48.71,49.47,48.63,49.44,,2217352.0,28.2768,51.8419,56.6903,59.5504,59.3262,67.03,1929,48,35.58,False
6196,2024-06-18,49.23,49.63,49.06,49.51,,2347712.0,28.9053,51.6195,56.3791,59.4357,59.268,67.01,1930,49,35.35,False
