index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4385,2024-11-13,156.23,156.23,153.09,154.08,,1426460.0,60.1116,150.7286,147.6469,148.5664,145.7542,156.23,79,0,1.4,False
4386,2024-11-14,153.27,154.33,152.05,152.6,,1151624.0,55.9637,150.9067,147.77,148.6102,145.8181,156.2,80,1,2.36,False
4387,2024-11-15,151.43,151.47,147.45,147.72,,1722590.0,44.9732,150.6031,147.8689,148.6215,145.8574,156.17,81,2,5.72,False
4388,2024-11-18,147.61,148.37,146.77,147.73,,1297051.0,44.9969,150.3294,147.9394,148.6242,145.894,156.14,82,3,5.69,False
4389,2024-11-19,145.97,147.43,145.03,146.33,,1813534.0,42.2303,149.9481,147.9982,148.5959,145.9335,156.11,83,4,6.68,False
4390,2024-11-20,147.11,147.37,144.77,147.19,,1012986.0,44.4979,149.6856,148.0695,148.5957,145.9736,156.08,84,5,6.04,False
4391,2024-11-21,147.37,150.34,146.7,149.88,,1088385.0,50.9345,149.7041,148.1969,148.6078,146.0249,156.05,85,6,4.12,False
4392,2024-11-22,148.92,153.92,148.92,152.26,,1715477.0,55.8189,149.9475,148.3377,148.6552,146.0827,156.02,86,7,2.47,False
4393,2024-11-25,153.37,155.59,152.65,152.73,,2611930.0,56.7349,150.2125,148.4871,148.7008,146.1382,155.99,87,8,2.13,False
4394,2024-11-26,152.81,153.14,149.6,149.86,,1285592.0,49.9276,150.1789,148.5413,148.7056,146.1831,155.96,88,9,4.07,False
4395,2024-11-27,151.53,151.53,149.72,151.15,,1099606.0,52.6761,150.2714,148.6583,148.7321,146.2469,155.93,89,10,3.16,False
4396,2024-11-29,150.93,152.0,150.47,151.12,,684983.0,52.6038,150.3522,148.7058,148.7212,146.3005,155.9,90,11,3.16,False
4397,2024-12-02,152.75,155.62,152.0,154.33,,1396623.0,59.0774,150.7311,148.8428,148.73,146.3654,155.87,91,12,1.0,False
4398,2024-12-03,153.16,154.66,151.6,151.84,,1384103.0,53.027,150.8367,148.9224,148.7035,146.4217,155.84,92,13,2.63,False
4399,2024-12-04,152.25,153.5,151.29,153.2,,911461.0,55.6959,151.0618,149.0235,148.6869,146.4955,155.81,93,14,1.7,False
4400,2024-12-05,154.1,154.67,152.34,152.43,,964146.0,53.8311,151.1921,149.1689,148.6281,146.563,155.78,94,15,2.2,False
4401,2024-12-06,152.46,154.43,152.01,152.4,,1465061.0,53.7555,151.3071,149.238,148.5949,146.616,155.75,95,16,2.2,False
4402,2024-12-09,153.52,154.69,151.28,151.5,,1901096.0,51.4247,151.3255,149.2564,148.5582,146.667,155.72,96,17,2.79,False
4403,2024-12-10,152.23,153.55,149.87,150.25,,1657767.0,48.2927,151.2231,149.2545,148.5666,146.7134,155.69,97,18,3.62,False
4404,2024-12-11,151.1,152.23,149.79,149.83,,1166026.0,47.2514,151.0904,149.3144,148.5484,146.7536,155.66,98,19,3.89,False
4405,2024-12-12,149.01,151.53,148.87,151.32,,1605062.0,51.2661,151.1123,149.4213,148.5604,146.8038,155.63,99,20,2.85,False
4406,2024-12-13,150.51,151.99,149.21,150.09,,1045879.0,48.0171,151.0149,149.5418,148.5061,146.8456,155.6,100,21,3.67,False
4407,2024-12-16,149.35,151.04,148.66,149.95,,1751472.0,47.647,150.9135,149.6442,148.4733,146.8858,155.57,101,22,3.75,False
4408,2024-12-17,149.62,150.38,147.06,147.95,,2430747.0,42.5956,150.6312,149.7238,148.4022,146.9193,155.54,102,23,5.13,False
4409,2024-12-18,148.81,150.28,144.66,144.78,,2528084.0,36.0685,150.074,149.7121,148.3055,146.951,155.51,103,24,7.41,False
4410,2024-12-19,148.27,149.35,143.51,143.89,,2965627.0,34.4714,149.485,149.6538,148.2278,146.9724,155.48,104,25,8.05,False
4411,2024-12-20,142.66,145.67,142.23,143.67,,4368068.0,34.0698,148.9312,149.6118,148.1343,146.9875,155.45,105,26,8.2,False
4412,2024-12-23,142.51,144.48,142.51,144.11,,1209630.0,35.6836,148.4721,149.5564,148.085,147.0144,155.42,106,27,7.85,False
4413,2024-12-24,144.34,145.86,143.39,145.5,,412253.0,40.628,148.189,149.5128,148.0983,147.0457,155.39,107,28,6.8,False
4414,2024-12-26,145.02,146.61,144.64,146.3,,523858.0,43.3283,148.0091,149.5254,148.1391,147.0834,155.36,108,29,6.19,False
4415,2024-12-27,145.23,146.75,144.28,144.98,,692824.0,40.0885,147.7206,149.5407,148.1717,147.1104,155.33,109,30,7.14,False
4416,2024-12-30,143.39,143.69,141.52,142.87,,852869.0,35.5168,147.2586,149.4533,148.1927,147.1364,155.3,110,31,8.7,False
