index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6307,2024-11-25,48.36,49.05,48.07,48.1,,9813615.0,69.2829,45.7193,43.4247,42.5898,39.3723,49.05,718,0,1.98,False
6308,2024-11-26,48.16,48.29,47.68,47.7,,7296715.0,65.795,45.9079,43.5506,42.6933,39.4373,49.04,719,1,2.81,False
6309,2024-11-27,48.05,48.31,47.73,47.75,,6619988.0,66.0253,46.0834,43.6747,42.7909,39.5077,49.02,720,2,2.66,False
6310,2024-11-29,48.01,48.11,47.54,47.68,,4588412.0,65.3619,46.2354,43.7795,42.8843,39.5755,49.01,721,3,2.79,False
6311,2024-12-02,47.9,47.97,46.83,46.98,,8346013.0,58.9806,46.3063,43.8823,42.9597,39.6353,49.0,722,4,4.3,False
6312,2024-12-03,46.89,47.06,46.2,46.43,,6863225.0,54.4799,46.3181,43.9767,43.0285,39.6935,48.99,723,5,5.51,False
6313,2024-12-04,46.57,46.65,45.96,46.22,,5702132.0,52.8225,46.3088,44.0711,43.0865,39.7533,48.97,724,6,5.95,False
6314,2024-12-05,46.46,47.44,46.27,47.17,,6923630.0,58.9122,46.3908,44.1893,43.1438,39.8168,48.96,725,7,3.79,False
6315,2024-12-06,47.22,47.62,46.78,47.26,,4849170.0,59.4462,46.4736,44.2976,43.1955,39.8814,48.95,726,8,3.58,False
6316,2024-12-09,47.2,47.49,46.78,46.8,,7355925.0,55.4771,46.5047,44.3928,43.2491,39.9456,48.94,727,9,4.57,False
6317,2024-12-10,46.84,47.76,46.41,46.46,,10123668.0,52.6775,46.5004,44.4764,43.2996,40.0116,48.92,728,10,5.29,False
6318,2024-12-11,46.8,46.84,45.66,45.66,,10208894.0,46.7051,46.4204,44.5647,43.3288,40.0718,48.91,729,11,7.12,False
6319,2024-12-12,45.71,45.85,45.09,45.72,,8251471.0,47.1887,46.3537,44.6531,43.3549,40.1327,48.9,730,12,6.96,False
6320,2024-12-13,45.79,45.94,45.42,45.78,,8230892.0,47.6998,46.299,44.7484,43.3869,40.1931,48.89,731,13,6.79,False
6321,2024-12-16,45.84,45.89,45.15,45.29,,11068405.0,43.9584,46.2029,44.816,43.409,40.2496,48.87,732,14,7.9,False
6322,2024-12-17,44.94,45.48,44.66,45.13,,7813891.0,42.7784,46.1008,44.8882,43.4266,40.301,48.86,733,15,8.27,False
6323,2024-12-18,45.24,45.44,43.07,43.11,,8981443.0,31.3407,45.8159,44.9173,43.4235,40.338,48.85,734,16,13.31,False
6324,2024-12-19,43.6,43.86,42.39,42.55,,7541795.0,29.0239,45.5049,44.9254,43.4102,40.3711,48.84,735,17,14.78,False
6325,2024-12-20,42.31,43.68,42.28,43.32,,14850116.0,36.0266,45.2968,44.9517,43.4071,40.4099,48.82,736,18,12.7,False
6326,2024-12-23,43.0,43.56,42.91,43.54,,5013668.0,37.9115,45.1295,44.9671,43.4192,40.4472,48.81,737,19,12.1,False
6327,2024-12-24,43.54,43.99,43.38,43.99,,1742152.0,41.6956,45.021,44.985,43.4478,40.4878,48.8,738,20,10.93,False
6328,2024-12-26,43.67,44.07,43.54,44.0,,2877053.0,41.7805,44.9237,44.9968,43.4858,40.5298,48.79,739,21,10.89,False
6329,2024-12-27,43.69,44.3,43.46,43.67,,3307195.0,39.7244,44.8043,44.9898,43.5158,40.5726,48.77,740,22,11.68,False
6330,2024-12-30,43.31,43.64,42.89,43.37,,3429386.0,37.8985,44.6677,45.0079,43.5482,40.6207,48.76,741,23,12.43,False
