index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
4436,2024-12-02,246.94,247.82,243.51,244.82,,3263927.0,68.9564,236.5593,223.2038,207.0006,186.3249,247.82,2,0,1.23,False
4437,2024-12-03,244.97,246.15,243.69,244.85,,2669094.0,68.9879,237.3489,224.066,207.6659,186.7587,247.66,3,1,1.15,False
4438,2024-12-04,244.46,245.0,242.17,243.08,,2683259.0,64.8136,237.8947,224.9131,208.2916,187.1755,247.49,4,2,1.81,False
4439,2024-12-05,243.0,245.05,242.03,243.94,,2676363.0,65.8934,238.4705,225.7402,208.9136,187.5868,247.33,5,3,1.39,False
4440,2024-12-06,244.15,245.56,243.57,243.78,,2177435.0,65.4907,238.9762,226.5653,209.5283,187.9997,247.16,6,4,1.39,False
4441,2024-12-09,242.99,243.84,228.09,228.86,,6267381.0,40.584,238.0127,227.0535,210.0065,188.3342,247.0,7,5,7.93,False
4442,2024-12-10,234.84,235.62,230.61,233.5,,5352849.0,47.2968,237.5829,227.611,210.5333,188.6939,246.83,8,6,5.71,False
4443,2024-12-11,233.19,236.82,233.03,234.34,,3439428.0,48.4327,237.2741,228.1905,211.1144,189.0544,246.67,9,7,5.26,False
4444,2024-12-12,231.13,233.94,230.02,233.27,,4067645.0,47.0419,236.8927,228.7091,211.6936,189.4135,246.5,10,8,5.67,False
4445,2024-12-13,232.8,232.8,230.73,231.94,,2895594.0,45.3006,236.421,229.2021,212.2561,189.7653,246.34,11,9,6.21,False
4446,2024-12-16,233.09,233.33,228.37,229.47,,4489719.0,42.178,235.759,229.6408,212.8113,190.1044,246.18,12,10,7.28,False
4447,2024-12-17,229.32,229.7,218.92,220.71,,7729824.0,33.388,234.3258,229.9032,213.2751,190.3998,246.01,13,11,11.46,False
4448,2024-12-18,219.4,223.2,219.32,220.69,,5197113.0,33.3709,233.0272,230.1086,213.7253,190.6824,245.85,14,12,11.4,False
4449,2024-12-19,220.06,221.75,217.79,218.0,,4958768.0,31.0663,231.596,230.2419,214.1637,190.9441,245.69,15,13,12.7,False
4450,2024-12-20,218.0,221.47,217.99,220.31,,9116076.0,35.2045,230.5211,230.4342,214.5564,191.2323,245.52,16,14,11.44,False
4451,2024-12-23,219.89,222.41,217.89,221.66,,3081821.0,37.5635,229.6772,230.6218,214.915,191.5293,245.36,17,15,10.69,False
4452,2024-12-24,221.8,223.7,221.19,223.01,,1411842.0,39.9191,229.0422,230.7792,215.2704,191.8292,245.2,18,16,9.95,False
4453,2024-12-26,221.0,224.67,220.53,223.68,,1902977.0,41.1066,228.5316,230.9276,215.6512,192.1377,245.03,19,17,9.54,False
4454,2024-12-27,222.1,224.06,221.26,223.02,,2150128.0,40.2624,228.0066,231.0085,215.9957,192.441,244.87,20,18,9.8,False
4455,2024-12-30,222.77,223.02,219.22,220.66,,2147628.0,37.3115,227.307,230.9985,216.3094,192.7385,244.71,21,19,10.9,False
