index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6310,2024-11-29,1674.1,1690.71,1591.31,1598.39,,136798.0,68.8064,1435.8324,1177.2004,998.5011,798.3495,1690.71,3,0,5.78,False
6311,2024-12-02,1603.71,1610.96,1479.0,1500.35,,230278.0,58.994,1441.9769,1188.5018,1005.6731,803.422,1665.94,4,1,11.04,False
6312,2024-12-03,1513.96,1574.11,1513.96,1569.93,,209754.0,63.0244,1454.163,1200.878,1013.3798,808.8029,1641.53,5,2,4.56,False
6313,2024-12-04,1565.0,1565.0,1337.47,1387.92,,322575.0,49.358,1447.8541,1209.8445,1019.0519,813.3076,1617.48,6,3,16.54,False
6314,2024-12-05,1400.84,1409.38,1326.41,1346.64,,213672.0,46.8753,1438.2147,1218.2425,1024.2982,817.5547,1593.78,7,4,18.35,False
6315,2024-12-06,1343.05,1343.05,1270.26,1338.44,,185831.0,46.3763,1428.7123,1227.5519,1029.5178,821.6938,1570.42,8,5,17.33,False
6316,2024-12-09,1351.64,1374.3,1318.73,1327.04,,171488.0,45.6487,1419.0292,1236.37,1034.639,825.7792,1547.41,9,6,16.61,False
6317,2024-12-10,1330.0,1336.7,1293.42,1296.09,,157204.0,43.6467,1407.3207,1244.6158,1039.4754,829.7118,1524.74,10,7,17.64,False
6318,2024-12-11,1318.24,1318.24,1195.4,1207.0,,267009.0,38.4229,1388.2426,1250.4885,1043.4917,833.155,1502.4,11,8,24.47,False
6319,2024-12-12,1200.0,1221.88,1142.21,1196.86,,257167.0,37.8674,1370.0157,1255.8453,1047.4808,836.6207,1480.39,12,9,23.69,False
6320,2024-12-13,1203.53,1214.54,1172.84,1198.97,,125654.0,38.068,1353.7256,1260.4362,1051.5556,840.0371,1458.7,13,10,21.66,False
6321,2024-12-16,1200.9,1239.0,1175.0,1215.94,,205740.0,39.7532,1340.6032,1265.1485,1055.6596,843.5542,1437.32,14,11,18.21,False
6322,2024-12-17,1200.81,1206.21,1177.42,1203.66,,204590.0,38.9278,1327.561,1269.5313,1059.5281,847.0549,1416.26,15,12,17.66,False
6323,2024-12-18,1215.58,1220.61,1109.58,1114.46,,166663.0,33.4882,1307.2656,1272.424,1062.5238,850.1465,1395.51,16,13,25.22,False
6324,2024-12-19,1138.0,1149.0,1091.75,1096.33,,179579.0,32.4944,1287.1765,1274.7685,1065.2444,853.1969,1375.06,17,14,25.42,False
6325,2024-12-20,1088.75,1135.84,1088.75,1133.12,,553796.0,36.6059,1272.5045,1277.4082,1068.1477,856.4049,1354.92,18,15,19.57,False
6326,2024-12-23,1140.28,1154.71,1103.14,1139.45,,94721.0,37.3133,1259.8326,1279.0514,1071.3327,859.6018,1335.06,19,16,17.17,False
6327,2024-12-24,1147.73,1169.63,1134.0,1161.2,,57111.0,39.7993,1250.439,1280.9743,1075.1363,862.866,1315.5,20,17,13.29,False
6328,2024-12-26,1159.42,1169.5,1147.22,1167.01,,69567.0,40.4783,1242.4934,1283.6032,1079.2648,866.1225,1296.23,21,18,11.07,False
6329,2024-12-27,1165.0,1169.0,1137.62,1145.12,,88235.0,38.7068,1233.2198,1285.5687,1083.0061,869.2189,1277.23,22,19,11.54,False
6330,2024-12-30,1142.41,1154.48,1101.3,1107.43,,276129.0,35.8016,1221.2398,1286.4196,1086.3698,872.0673,1258.52,23,20,13.64,False
