index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
3515,2024-11-25,208.94,209.01,199.74,201.06,,3926880.0,70.2375,190.6714,169.9131,154.1228,132.7055,209.01,1,0,3.95,False
3516,2024-11-26,201.69,203.49,200.81,203.41,,1733799.0,71.9858,191.8846,170.9545,154.8446,133.2872,208.15,2,1,2.33,False
3517,2024-11-27,203.91,204.54,201.22,201.39,,1506355.0,68.2733,192.7899,171.9521,155.5476,133.8591,207.3,3,2,2.93,False
3518,2024-11-29,203.26,205.47,202.01,204.3,,826795.0,70.6237,193.8861,173.0075,156.2749,134.4461,206.45,4,3,1.05,False
3519,2024-12-02,204.46,204.65,193.12,194.54,,2137585.0,55.7152,193.9483,173.8553,156.8976,134.9601,205.61,5,4,5.69,False
3520,2024-12-03,195.54,198.25,194.61,197.13,,1474785.0,58.2348,194.2514,174.7013,157.5318,135.4689,204.76,6,5,3.87,False
3521,2024-12-04,196.65,197.91,193.29,195.45,,1490009.0,56.0088,194.3655,175.4951,158.1563,135.9722,203.92,7,6,4.33,False
3522,2024-12-05,195.82,199.45,195.38,198.33,,1263607.0,58.9086,194.7431,176.3646,158.8048,136.4844,203.09,8,7,2.4,False
3523,2024-12-06,197.61,197.98,192.5,194.34,,1497397.0,53.6338,194.7047,177.3383,159.4219,136.9723,202.26,9,8,4.08,False
3524,2024-12-09,195.04,195.76,186.41,186.93,,2305023.0,45.4878,193.9642,178.154,159.943,137.4297,201.43,10,9,7.76,False
3525,2024-12-10,187.85,189.04,184.74,185.34,,1489494.0,43.9454,193.1429,178.9138,160.4463,137.8765,200.6,11,10,8.23,False
3526,2024-12-11,187.3,187.3,183.76,186.28,,1707581.0,45.1299,192.4893,179.6413,160.9452,138.3304,199.78,12,11,7.25,False
3527,2024-12-12,186.79,187.46,184.96,185.57,,1222809.0,44.3673,191.8303,180.3016,161.4552,138.7792,198.96,13,12,7.22,False
3528,2024-12-13,185.87,187.31,183.97,184.62,,996896.0,43.3127,191.1436,180.8979,161.9983,139.219,198.15,14,13,7.33,False
3529,2024-12-16,184.55,185.13,181.83,183.4,,2537444.0,41.9341,190.4061,181.4196,162.5256,139.6474,197.33,15,14,7.6,False
3530,2024-12-17,181.28,181.84,177.85,181.22,,2433624.0,39.5139,189.5313,181.8966,163.0352,140.0568,196.52,16,15,8.44,False
3531,2024-12-18,180.74,181.28,171.7,171.94,,3150446.0,31.2466,187.8559,182.1837,163.4378,140.4122,195.72,17,16,13.83,False
3532,2024-12-19,174.41,176.94,171.19,172.53,,3305905.0,32.2176,186.3963,182.3809,163.835,140.7619,194.92,18,17,12.98,False
3533,2024-12-20,171.68,176.8,171.53,176.79,,5128696.0,38.9247,185.4814,182.6809,164.2562,141.1307,194.12,19,18,9.8,False
3534,2024-12-23,176.33,178.58,173.53,178.37,,1577970.0,41.2468,184.8041,182.9479,164.685,141.5118,193.32,20,19,8.38,False
3535,2024-12-24,179.39,181.17,178.38,180.72,,675592.0,44.6194,184.4152,183.244,165.1922,141.9009,192.53,21,20,6.53,False
3536,2024-12-26,180.53,180.53,177.12,177.9,,982261.0,41.538,183.7947,183.5791,165.6983,142.2713,191.74,22,21,7.78,False
3537,2024-12-27,177.39,178.3,175.92,177.36,,1017183.0,40.9547,183.1818,183.8882,166.1616,142.6346,190.96,23,22,7.67,False
3538,2024-12-30,177.06,178.82,175.28,177.76,,1063917.0,41.6088,182.6655,184.2195,166.6128,143.0038,190.17,24,23,6.98,False
