index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6315,2024-12-06,190.35,191.91,188.17,189.71,,1501211.0,73.6225,183.5007,168.7693,160.1509,155.3426,191.91,964,0,1.16,False
6316,2024-12-09,188.97,191.02,187.67,187.9,,1420552.0,67.3337,183.9197,169.4663,160.5269,155.527,191.89,965,1,2.12,False
6317,2024-12-10,186.71,188.24,184.71,185.36,,1154083.0,59.6353,184.0569,170.0993,160.8773,155.7053,191.86,966,2,3.51,False
6318,2024-12-11,188.88,191.26,186.05,190.46,,1489268.0,67.6364,184.6667,170.8989,161.2774,155.9179,191.84,967,3,0.72,False
6319,2024-12-12,189.33,190.54,188.27,189.64,,797079.0,65.392,185.1403,171.6643,161.6567,156.1287,191.82,968,4,1.15,False
6320,2024-12-13,188.3,188.65,184.7,185.48,,1327997.0,55.3563,185.1727,172.4207,161.9826,156.3214,191.8,969,5,3.41,False
6321,2024-12-16,185.91,188.78,185.31,187.18,,1847036.0,58.1808,185.3639,173.1305,162.3514,156.5056,191.77,970,6,2.45,False
6322,2024-12-17,186.64,187.32,185.85,185.93,,1373009.0,55.405,185.4178,173.8049,162.7033,156.7036,191.75,971,7,3.13,False
6323,2024-12-18,186.52,188.4,181.64,181.9,,2022781.0,47.5317,185.0828,174.3841,163.0153,156.8934,191.73,972,8,5.4,False
6324,2024-12-19,183.5,184.49,181.16,181.38,,1570330.0,46.6113,184.7301,174.9345,163.3291,157.0808,191.71,973,9,5.7,False
6325,2024-12-20,180.0,184.2,179.0,181.97,,3579465.0,47.8453,184.4672,175.5041,163.6435,157.2656,191.68,974,10,5.34,False
6326,2024-12-23,181.09,183.37,181.09,183.22,,1198573.0,50.458,184.3485,176.0668,164.0161,157.4631,191.66,975,11,4.61,False
6327,2024-12-24,184.0,185.82,183.63,185.39,,461104.0,54.7006,184.4477,176.666,164.4332,157.6607,191.64,976,12,3.37,False
6328,2024-12-26,184.75,187.56,184.71,187.16,,733783.0,57.8698,184.706,177.2882,164.9099,157.8738,191.62,977,13,2.38,False
6329,2024-12-27,187.43,188.36,184.7,186.43,,1010714.0,56.1258,184.8702,177.9186,165.3731,158.0815,191.59,978,14,2.77,False
6330,2024-12-30,184.19,185.93,182.0,184.54,,1281090.0,51.7752,184.8387,178.5136,165.8618,158.2854,191.57,979,15,3.81,False
