index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6147,2024-04-09,96.88,97.25,95.32,96.24,,910195.0,67.6997,94.3725,90.212,84.4338,79.5521,97.25,1,0,1.05,False
6148,2024-04-10,95.27,96.07,94.51,95.57,,1111893.0,62.4555,94.4867,90.4096,84.6191,79.7059,97.23,2,1,1.74,False
6149,2024-04-11,95.54,95.54,93.79,94.55,,1235910.0,55.4175,94.493,90.5823,84.7898,79.8529,97.21,3,2,2.81,False
6150,2024-04-12,94.05,95.02,93.61,93.89,,943397.0,51.3827,94.4359,90.7675,84.9618,79.9906,97.19,4,3,3.51,False
6151,2024-04-15,94.99,95.33,92.83,92.99,,1121603.0,46.4195,94.2986,90.9128,85.1186,80.1239,97.17,5,4,4.5,False
6152,2024-04-16,93.0,93.44,92.46,93.17,,1018812.0,47.5115,94.1915,91.0579,85.2715,80.2536,97.15,6,5,4.27,False
6153,2024-04-17,93.73,93.77,91.74,92.14,,927606.0,42.2102,93.9965,91.1969,85.4161,80.3767,97.13,7,6,5.42,False
6154,2024-04-18,92.26,93.45,92.19,92.51,,810302.0,44.6015,93.8554,91.327,85.562,80.4995,97.11,8,7,4.97,False
6155,2024-04-19,92.97,93.72,92.57,93.23,,1272187.0,49.022,93.7962,91.4391,85.7114,80.6304,97.09,9,8,4.14,False
6156,2024-04-22,93.51,94.32,92.97,93.7,,1028878.0,51.7298,93.7873,91.563,85.8772,80.7643,97.07,10,9,3.6,False
6157,2024-04-23,94.15,95.58,94.12,95.21,,1068536.0,59.2235,93.9231,91.7249,86.0635,80.9032,97.05,11,10,1.93,False
6158,2024-04-24,95.65,95.79,93.56,93.94,,1521959.0,51.9225,93.925,91.856,86.2556,81.0332,97.03,12,11,3.29,False
6159,2024-04-25,84.7,86.2,81.96,84.84,,5138137.0,26.595,93.0597,91.8343,86.3383,81.1126,97.01,13,12,14.34,False
6160,2024-04-26,84.45,87.14,84.26,86.45,,2678528.0,32.8309,92.4301,91.8385,86.4249,81.2029,96.99,14,13,12.19,False
6161,2024-04-29,86.08,86.82,85.46,86.34,,1675105.0,32.6269,91.85,91.8427,86.5165,81.2904,96.97,15,14,12.31,False
6162,2024-04-30,86.06,86.16,84.45,84.53,,1458793.0,29.3916,91.1528,91.8211,86.5989,81.3766,96.95,16,15,14.69,False
6163,2024-05-01,84.42,85.8,84.06,84.71,,979390.0,30.1336,90.5392,91.8252,86.6806,81.4634,96.93,17,16,14.43,False
