index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
1401,2024-12-03,73.06,73.25,71.25,71.27,,12760488.0,44.8115,72.3608,75.2948,72.4629,72.3042,73.25,36,0,2.78,False
1402,2024-12-04,71.4,72.4,70.65,72.16,,17263132.0,47.8971,72.3416,75.1892,72.4616,72.282,72.9,37,1,1.03,False
1403,2024-12-05,71.93,72.03,64.28,65.23,,77320417.0,32.6089,71.6643,74.951,72.3709,72.226,72.55,38,2,11.22,False
1404,2024-12-06,66.45,67.1,65.2,66.09,,36413161.0,35.366,71.1335,74.739,72.3456,72.1663,72.21,39,3,9.26,False
1405,2024-12-09,65.5,66.17,65.06,65.74,,27602901.0,34.743,70.6198,74.5388,72.3404,72.104,71.86,40,4,9.31,False
1406,2024-12-10,65.67,65.76,64.64,64.96,,23672866.0,33.3338,70.0808,74.3348,72.3169,72.037,71.52,41,5,10.1,False
1407,2024-12-11,64.5,64.69,60.23,61.18,,71089520.0,27.5101,69.2331,74.0736,72.2514,71.9491,71.18,42,6,16.35,False
1408,2024-12-12,63.16,63.54,61.25,61.41,,45673208.0,28.3306,68.488,73.8444,72.1903,71.8675,70.84,43,7,15.36,False
1409,2024-12-13,61.86,62.26,59.74,59.93,,47325346.0,26.2701,67.673,73.5842,72.1282,71.7697,70.5,44,8,17.64,False
1410,2024-12-16,60.31,61.3,60.12,60.25,,38612401.0,27.4979,66.966,73.3036,72.0733,71.6658,70.17,45,9,16.46,False
1411,2024-12-17,59.42,61.04,59.33,61.03,,35025487.0,30.5346,66.4007,73.0324,72.0396,71.5644,69.83,46,10,14.42,False
1412,2024-12-18,61.39,63.94,60.85,61.23,,46736705.0,31.3288,65.9082,72.7336,72.0143,71.4751,69.5,47,11,13.51,False
1413,2024-12-19,61.85,62.31,59.98,60.21,,27811409.0,29.4777,65.3655,72.3804,71.9855,71.383,69.17,48,12,14.88,False
1414,2024-12-20,60.09,61.39,59.75,60.73,,26377669.0,31.6935,64.9241,72.0366,71.9481,71.2896,68.84,49,13,13.35,False
1415,2024-12-23,60.88,62.22,60.76,61.87,,16093552.0,36.4105,64.6332,71.5472,71.9566,71.2054,68.51,50,14,10.73,False
1416,2024-12-24,61.97,61.98,60.88,61.71,,7882461.0,36.0344,64.3548,71.0826,71.9838,71.1266,68.18,51,15,10.48,False
1417,2024-12-26,61.6,61.97,61.16,61.56,,12683898.0,35.6625,64.0886,70.6498,72.0146,71.0428,67.86,52,16,10.23,False
1418,2024-12-27,61.19,61.26,60.02,61.13,,13483564.0,34.5612,63.8069,70.2344,71.9772,70.9572,67.53,53,17,10.47,False
1419,2024-12-30,60.51,61.37,60.12,60.77,,15648225.0,33.625,63.5176,69.8518,71.9295,70.8728,67.21,54,18,10.6,False
