index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
5654,2022-04-21,53.6,54.18,53.38,53.68,,1278183.0,60.7867,52.2445,51.0229,51.3989,49.7506,54.18,74,0,0.93,False
5655,2022-04-22,53.58,53.6,52.54,52.59,,1117029.0,53.2138,52.2778,51.0519,51.4124,49.7887,54.18,75,1,3.02,False
5656,2022-04-25,52.53,52.77,51.26,52.19,,1570616.0,50.6647,52.2691,51.107,51.4285,49.8195,54.17,76,2,3.79,False
5657,2022-04-26,52.09,52.41,51.3,51.3,,1684346.0,45.5476,52.1771,51.1416,51.455,49.8446,54.17,77,3,5.59,False
5658,2022-04-27,51.16,51.84,50.4,50.53,,2434993.0,41.579,52.0198,51.1723,51.4552,49.8674,54.17,78,4,7.2,False
5659,2022-04-28,50.57,51.04,49.92,50.72,,1252795.0,42.9485,51.8965,51.2043,51.4589,49.8894,54.16,79,5,6.78,False
5660,2022-04-29,50.33,50.63,47.83,48.04,,2958318.0,32.0319,51.5294,51.1771,51.4269,49.8959,54.16,80,6,12.74,False
5661,2022-05-02,48.3,48.58,45.67,46.73,,1768498.0,28.2558,51.0727,51.1388,51.3684,49.8938,54.16,81,7,15.9,False
5662,2022-05-03,46.97,47.33,46.44,46.8,,1616681.0,28.6928,50.6655,51.1016,51.3096,49.8944,54.15,82,8,15.71,False
5663,2022-05-04,46.78,47.06,45.47,47.0,,1100554.0,30.1973,50.3168,51.0624,51.2598,49.8896,54.15,83,9,15.21,False
5664,2022-05-05,46.89,47.14,45.33,45.7,,1578059.0,26.4136,49.8767,51.0102,51.1963,49.8774,54.14,84,10,18.47,False
5665,2022-05-06,45.31,45.53,44.56,45.19,,1599210.0,25.1052,49.4303,50.9394,51.119,49.8628,54.14,85,11,19.81,False
5666,2022-05-09,44.78,44.85,42.91,43.06,,1741469.0,20.4973,48.8235,50.7951,51.0273,49.8349,54.14,86,12,25.73,False
5667,2022-05-10,43.56,43.7,41.81,42.02,,2173838.0,18.6965,48.1756,50.651,50.9159,49.8011,54.13,87,13,28.82,False
5668,2022-05-11,42.21,43.51,42.04,42.83,,1939244.0,24.3017,47.6668,50.5333,50.821,49.7708,54.13,88,14,26.38,False
5669,2022-05-12,42.9,43.4,42.8,43.28,,2244547.0,27.3003,47.2495,50.398,50.7371,49.7434,54.13,89,15,25.07,False
5670,2022-05-13,43.7,44.1,43.04,44.04,,1283599.0,32.1622,46.9441,50.2691,50.6632,49.7175,54.12,90,16,22.89,False
5671,2022-05-16,44.13,44.39,43.47,43.54,,1635024.0,30.6887,46.6197,50.0983,50.5796,49.6917,54.12,91,17,24.3,False
5672,2022-05-17,44.04,44.04,43.24,43.84,,2412918.0,32.7046,46.3554,49.9418,50.4937,49.6674,54.12,92,18,23.45,False
5673,2022-05-18,43.78,44.03,41.94,42.2,,2260599.0,28.0086,45.9597,49.7707,50.3926,49.6343,54.11,93,19,28.22,False
5674,2022-05-19,41.88,42.26,41.53,41.79,,1526042.0,26.9551,45.5622,49.5789,50.2806,49.6003,54.11,94,20,29.48,False
5675,2022-05-20,42.15,42.3,41.51,42.06,,2081947.0,28.8351,45.2284,49.3919,50.1712,49.5659,54.11,95,21,28.65,False
5676,2022-05-23,42.48,43.21,41.83,43.15,,1829280.0,35.9908,45.0303,49.2387,50.0694,49.5387,54.1,96,22,25.38,False
5677,2022-05-24,43.11,43.23,42.1,43.16,,1644232.0,36.048,44.8521,49.0968,49.9671,49.5127,54.1,97,23,25.35,False
5678,2022-05-25,42.93,43.21,42.48,43.03,,1608549.0,35.5685,44.6787,48.9365,49.8626,49.4899,54.1,98,24,25.73,False
5679,2022-05-26,43.41,43.72,42.94,42.97,,1509213.0,35.3156,44.5158,48.7732,49.7583,49.4687,54.09,99,25,25.88,False
5680,2022-05-27,43.2,44.04,42.99,43.87,,2442412.0,41.6945,44.4545,48.6195,49.655,49.4524,54.09,100,26,23.3,False
5681,2022-05-31,43.43,43.56,42.82,43.16,,3582801.0,38.4671,44.331,48.456,49.5587,49.4313,54.09,101,27,25.32,False
5682,2022-06-01,43.24,43.51,42.44,43.27,,2393445.0,39.2365,44.2297,48.3028,49.4633,49.411,54.08,102,28,24.98,False
5683,2022-06-02,43.34,43.73,42.55,43.34,,2803883.0,39.7772,44.1448,48.1604,49.3745,49.393,54.08,103,29,24.78,False
5684,2022-06-03,43.12,43.52,42.79,43.16,,2398031.0,38.8466,44.0509,48.0231,49.2857,49.3758,54.07,104,30,25.28,False
5685,2022-06-06,43.41,43.41,41.84,41.9,,1687943.0,33.0583,43.8463,47.8464,49.1823,49.3507,54.07,105,31,29.05,False
5686,2022-06-07,41.8,42.81,41.68,42.72,,2078539.0,39.3589,43.7387,47.6708,49.0809,49.3292,54.07,106,32,26.57,False
5687,2022-06-08,42.44,42.58,41.7,41.85,,1941471.0,35.5187,43.5587,47.4728,48.9703,49.3054,54.06,107,33,29.18,False
5688,2022-06-09,41.7,41.95,40.77,40.82,,1854809.0,31.5785,43.2978,47.2213,48.853,49.2787,54.06,108,34,32.44,False
5689,2022-06-10,40.38,40.77,39.84,40.41,,3138467.0,30.1564,43.0231,46.9886,48.7331,49.2497,54.06,109,35,33.78,False
5690,2022-06-13,39.66,39.84,38.07,38.29,,2766206.0,24.0622,42.5725,46.7251,48.6005,49.2088,54.05,110,36,41.16,False
5691,2022-06-14,38.41,38.78,37.93,38.21,,2104577.0,23.8633,42.1571,46.4311,48.4741,49.166,54.05,111,37,41.46,False
5692,2022-06-15,38.53,39.47,38.2,38.77,,3047531.0,28.2625,41.8345,46.1648,48.3564,49.1232,54.05,112,38,39.41,False
5693,2022-06-16,37.98,38.87,37.92,38.62,,2373158.0,27.7884,41.5281,45.8936,48.2385,49.0771,54.04,113,39,39.93,False
5694,2022-06-17,38.81,39.67,38.77,39.3,,4280128.0,33.1847,41.3161,45.6109,48.1292,49.0288,54.04,114,40,37.51,False
5695,2022-06-21,39.55,40.61,39.46,39.82,,2764681.0,36.988,41.1734,45.3465,48.0278,48.9823,54.04,115,41,35.71,False
5696,2022-06-22,39.48,40.76,39.43,40.16,,2079853.0,39.462,41.077,45.089,47.9395,48.9379,54.03,116,42,34.54,False
5697,2022-06-23,40.68,41.41,40.43,41.26,,2449576.0,46.6978,41.0946,44.8759,47.8461,48.9058,54.03,117,43,30.95,False
5698,2022-06-24,41.44,41.77,41.24,41.67,,3293297.0,49.1138,41.1493,44.6681,47.7529,48.8728,54.03,118,44,29.66,False
5699,2022-06-27,41.48,42.71,41.38,42.15,,1472682.0,51.8803,41.2443,44.4691,47.6689,48.8464,54.02,119,45,28.16,False
5700,2022-06-28,42.37,42.75,41.65,41.76,,2127228.0,49.5277,41.2933,44.2645,47.5665,48.8217,54.02,120,46,29.36,False
5701,2022-06-29,41.5,41.88,41.32,41.79,,1425106.0,49.7559,41.3411,44.0687,47.4684,48.7945,54.02,121,47,29.27,False
5702,2022-06-30,41.46,42.24,41.06,41.57,,2048256.0,48.2862,41.3628,43.8528,47.3727,48.7656,54.01,122,48,29.93,False
5703,2022-07-01,41.51,42.11,41.19,41.95,,1605449.0,50.9097,41.4186,43.6252,47.287,48.7378,54.01,123,49,28.75,False
5704,2022-07-05,41.7,41.73,40.45,41.36,,2305221.0,46.9407,41.4131,43.3789,47.2009,48.7066,54.01,124,50,30.59,False
