index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6281,2024-10-18,233.27,240.01,232.24,236.43,,993431.0,62.6527,225.9815,228.4446,209.9132,188.5754,240.01,18,0,1.51,False
6282,2024-10-21,235.62,237.59,232.37,233.38,,628265.0,58.3736,226.6865,228.8158,210.45,188.9845,239.84,19,1,2.77,False
6283,2024-10-22,231.6,234.2,229.3,232.32,,607368.0,56.9052,227.2227,229.1154,210.9196,189.3808,239.68,20,2,3.17,False
6284,2024-10-23,233.02,234.92,231.67,233.92,,596296.0,58.593,227.8609,229.3925,211.3664,189.7815,239.52,21,3,2.39,False
6285,2024-10-24,233.28,234.15,223.51,224.43,,1344559.0,46.9167,227.5345,229.4523,211.7482,190.1354,239.35,22,4,6.65,False
6286,2024-10-25,207.79,212.57,201.67,202.55,,1483330.0,31.3834,225.1546,229.0461,211.9307,190.3671,239.19,23,5,18.09,False
6287,2024-10-28,203.59,207.45,201.97,204.34,,934124.0,33.3361,223.1726,228.6126,212.0829,190.6001,239.02,24,6,16.97,False
6288,2024-10-29,203.79,209.1,203.39,205.71,,906093.0,34.8557,221.5098,228.1849,212.2502,190.839,238.86,25,7,16.11,False
6289,2024-10-30,204.81,208.36,202.41,207.29,,684021.0,36.6492,220.1556,227.7879,212.4512,191.0889,238.69,26,8,15.15,False
6290,2024-10-31,205.22,207.21,203.07,204.1,,1117604.0,34.5793,218.6269,227.3224,212.6065,191.3391,238.53,27,9,16.87,False
6291,2024-11-01,206.44,207.0,203.93,205.05,,632500.0,35.7432,217.3342,226.8462,212.8036,191.5856,238.36,28,10,16.24,False
6292,2024-11-04,204.6,210.37,204.6,208.62,,997772.0,40.0591,216.5042,226.3644,213.0209,191.8429,238.2,29,11,14.18,False
6293,2024-11-05,207.43,211.96,206.69,211.96,,497981.0,43.8584,216.0711,225.9514,213.2622,192.1257,238.04,30,12,12.3,False
6294,2024-11-06,197.65,206.25,193.59,203.31,,1443647.0,37.2698,214.8562,225.3192,213.4203,192.3764,237.87,31,13,17.0,False
6295,2024-11-07,205.0,208.22,201.73,208.2,,986408.0,42.5262,214.2223,224.7554,213.6077,192.6538,237.71,32,14,14.17,False
6296,2024-11-08,209.24,210.38,206.67,207.29,,572838.0,41.8238,213.5622,224.1961,213.7785,192.9085,237.55,33,15,14.6,False
6297,2024-11-11,207.83,210.9,207.83,208.35,,479111.0,43.0047,213.0658,223.6125,213.9787,193.1657,237.38,34,16,13.93,False
6298,2024-11-12,208.44,209.31,203.98,205.03,,637245.0,40.2491,212.3008,222.9885,214.1416,193.4098,237.22,35,17,15.7,False
6299,2024-11-13,206.15,206.79,202.25,202.55,,612618.0,38.2686,211.3717,222.2723,214.2605,193.6311,237.06,36,18,17.04,False
6300,2024-11-14,202.49,206.7,200.61,200.81,,699918.0,36.9021,210.3656,221.507,214.395,193.8443,236.89,37,19,17.97,False
6301,2024-11-15,200.62,201.55,198.19,201.49,,763805.0,37.8363,209.52,220.9584,214.5167,194.0394,236.73,38,20,17.49,False
6302,2024-11-18,200.54,201.64,196.56,197.74,,658032.0,34.7782,208.3982,220.3876,214.582,194.2178,236.57,39,21,19.64,False
6303,2024-11-19,197.04,198.16,193.81,196.59,,895612.0,33.874,207.2737,219.8103,214.7021,194.3908,236.41,40,22,20.26,False
6304,2024-11-20,196.6,198.08,191.99,197.32,,1016399.0,35.0288,206.3259,219.166,214.8567,194.5699,236.24,41,23,19.72,False
6305,2024-11-21,194.8,197.59,189.22,197.41,,999460.0,35.1791,205.4768,218.4917,214.987,194.7481,236.08,42,24,19.59,False
6306,2024-11-22,195.56,198.92,194.79,197.74,,1205691.0,35.7658,204.74,217.8,215.1139,194.9303,235.92,43,25,19.31,False
6307,2024-11-25,196.52,200.06,195.15,199.01,,713849.0,38.0883,204.1943,217.0851,215.2981,195.1168,235.76,44,26,18.47,False
6308,2024-11-26,199.39,206.5,197.92,205.88,,986726.0,48.8732,204.355,216.5618,215.5539,195.3269,235.59,45,27,14.43,False
6309,2024-11-27,205.8,208.23,201.85,203.3,,566569.0,45.6493,204.2541,215.9387,215.7807,195.5436,235.43,46,28,15.8,False
6310,2024-11-29,202.28,205.04,201.76,204.79,,375780.0,47.797,204.3054,215.2835,216.0302,195.7624,235.27,47,29,14.88,False
6311,2024-12-02,202.93,204.22,200.34,200.86,,726431.0,42.9915,203.9771,214.5451,216.2027,195.9564,235.11,48,30,17.05,False
6312,2024-12-03,203.36,203.72,198.13,198.34,,453780.0,40.2071,203.4402,213.7049,216.3452,196.1406,234.95,49,31,18.46,False
6313,2024-12-04,199.0,200.17,197.93,199.12,,563143.0,41.4719,203.0288,212.8618,216.5529,196.3274,234.78,50,32,17.91,False
6314,2024-12-05,199.12,199.17,195.68,196.05,,441090.0,38.0594,202.3641,211.9628,216.678,196.4945,234.62,51,33,19.67,False
6315,2024-12-06,196.62,198.02,192.44,194.22,,569535.0,36.1499,201.5885,211.0587,216.7859,196.6466,234.46,52,34,20.72,False
6316,2024-12-09,194.53,195.87,192.09,192.85,,500499.0,34.7445,200.7562,210.3219,216.903,196.7927,234.3,53,35,21.49,False
6317,2024-12-10,192.26,193.82,188.72,191.7,,458068.0,33.5649,199.8937,209.5803,217.0151,196.9329,234.14,54,36,22.14,False
6318,2024-12-11,193.3,193.3,189.76,190.71,,343471.0,32.5407,199.0191,208.9058,217.1039,197.0609,233.98,55,37,22.69,False
6319,2024-12-12,191.16,193.0,185.93,186.44,,628452.0,28.501,197.8211,208.1591,217.1187,197.1878,233.82,56,38,25.41,False
6320,2024-12-13,186.41,187.99,186.06,187.4,,498144.0,30.5873,196.8286,207.6081,217.1365,197.2919,233.66,57,39,24.69,False
6321,2024-12-16,185.0,188.0,183.51,184.16,,902852.0,27.6543,195.6221,206.982,216.932,197.3596,233.5,58,40,26.79,False
6322,2024-12-17,182.53,184.38,180.85,182.6,,701367.0,26.3445,194.3819,206.3825,216.625,197.4022,233.34,59,41,27.79,False
6323,2024-12-18,183.76,185.16,177.02,177.53,,926041.0,22.5981,192.7769,205.6874,216.2301,197.4149,233.18,60,42,31.35,False
6324,2024-12-19,177.02,178.81,175.35,175.8,,1406980.0,21.4759,191.1601,204.9487,215.841,197.4167,233.02,61,43,32.55,False
6325,2024-12-20,176.31,181.09,175.97,180.11,,1272916.0,30.7083,190.1077,204.2972,215.5085,197.4315,232.86,62,44,29.29,False
6326,2024-12-23,179.34,180.86,178.67,180.72,,443591.0,31.9281,189.2136,203.6293,215.1615,197.4592,232.69,63,45,28.76,False
6327,2024-12-24,180.09,181.22,179.64,181.22,,127193.0,32.9698,188.4523,202.8491,214.8455,197.5113,232.53,64,46,28.31,False
6328,2024-12-26,180.52,181.45,180.09,181.13,,242866.0,32.8723,187.755,201.9695,214.5508,197.5459,232.38,65,47,28.29,False
6329,2024-12-27,178.99,181.62,177.48,180.46,,355464.0,32.1109,187.0602,200.8454,214.2382,197.5787,232.22,66,48,28.68,False
6330,2024-12-30,179.91,180.46,176.42,178.37,,320388.0,29.7928,186.2326,199.7344,213.9051,197.6085,232.06,67,49,30.1,False
