index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6309,2024-11-27,53.75,53.98,53.22,53.48,,4506594.0,68.787,50.909,48.0877,45.8526,43.0226,53.98,722,0,0.93,False
6310,2024-11-29,53.6,53.75,53.07,53.29,,3287928.0,67.29,51.1358,48.2341,45.9819,43.0934,53.98,723,1,1.29,False
6311,2024-12-02,53.5,53.5,52.53,52.77,,5110448.0,63.2337,51.2914,48.3793,46.0948,43.1564,53.97,724,2,2.27,False
6312,2024-12-03,52.76,52.88,51.83,52.1,,6520424.0,58.3529,51.3684,48.514,46.1994,43.2165,53.97,725,3,3.59,False
6313,2024-12-04,52.23,52.42,51.59,52.01,,4670043.0,57.7085,51.4295,48.6513,46.3006,43.2777,53.97,726,4,3.77,False
6314,2024-12-05,52.01,52.58,51.95,52.12,,7020209.0,58.3144,51.4953,48.8084,46.3936,43.3411,53.97,727,5,3.55,False
6315,2024-12-06,52.24,52.59,51.78,52.18,,4683487.0,58.6623,51.5605,48.9558,46.4677,43.4022,53.96,728,6,3.41,False
6316,2024-12-09,52.24,52.27,51.26,51.31,,5415155.0,51.899,51.5366,49.0822,46.5415,43.4589,53.96,729,7,5.16,False
6317,2024-12-10,51.55,51.81,50.78,51.57,,6357617.0,53.62,51.5398,49.199,46.6144,43.5194,53.96,730,8,4.63,False
6318,2024-12-11,52.0,52.24,51.25,51.32,,7842542.0,51.7044,51.5189,49.3362,46.6821,43.5761,53.96,731,9,5.14,False
6319,2024-12-12,51.51,51.81,51.07,51.1,,7596741.0,50.0113,51.479,49.4732,46.7425,43.6325,53.95,732,10,5.58,False
6320,2024-12-13,51.23,51.33,50.73,51.03,,6426776.0,49.4563,51.4362,49.6142,46.8099,43.6849,53.95,733,11,5.72,False
6321,2024-12-16,51.16,51.37,50.64,51.36,,8427159.0,52.1519,51.429,49.7474,46.8775,43.7415,53.95,734,12,5.04,False
6322,2024-12-17,50.98,51.24,49.68,49.98,,6774156.0,42.0519,51.291,49.8576,46.9276,43.7851,53.95,735,13,7.94,False
6323,2024-12-18,50.12,50.25,47.57,47.61,,8970093.0,30.9619,50.9404,49.9246,46.9549,43.8142,53.94,736,14,13.3,False
6324,2024-12-19,48.27,48.55,47.18,47.41,,9803278.0,30.2372,50.6042,49.9708,46.9793,43.8431,53.94,737,15,13.77,False
6325,2024-12-20,47.28,48.57,47.22,47.92,,20225035.0,34.4505,50.3485,50.0304,47.0145,43.8732,53.94,738,16,12.56,False
6326,2024-12-23,47.54,48.36,47.47,48.32,,4600870.0,37.632,50.1553,50.0716,47.0676,43.9058,53.94,739,17,11.63,False
6327,2024-12-24,48.44,48.83,48.23,48.83,,2393788.0,41.5287,50.0291,50.1058,47.137,43.9397,53.93,740,18,10.44,False
6328,2024-12-26,48.66,49.12,48.33,49.01,,3448268.0,42.8851,49.9321,50.146,47.2235,43.976,53.93,741,19,10.04,False
6329,2024-12-27,48.74,49.26,48.24,48.49,,4957109.0,39.9985,49.7947,50.1316,47.2962,44.0084,53.93,742,20,11.22,False
6330,2024-12-30,48.12,48.59,47.66,48.25,,4854214.0,38.7036,49.6476,50.0972,47.3693,44.045,53.93,743,21,11.77,False
