index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6297,2024-11-11,518.27,518.35,500.13,501.72,,1335553.0,59.3447,485.8301,475.521,479.1714,452.6405,518.35,1,0,3.31,False
6298,2024-11-12,503.0,508.04,489.02,490.0,,1364593.0,53.05,486.2272,475.807,479.3843,452.9114,516.82,2,1,5.47,False
6299,2024-11-13,491.34,498.25,491.03,494.61,,1079483.0,55.0688,487.0256,476.1278,479.5809,453.1541,515.3,3,2,4.18,False
6300,2024-11-14,495.62,496.33,483.55,483.96,,1231557.0,49.747,486.7336,476.4356,479.6823,453.407,513.79,4,3,6.16,False
6301,2024-11-15,478.56,479.94,458.1,465.7,,2581391.0,42.2143,484.7304,476.3896,479.5993,453.5661,512.27,5,4,10.0,False
6302,2024-11-18,465.19,468.88,458.05,467.01,,1129334.0,42.8825,483.0428,476.3076,479.5443,453.7778,510.77,6,5,9.37,False
6303,2024-11-19,462.8,463.9,447.14,448.01,,2192552.0,36.3221,479.7063,475.8522,479.3372,453.8734,509.26,7,6,13.67,False
6304,2024-11-20,448.46,451.76,445.38,451.23,,1651184.0,38.0518,476.9943,475.382,479.137,454.0489,507.77,8,7,12.53,False
6305,2024-11-21,454.24,455.43,445.0,450.37,,1507791.0,37.7568,474.4586,474.8164,478.9029,454.2053,506.27,9,8,12.41,False
6306,2024-11-22,454.3,457.54,449.04,450.97,,1270384.0,38.1173,472.2216,474.1284,478.7098,454.3449,504.78,10,9,11.93,False
6307,2024-11-25,456.58,462.95,455.82,461.71,,2168316.0,44.3314,471.2205,473.574,478.5812,454.5389,503.3,11,10,9.01,False
6308,2024-11-26,464.0,467.96,459.07,467.07,,1327768.0,47.1821,470.8252,473.2902,478.433,454.7816,501.81,12,11,7.44,False
6309,2024-11-27,464.81,470.42,462.01,464.56,,1006928.0,45.9943,470.2285,473.0982,478.2187,455.0242,500.34,13,12,7.7,False
6310,2024-11-29,463.6,470.93,462.33,468.13,,770568.0,47.9994,470.0287,472.9028,477.9838,455.2754,498.86,14,13,6.56,False
6311,2024-12-02,467.48,468.19,463.05,465.73,,960021.0,46.743,469.6193,472.919,477.7198,455.4726,497.4,15,14,6.8,False
6312,2024-12-03,462.86,468.51,455.01,456.97,,1181804.0,42.3822,468.4146,472.8584,477.4021,455.6465,495.93,16,15,8.53,False
6313,2024-12-04,454.72,464.87,450.0,463.98,,1220618.0,46.6698,467.9922,472.8782,477.1334,455.8632,494.47,17,16,6.57,False
6314,2024-12-05,461.35,467.06,457.96,459.92,,1183850.0,44.5997,467.2235,472.8414,476.8428,456.0646,493.02,18,17,7.2,False
6315,2024-12-06,458.06,465.9,456.86,462.1,,1115377.0,45.9852,466.7355,472.8204,476.5801,456.2412,491.57,19,18,6.38,False
6316,2024-12-09,467.33,476.02,467.0,473.98,,1260636.0,52.898,467.4255,473.0424,476.4387,456.4606,490.12,20,19,3.41,False
6317,2024-12-10,473.3,476.46,465.12,469.22,,865214.0,50.1297,467.5964,473.1252,476.2152,456.6393,488.68,21,20,4.15,False
6318,2024-12-11,472.31,472.33,460.74,468.29,,1043840.0,49.5837,467.6624,473.0958,475.939,456.8261,487.24,22,21,4.05,False
6319,2024-12-12,466.52,470.25,460.05,464.12,,958587.0,47.1063,467.3251,473.1354,475.677,457.0119,485.81,23,22,4.67,False
6320,2024-12-13,462.33,466.71,459.79,463.73,,1097110.0,46.8705,466.9827,473.339,475.4063,457.2268,484.38,24,23,4.45,False
6321,2024-12-16,463.37,470.08,462.12,468.09,,1511252.0,49.8912,467.0881,473.5946,475.1646,457.4035,482.95,25,24,3.17,False
6322,2024-12-17,468.07,474.19,465.62,469.24,,1304829.0,50.6876,467.2931,474.0074,474.9044,457.6295,481.53,26,25,2.62,False
6323,2024-12-18,467.06,471.05,445.87,447.5,,1761042.0,38.2963,465.408,473.7786,474.3979,457.7898,480.11,27,26,7.29,False
6324,2024-12-19,391.0,404.04,377.85,396.64,,8208717.0,23.6996,458.8587,472.352,473.3383,457.7138,478.7,28,27,20.69,False
6325,2024-12-20,395.72,401.31,386.49,397.27,,6203131.0,24.0856,452.9931,470.7744,472.3538,457.6474,477.29,29,28,20.14,False
6326,2024-12-23,391.87,405.93,390.92,405.27,,2204467.0,28.9975,448.448,469.2456,471.3487,457.6058,475.89,30,29,17.43,False
6327,2024-12-24,401.53,410.68,401.27,408.18,,1468555.0,30.7527,444.613,467.7128,470.4859,457.5744,474.49,31,30,16.25,False
6328,2024-12-26,407.2,411.29,406.02,410.65,,1191539.0,32.2828,441.3784,466.2398,469.8233,457.5654,473.09,32,31,15.21,False
6329,2024-12-27,405.26,410.98,404.49,408.76,,1373494.0,31.7055,438.2719,464.67,469.168,457.5432,471.7,33,32,15.4,False
6330,2024-12-30,404.54,407.35,399.06,399.35,,1450034.0,28.9314,434.5651,462.6824,468.5026,457.4961,470.31,34,33,17.77,False
