index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
2055,2024-12-05,160.75,164.6,159.33,160.63,,3554231.0,61.358,150.6931,135.968,108.7807,93.2981,164.6,8,0,2.47,False
2056,2024-12-06,160.85,163.23,157.04,159.73,,3220359.0,60.4695,151.5535,136.883,109.6187,93.8609,164.13,9,1,2.75,False
2057,2024-12-09,159.92,160.46,145.92,148.08,,6844247.0,50.2984,151.2223,137.4938,110.3367,94.3605,163.66,10,2,10.52,False
2058,2024-12-10,145.65,147.57,139.08,141.3,,7109745.0,45.5027,150.277,137.9527,110.9877,94.8255,163.2,11,3,15.5,False
2059,2024-12-11,145.71,148.18,143.21,145.77,,6209303.0,48.9605,149.8477,138.4209,111.6566,95.3018,162.73,12,4,11.63,False
2060,2024-12-12,146.2,148.74,144.37,144.85,,3703005.0,48.283,149.3718,138.8145,112.3073,95.7635,162.27,13,5,12.03,False
2061,2024-12-13,146.12,149.11,143.36,144.66,,4016382.0,48.1349,148.9231,139.0629,113.0307,96.2167,161.81,14,6,11.86,False
2062,2024-12-16,144.48,146.99,143.05,145.1,,4801267.0,48.5287,148.5591,139.2011,113.7804,96.6722,161.35,15,7,11.2,False
2063,2024-12-17,142.65,143.14,135.88,139.55,,5475158.0,43.9835,147.701,139.3708,114.4673,97.0877,160.89,16,8,15.29,False
2064,2024-12-18,141.03,141.03,131.43,132.68,,5690551.0,39.1031,146.2704,139.4693,115.0843,97.4594,160.43,17,9,20.91,False
2065,2024-12-19,134.4,139.51,133.11,136.98,,7554355.0,43.3443,145.3859,139.7292,115.7666,97.8427,159.97,18,10,16.78,False
2066,2024-12-20,132.45,141.63,132.0,139.95,,8735096.0,46.1299,144.8682,140.05,116.3768,98.237,159.51,19,11,13.98,False
2067,2024-12-23,140.0,141.37,135.62,140.79,,2871442.0,46.9256,144.4798,140.3639,117.027,98.6413,159.06,20,12,12.98,False
2068,2024-12-24,142.03,144.16,141.02,143.36,,1642685.0,49.3887,144.3732,140.5901,117.7389,99.0706,158.61,21,13,10.64,False
2069,2024-12-26,142.9,144.88,141.45,144.11,,1929165.0,50.1162,144.3481,140.9106,118.4805,99.493,158.16,22,14,9.75,False
2070,2024-12-27,143.0,143.0,136.74,139.68,,3214672.0,45.9174,143.9035,140.9947,119.1361,99.8885,157.7,23,15,12.9,False
2071,2024-12-30,136.05,141.18,134.86,140.09,,4531123.0,46.3653,143.5403,141.2551,119.8002,100.2764,157.26,24,16,12.26,False
