index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
1012,2024-11-25,13.47,13.55,13.35,13.36,,11088823.0,70.3236,12.6039,11.8586,11.6448,11.3808,13.55,981,0,1.42,False
1013,2024-11-26,13.33,13.33,12.94,13.08,,7419501.0,62.6908,12.6492,11.8859,11.6715,11.3889,13.55,982,1,3.59,False
1014,2024-11-27,13.08,13.23,13.01,13.22,,4744824.0,64.7509,12.7036,11.9144,11.6977,11.3975,13.55,983,2,2.5,False
1015,2024-11-29,13.22,13.24,13.08,13.09,,4695432.0,61.3626,12.7404,11.9403,11.7218,11.4049,13.54,984,3,3.44,False
1016,2024-12-02,13.13,13.24,13.03,13.2,,5287215.0,63.1211,12.7842,11.9785,11.744,11.4094,13.54,985,4,2.58,False
1017,2024-12-03,13.21,13.23,12.98,13.0,,7495123.0,57.9563,12.8047,12.0112,11.7637,11.4116,13.54,986,5,4.15,False
1018,2024-12-04,13.04,13.07,12.85,13.04,,5617581.0,58.6844,12.8271,12.045,11.7862,11.4132,13.54,987,6,3.83,False
1019,2024-12-05,13.04,13.05,12.84,12.89,,5943256.0,54.8483,12.8331,12.0794,11.8035,11.414,13.53,988,7,4.97,False
1020,2024-12-06,12.97,13.0,12.68,12.72,,5013355.0,50.7957,12.8223,12.1035,11.8145,11.4134,13.53,989,8,6.37,False
1021,2024-12-09,12.64,12.86,12.61,12.8,,6690721.0,52.5717,12.8202,12.1305,11.827,11.4124,13.53,990,9,5.7,False
1022,2024-12-10,12.79,12.82,12.44,12.51,,5934281.0,46.079,12.7907,12.1506,11.836,11.4105,13.53,991,10,8.15,False
1023,2024-12-11,12.51,12.79,12.37,12.75,,10564890.0,51.4256,12.7868,12.1778,11.849,11.4107,13.52,992,11,6.04,False
1024,2024-12-12,12.73,13.13,12.7,12.82,,11621441.0,52.8928,12.79,12.2069,11.8643,11.4157,13.52,993,12,5.46,False
1025,2024-12-13,12.83,12.84,12.52,12.63,,8236133.0,48.6017,12.7747,12.2329,11.8758,11.4195,13.52,994,13,7.05,False
1026,2024-12-16,12.56,12.78,12.52,12.53,,7551869.0,46.4651,12.7514,12.2538,11.8858,11.4217,13.52,995,14,7.9,False
1027,2024-12-17,12.51,12.72,12.46,12.59,,7465960.0,47.9438,12.736,12.281,11.8932,11.4252,13.51,996,15,7.31,False
1028,2024-12-18,12.53,12.74,12.25,12.26,,7453269.0,41.2029,12.6907,12.3018,11.899,11.4276,13.51,997,16,10.2,False
1029,2024-12-19,12.23,12.38,12.07,12.13,,7810123.0,38.8835,12.6373,12.3182,11.9013,11.4296,13.51,998,17,11.38,False
1030,2024-12-20,12.21,12.56,12.14,12.52,,56546427.0,48.288,12.6261,12.3441,11.9082,11.433,13.51,999,18,7.91,False
1031,2024-12-23,12.4,12.51,12.17,12.49,,8585559.0,47.6802,12.6132,12.3683,11.9157,11.436,13.5,1000,19,8.09,False
1032,2024-12-24,12.24,12.41,12.12,12.4,,4059617.0,45.8171,12.5929,12.3905,11.9233,11.4399,13.5,1001,20,8.87,False
1033,2024-12-26,12.39,12.62,12.35,12.56,,6194749.0,49.5885,12.5897,12.407,11.9355,11.4442,13.5,1002,21,7.48,False
1034,2024-12-27,12.49,12.68,12.39,12.48,,5182645.0,47.7971,12.5793,12.4223,11.9489,11.4482,13.5,1003,22,8.17,False
1035,2024-12-30,12.42,12.47,12.28,12.38,,5822725.0,45.5804,12.5603,12.4378,11.9613,11.4528,13.49,1004,23,8.97,False
