index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6309,2024-11-27,64.57,65.24,64.49,64.54,,2124294.0,52.9207,64.1743,64.0142,60.9669,53.1147,65.24,19,0,1.08,False
6310,2024-11-29,64.64,64.9,64.05,64.07,,1870159.0,49.5335,64.1644,64.0603,61.0902,53.2129,65.12,20,1,1.64,False
6311,2024-12-02,63.62,63.84,61.73,62.26,,2987700.0,39.1431,63.983,64.0708,61.1867,53.3089,65.0,21,2,4.4,False
6312,2024-12-03,62.42,63.25,62.25,62.77,,2168282.0,42.7849,63.8675,64.0509,61.2934,53.4095,64.87,22,3,3.35,False
6313,2024-12-04,62.97,62.97,61.9,62.13,,2224753.0,39.5836,63.702,64.0233,61.392,53.5105,64.75,23,4,4.22,False
6314,2024-12-05,61.89,62.27,61.58,62.13,,2094937.0,39.5836,63.5523,63.9772,61.486,53.6065,64.63,24,5,4.02,False
6315,2024-12-06,62.25,62.28,61.36,61.65,,2004671.0,37.1649,63.3711,63.9425,61.572,53.7,64.51,25,6,4.64,False
6316,2024-12-09,61.54,61.66,60.67,61.06,,2844402.0,34.3837,63.151,63.8958,61.6542,53.7901,64.39,26,7,5.45,False
6317,2024-12-10,61.04,61.62,60.47,61.15,,1980638.0,35.1806,62.9604,63.8452,61.7364,53.8866,64.27,27,8,5.1,False
6318,2024-12-11,61.17,61.34,60.08,60.72,,2464292.0,33.1116,62.7471,63.7818,61.8107,53.9825,64.15,28,9,5.65,False
6319,2024-12-12,60.69,61.21,60.01,60.04,,1699571.0,30.0972,62.4892,63.7178,61.8792,54.0757,64.03,29,10,6.65,False
6320,2024-12-13,60.01,60.3,59.62,59.91,,2556665.0,29.5435,62.2436,63.6646,61.9468,54.1693,63.91,30,11,6.68,False
6321,2024-12-16,60.09,60.47,59.41,59.48,,3415383.0,27.7264,61.9804,63.6036,62.0134,54.2524,63.79,31,12,7.25,False
6322,2024-12-17,59.24,60.7,59.04,60.22,,4807163.0,35.1218,61.8127,63.5556,62.0818,54.3386,63.67,32,13,5.73,False
6323,2024-12-18,60.0,60.73,58.65,58.7,,2688971.0,28.6393,61.5163,63.482,62.1307,54.4228,63.55,33,14,8.26,False
6324,2024-12-19,58.82,59.66,57.62,57.73,,4330451.0,25.4154,61.1557,63.3826,62.1633,54.4999,63.43,34,15,9.87,False
6325,2024-12-20,58.59,59.33,57.95,58.76,,11491486.0,33.9214,60.9275,63.3264,62.2103,54.5816,63.31,35,16,7.74,False
6326,2024-12-23,58.68,59.11,58.28,58.93,,2936583.0,35.2343,60.7373,63.246,62.2504,54.6599,63.19,36,17,7.23,False
6327,2024-12-24,58.71,59.3,58.66,59.27,,762455.0,37.8921,60.5975,63.1528,62.2831,54.7393,63.07,37,18,6.41,False
6328,2024-12-26,59.18,59.62,59.02,59.38,,1953682.0,38.7676,60.4816,63.0546,62.3241,54.8237,62.95,38,19,6.01,False
6329,2024-12-27,59.04,59.65,58.58,58.89,,3226412.0,36.312,60.33,62.9392,62.3453,54.9067,62.83,39,20,6.69,False
6330,2024-12-30,58.64,58.88,57.97,58.51,,2007863.0,34.4877,60.1567,62.8224,62.3564,54.9918,62.72,40,21,7.2,False
