index,time,open,high,low,close,Volume,volume,rsi,ema20,ma50,ma100,ma200,trendline,duration_from_date1,duration_from_date2,distance,breakthrough
6196,2024-06-18,80.37,81.55,79.63,80.23,,5463627.0,64.1927,76.6056,73.2577,67.2672,57.1469,81.55,1574,0,1.65,False
6197,2024-06-20,80.36,80.47,76.07,76.29,,5902130.0,51.3716,76.5755,73.3305,67.4478,57.2986,81.54,1575,1,6.88,False
6198,2024-06-21,75.83,76.8,74.7,75.77,,6825178.0,49.9536,76.4988,73.4009,67.608,57.4485,81.53,1576,2,7.6,False
6199,2024-06-24,75.31,76.44,74.84,75.4,,5122733.0,48.9188,76.3941,73.4309,67.7808,57.5983,81.52,1577,3,8.12,False
6200,2024-06-25,75.74,77.06,75.15,76.86,,3764357.0,53.0514,76.4385,73.527,67.977,57.7654,81.51,1578,4,6.05,False
6201,2024-06-26,76.84,77.13,75.01,75.47,,3663392.0,48.988,76.3463,73.6278,68.1576,57.9254,81.5,1579,5,7.99,False
6202,2024-06-27,74.68,77.74,73.81,76.62,,4344877.0,52.2469,76.3723,73.739,68.3423,58.094,81.49,1580,6,6.36,False
6203,2024-06-28,76.5,78.18,75.51,75.77,,8582818.0,49.7186,76.315,73.851,68.5153,58.2614,81.48,1581,7,7.54,False
6204,2024-07-01,76.21,76.61,74.38,76.38,,3605204.0,51.5313,76.3212,74.0122,68.6946,58.4272,81.47,1582,8,6.66,False
6205,2024-07-02,75.77,78.11,75.46,78.05,,2701599.0,56.188,76.4858,74.2522,68.8957,58.599,81.46,1583,9,4.37,False
6206,2024-07-03,78.04,78.64,77.47,77.79,,1959031.0,55.2972,76.61,74.467,69.1024,58.7699,81.45,1584,10,4.7,False
6207,2024-07-05,78.01,78.01,76.84,77.17,,2313946.0,53.134,76.6634,74.612,69.3059,58.9375,81.44,1585,11,5.53,False
6208,2024-07-08,77.71,79.12,77.33,78.5,,3704855.0,57.0184,76.8383,74.791,69.5177,59.1104,81.43,1586,12,3.73,False
6209,2024-07-09,78.46,79.75,78.14,78.43,,3117651.0,56.7518,76.9899,74.9708,69.7486,59.2743,81.42,1587,13,3.81,False
6210,2024-07-10,79.16,80.38,78.75,80.24,,4428647.0,61.7341,77.2994,75.1484,69.9902,59.4533,81.42,1588,14,1.47,False
6211,2024-07-11,80.16,80.2,77.29,77.84,,4130734.0,53.0131,77.3509,75.308,70.2085,59.6168,81.41,1589,15,4.59,False
6212,2024-07-12,77.54,79.28,76.86,78.77,,4554114.0,55.6289,77.486,75.4668,70.4562,59.7876,81.4,1590,16,3.34,False
6213,2024-07-15,79.5,80.09,77.99,78.82,,5405394.0,55.7714,77.6131,75.633,70.7031,59.9603,81.39,1591,17,3.26,False
6214,2024-07-16,78.24,79.11,76.98,77.06,,4257110.0,49.7163,77.5604,75.7798,70.9398,60.1228,81.38,1592,18,5.61,False
6215,2024-07-17,75.48,75.57,71.67,71.79,,10699920.0,36.8242,77.0108,75.7966,71.1007,60.2528,81.37,1593,19,13.34,False
6216,2024-07-18,72.53,72.59,68.82,70.24,,8726931.0,34.0292,76.366,75.7494,71.2425,60.3758,81.36,1594,20,15.83,False
6217,2024-07-19,70.65,71.65,69.2,69.82,,4315893.0,33.2918,75.7426,75.716,71.3699,60.4976,81.35,1595,21,16.51,False
6218,2024-07-22,71.22,73.15,70.69,73.06,,5421088.0,43.4685,75.4871,75.7364,71.5257,60.6388,81.34,1596,22,11.33,False
6219,2024-07-23,72.36,73.45,72.35,72.96,,2789326.0,43.2492,75.2464,75.7538,71.6807,60.7771,81.33,1597,23,11.47,False
6220,2024-07-24,72.91,74.37,71.83,72.01,,6386900.0,41.1265,74.9382,75.762,71.8061,60.9066,81.32,1598,24,12.93,False
6221,2024-07-25,68.48,69.08,66.4,66.49,,13600965.0,31.4632,74.1336,75.6724,71.828,61.0071,81.31,1599,25,22.29,False
6222,2024-07-26,67.8,68.3,67.04,68.26,,4473066.0,36.6067,73.5742,75.5668,71.8674,61.1214,81.3,1600,26,19.1,False
6223,2024-07-29,69.0,69.17,66.05,66.43,,6354088.0,33.7837,72.8938,75.3816,71.8968,61.2268,81.29,1601,27,22.37,False
6224,2024-07-30,66.53,66.64,63.09,63.18,,9253465.0,29.4414,71.9687,75.1632,71.8816,61.3107,81.28,1602,28,28.65,False
6225,2024-07-31,66.37,67.62,64.67,67.05,,13538936.0,39.4257,71.5002,75.0622,71.9093,61.4179,81.27,1603,29,21.21,False
6226,2024-08-01,60.34,63.19,58.11,60.53,,26887917.0,31.3715,70.4555,74.8118,71.8846,61.492,81.26,1604,30,34.25,False
6227,2024-08-02,58.41,58.45,55.56,57.23,,13250778.0,28.2282,69.1959,74.4762,71.8364,61.5494,81.25,1605,31,41.97,False
6228,2024-08-05,54.03,57.66,52.77,56.99,,10891320.0,28.0084,68.0334,74.1452,71.7766,61.6137,81.24,1606,32,42.55,False
6229,2024-08-06,56.62,58.8,56.62,57.38,,9543684.0,28.9762,67.0188,73.8096,71.7256,61.6783,81.23,1607,33,41.57,False
6230,2024-08-07,58.65,59.52,55.73,56.25,,8197530.0,27.8097,65.9932,73.4384,71.6801,61.7443,81.22,1608,34,44.39,False
6231,2024-08-08,57.59,59.44,56.46,58.98,,6067049.0,34.654,65.3253,73.0952,71.672,61.8249,81.21,1609,35,37.69,False
6232,2024-08-09,59.0,59.92,58.13,59.68,,5335101.0,36.3212,64.7876,72.7402,71.6757,61.9142,81.2,1610,36,36.06,False
6233,2024-08-12,59.68,61.49,59.02,60.37,,6863829.0,38.0003,64.3669,72.4374,71.6813,62.0013,81.19,1611,37,34.49,False
6234,2024-08-13,60.99,61.96,60.81,61.58,,5104705.0,40.9412,64.1015,72.1632,71.6899,62.0983,81.18,1612,38,31.83,False
6235,2024-08-14,62.25,62.75,60.61,61.51,,4512608.0,40.8206,63.8547,71.8938,71.6676,62.2145,81.17,1613,39,31.96,False
6236,2024-08-15,62.7,63.75,61.91,63.5,,5661354.0,45.7174,63.8209,71.685,71.6632,62.3372,81.17,1614,40,27.83,False
6237,2024-08-16,63.17,64.43,62.94,64.05,,4496876.0,47.0222,63.8427,71.428,71.6539,62.4484,81.16,1615,41,26.71,False
6238,2024-08-19,63.8,65.23,63.19,65.1,,5147110.0,49.5169,63.9625,71.225,71.6234,62.5732,81.15,1616,42,24.65,False
6239,2024-08-20,65.05,65.14,64.23,64.42,,3704447.0,47.9424,64.006,71.0138,71.5912,62.6866,81.14,1617,43,25.95,False
6240,2024-08-21,64.89,65.1,63.9,65.03,,4308555.0,49.4939,64.1036,70.7724,71.5591,62.8009,81.13,1618,44,24.76,False
6241,2024-08-22,64.79,65.49,63.85,64.04,,3177693.0,47.0434,64.0975,70.5228,71.491,62.9061,81.12,1619,45,26.67,False
6242,2024-08-23,64.25,65.03,63.45,64.35,,3045446.0,47.913,64.1216,70.226,71.4462,63.012,81.11,1620,46,26.05,False
6243,2024-08-26,63.89,64.29,62.43,62.69,,3247198.0,43.7681,63.9852,69.8882,71.3569,63.11,81.1,1621,47,29.37,False
6244,2024-08-27,61.83,63.1,61.16,62.85,,5045809.0,44.2685,63.8771,69.5828,71.28,63.208,81.09,1622,48,29.02,False
6245,2024-08-28,62.21,62.71,61.11,62.43,,4673061.0,43.1821,63.7393,69.2342,71.1732,63.2992,81.08,1623,49,29.87,False
6246,2024-08-29,63.27,64.22,62.2,63.03,,4321260.0,45.2493,63.6717,68.8902,71.074,63.3894,81.07,1624,50,28.62,False
6247,2024-08-30,64.12,65.69,63.45,65.59,,6416508.0,53.0911,63.8544,68.6762,71.0034,63.4914,81.06,1625,51,23.59,False
6248,2024-09-03,64.52,64.52,62.2,63.06,,5891696.0,46.0685,63.7788,68.422,70.9115,63.5774,81.05,1626,52,28.53,False
6249,2024-09-04,61.96,63.81,61.47,62.95,,3678469.0,45.785,63.6998,68.173,70.802,63.662,81.04,1627,53,28.74,False
6250,2024-09-05,62.39,63.59,62.39,62.61,,2316752.0,44.8657,63.596,67.888,70.7075,63.745,81.03,1628,54,29.42,False
6251,2024-09-06,62.15,62.52,60.0,60.77,,4151069.0,40.1658,63.3269,67.594,70.6109,63.8157,81.02,1629,55,33.32,False
6252,2024-09-09,61.91,62.78,61.41,62.61,,4171144.0,46.2316,63.2586,67.3138,70.5264,63.892,81.01,1630,56,29.39,False
6253,2024-09-10,62.56,63.33,62.05,62.79,,3287554.0,46.7998,63.214,67.0542,70.4526,63.9748,81.0,1631,57,29.0,False
6254,2024-09-11,63.28,63.45,60.95,63.31,,3617586.0,48.4931,63.2231,66.7928,70.4025,64.0568,80.99,1632,58,27.93,False
6255,2024-09-12,63.31,64.1,62.34,63.25,,3982416.0,48.3021,63.2257,66.4968,70.3745,64.14,80.98,1633,59,28.03,False
6256,2024-09-13,63.59,65.14,63.59,65.02,,3581482.0,54.0528,63.3966,66.2414,70.3542,64.229,80.97,1634,60,24.53,False
6257,2024-09-16,64.08,64.33,63.27,64.09,,4492382.0,50.852,63.4626,65.9798,70.2959,64.3151,80.96,1635,61,26.32,False
6258,2024-09-17,64.67,66.25,64.43,65.89,,5202361.0,56.2517,63.6938,65.7276,70.2593,64.4079,80.95,1636,62,22.86,False
6259,2024-09-18,65.4,66.05,64.11,64.42,,4439395.0,51.2953,63.763,65.4474,70.2091,64.4885,80.94,1637,63,25.64,False
6260,2024-09-19,66.39,66.58,65.36,65.97,,4820170.0,55.7251,63.9732,65.162,70.1552,64.5764,80.94,1638,64,22.69,False
6261,2024-09-20,65.25,66.88,64.98,66.75,,7683693.0,57.8049,64.2376,64.9402,70.1241,64.6728,80.93,1639,65,21.24,False
6262,2024-09-23,67.03,67.34,66.28,66.29,,2908156.0,56.1303,64.4331,64.6906,70.0787,64.7704,80.92,1640,66,22.07,False
6263,2024-09-24,66.29,66.86,64.19,66.46,,6650014.0,56.6304,64.6261,64.4434,70.0382,64.8686,80.91,1641,67,21.74,False
6264,2024-09-25,65.91,66.34,65.26,66.0,,3791421.0,54.8098,64.757,64.2222,70.001,64.962,80.9,1642,68,22.58,False
6265,2024-09-26,70.32,71.43,68.51,70.46,,8834927.0,66.1666,65.3001,64.1956,69.9961,65.075,80.89,1643,69,14.8,False
6266,2024-09-27,70.46,70.46,68.83,69.42,,4091786.0,62.2388,65.6925,64.1792,69.9643,65.1759,80.88,1644,70,16.51,False
6267,2024-09-30,68.89,69.56,67.98,68.29,,5327060.0,58.1963,65.9399,64.1486,69.9323,65.2693,80.87,1645,71,18.42,False
6268,2024-10-01,68.09,68.27,66.48,66.76,,3490244.0,53.1616,66.018,64.0226,69.8795,65.3509,80.86,1646,72,21.12,False
6269,2024-10-02,66.63,68.1,66.42,66.52,,3828837.0,52.3959,66.0658,63.8938,69.8238,65.4278,80.85,1647,73,21.54,False
6270,2024-10-03,66.0,67.67,65.81,66.58,,3964262.0,52.5798,66.1148,63.7852,69.7736,65.5073,80.84,1648,74,21.42,False
6271,2024-10-04,67.85,67.96,65.89,66.35,,4565007.0,51.7544,66.1372,63.7824,69.7274,65.5864,80.83,1649,75,21.82,False
6272,2024-10-07,66.27,67.28,65.87,66.44,,3261645.0,52.0714,66.166,63.746,69.6564,65.6639,80.82,1650,76,21.64,False
6273,2024-10-08,66.54,66.75,65.68,66.17,,3874383.0,50.9889,66.1664,63.7408,69.5612,65.7477,80.81,1651,77,22.12,False
6274,2024-10-09,65.76,65.84,64.16,64.48,,4436661.0,44.7219,66.0058,63.7668,69.465,65.8082,80.8,1652,78,25.31,False
6275,2024-10-10,63.61,64.89,63.45,64.05,,3512013.0,43.2648,65.8195,63.7068,69.3845,65.8652,80.79,1653,79,26.14,False
6276,2024-10-11,63.73,65.37,63.68,64.88,,4046539.0,46.8635,65.73,63.7938,69.3028,65.9258,80.78,1654,80,24.51,False
6277,2024-10-14,65.44,66.89,65.4,66.83,,4426852.0,54.212,65.8348,63.9858,69.231,65.9978,80.77,1655,81,20.86,False
6278,2024-10-15,67.0,68.72,66.85,66.95,,5974608.0,54.6278,65.941,64.185,69.1651,66.0679,80.76,1656,82,20.63,False
6279,2024-10-16,67.0,68.06,66.52,67.79,,4441489.0,57.5351,66.1171,64.3932,69.1014,66.145,80.75,1657,83,19.12,False
6280,2024-10-17,68.8,68.96,67.15,67.35,,3647768.0,55.528,66.2345,64.6152,69.0268,66.2274,80.74,1658,84,19.88,False
6281,2024-10-18,67.92,68.2,66.66,67.03,,2949103.0,54.0512,66.3103,64.7762,68.9357,66.3109,80.73,1659,85,20.44,False
